date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,640480.4333366079,362356.18724,1002836.6205766079,2
2024-01-24,640480.4333366079,368422.59137000004,1008903.0247066079,2
2024-01-25,640480.4333366079,373465.9955,1013946.4288366078,2
2024-01-26,650577.5207855985,367391.587032,1017969.1078175986,2
2024-01-29,650577.5207855985,369751.82892,1020329.3497055985,2
2024-01-30,650577.5207855985,364016.2242,1014593.7449855986,2
2024-01-31,1012414.951976544,0.0,1012414.951976544,0
2024-02-01,1012414.951976544,0.0,1012414.951976544,0
2024-02-02,812403.214450944,200408.0,1012811.214450944,1
2024-02-05,650156.3779469187,367434.18082,1017590.5587669187,2
2024-02-06,650156.3779469187,376331.71752,1026488.0954669188,2
2024-02-07,855994.1285525187,169441.49229,1025435.6208425186,1
2024-02-08,824596.767421393,199983.0,1024579.767421393,1
2024-02-19,659671.4583483132,370673.94222900004,1030345.4005773133,2
2024-02-20,659671.4583483132,370200.703638,1029872.1619863133,2
2024-02-21,691514.6995077132,358032.32172,1049547.0212277132,2
2024-02-22,870832.4526715385,174960.0,1045792.4526715385,1
2024-02-23,870832.4526715385,176850.0,1047682.4526715385,1
2024-02-26,1046737.1688745385,0.0,1046737.1688745385,0
2024-02-27,1046737.1688745385,0.0,1046737.1688745385,0
2024-02-28,1046737.1688745385,0.0,1046737.1688745385,0
2024-02-29,1046737.1688745385,0.0,1046737.1688745385,0
2024-03-01,1046737.1688745385,0.0,1046737.1688745385,0
2024-03-04,1046737.1688745385,0.0,1046737.1688745385,0
2024-03-05,846709.2409539067,202289.515197,1048998.7561509067,1
2024-03-06,846709.2409539067,200350.018407,1047059.2593609067,1
2024-03-07,846709.2409539067,201319.766802,1048029.0077559067,1
2024-03-08,1046985.7224673403,0.0,1046985.7224673403,0
2024-03-11,1046985.7224673403,0.0,1046985.7224673403,0
2024-03-12,1046985.7224673403,0.0,1046985.7224673403,0
2024-03-13,1046985.7224673403,0.0,1046985.7224673403,0
2024-03-14,846957.7945467085,198410.52161700002,1045368.3161637085,1
2024-03-15,846957.7945467085,205586.65974,1052544.4542867085,1
2024-03-18,846957.7945467085,204422.961666,1051380.7562127085,1
2024-03-19,1050717.345303854,0.0,1050717.345303854,0
2024-03-20,1050717.345303854,0.0,1050717.345303854,0
2024-03-21,1050717.345303854,0.0,1050717.345303854,0
2024-03-22,1050717.345303854,0.0,1050717.345303854,0
2024-03-25,851063.071985354,199395.0,1050458.071985354,1
2024-03-26,851063.071985354,202230.0,1053293.071985354,1
2024-03-27,851063.071985354,202860.0,1053923.071985354,1
2024-03-28,1054085.309522354,0.0,1054085.309522354,0
2024-03-29,1054085.309522354,0.0,1054085.309522354,0
2024-04-01,1054085.309522354,0.0,1054085.309522354,0
2024-04-02,1054085.309522354,0.0,1054085.309522354,0
2024-04-03,1054085.309522354,0.0,1054085.309522354,0
2024-04-08,1054085.309522354,0.0,1054085.309522354,0
2024-04-09,1054085.309522354,0.0,1054085.309522354,0
2024-04-10,1054085.309522354,0.0,1054085.309522354,0
2024-04-11,1054085.309522354,0.0,1054085.309522354,0
2024-04-12,1054085.309522354,0.0,1054085.309522354,0
2024-04-15,683456.2483245383,379313.007996,1062769.2563205385,2
2024-04-16,683456.2483245383,378046.86027199996,1061503.1085965382,2
2024-04-17,683456.2483245383,386919.882888,1070376.1312125383,2
2024-04-18,869456.598887285,203118.20928,1072574.808167285,1
2024-04-19,869456.598887285,201049.412704,1070506.011591285,1
2024-04-22,869456.598887285,197476.0368,1066932.635687285,1
2024-04-23,1066666.3376154301,0.0,1066666.3376154301,0
2024-04-24,1066666.3376154301,0.0,1066666.3376154301,0
2024-04-25,1066666.3376154301,0.0,1066666.3376154301,0
2024-04-26,1066666.3376154301,0.0,1066666.3376154301,0
2024-04-29,1066666.3376154301,0.0,1066666.3376154301,0
2024-04-30,1066666.3376154301,0.0,1066666.3376154301,0
2024-05-06,1066666.3376154301,0.0,1066666.3376154301,0
2024-05-07,1066666.3376154301,0.0,1066666.3376154301,0
2024-05-08,867087.3438918715,197297.200083,1064384.5439748715,1
2024-05-09,867087.3438918715,197848.82319599998,1064936.1670878716,1
2024-05-10,867087.3438918715,201158.561874,1068245.9057658715,1
2024-05-13,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-14,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-15,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-16,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-17,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-20,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-21,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-22,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-23,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-24,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-27,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-28,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-29,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-30,1067049.6957837583,0.0,1067049.6957837583,0
2024-05-31,1067049.6957837583,0.0,1067049.6957837583,0
2024-06-03,1067049.6957837583,0.0,1067049.6957837583,0
2024-06-04,867286.5885973551,200779.058606,1068065.647203355,1
2024-06-05,867286.5885973551,198046.131311,1065332.719908355,1
2024-06-06,867286.5885973551,198592.71677,1065879.305367355,1
2024-06-07,1065786.3529713196,0.0,1065786.3529713196,0
2024-06-11,1065786.3529713196,0.0,1065786.3529713196,0
2024-06-12,866023.2457849163,200055.315648,1066078.5614329162,1
2024-06-13,866023.2457849163,198584.32068,1064607.5664649163,1
2024-06-14,866023.2457849163,200554.387302,1066577.6330869163,1
2024-06-17,865304.9957082772,198978.32139,1064283.3170982772,1
2024-06-18,865304.9957082772,198584.304912,1063889.3006202772,1
2024-06-19,865304.9957082772,199963.362585,1065268.3582932772,1
2024-06-20,1065005.257887864,0.0,1065005.257887864,0
2024-06-21,1065005.257887864,0.0,1065005.257887864,0
2024-06-24,1065005.257887864,0.0,1065005.257887864,0
2024-06-25,865085.6399898641,200196.0,1065281.639989864,1
2024-06-26,865085.6399898641,200464.0,1065549.639989864,1
2024-06-27,865085.6399898641,200732.0,1065817.639989864,1
2024-06-28,865863.153371264,199500.0,1065363.153371264,1
