date,code,side,price,shares,amount,fee,reason
2024-01-23,600000,BUY,5.855849999999999,34100,199684.485,59.90534549999999,signal
2024-01-23,000001,BUY,7.606059911449999,21000,159727.25814045,47.918177442135,signal
2024-01-26,600000,SELL,6.04395,34100,206098.69499999998,267.92830349999997,hold_days
2024-01-26,000001,SELL,7.94314613277,21000,166806.06878817,216.847889424621,hold_days
2024-01-26,600000,BUY,6.056049999999999,33000,199849.64999999997,59.954894999999986,signal
2024-01-26,000001,BUY,7.95904832723,20400,162364.585875492,48.709375762647596,signal
2024-01-31,600000,SELL,6.07392,33000,200439.36000000002,260.571168,hold_days
2024-01-31,000001,SELL,7.934758438859999,20400,161869.072152744,210.42979379856718,hold_days
2024-02-02,600000,BUY,6.096089999999999,32800,199951.75199999998,59.98552559999999,signal
2024-02-05,000001,BUY,7.723722716709999,21000,162198.17705091,48.65945311527299,signal
2024-02-07,600000,SELL,6.28371,32800,206105.688,267.93739439999996,hold_days
2024-02-08,000001,SELL,8.03541076578,21000,168743.62608138,219.366713905794,hold_days
2024-02-08,600000,BUY,6.226219999999999,32100,199861.66199999995,59.95849859999998,signal
2024-02-19,000001,BUY,8.20277842384,20100,164875.846319184,49.46275389575519,signal
2024-02-21,600000,SELL,6.37362,32100,204593.202,265.97116259999996,hold_days
2024-02-21,600000,BUY,6.386379999999999,27000,172432.25999999998,51.72967799999999,signal
2024-02-22,000001,SELL,8.93289401415,20100,179551.16968441498,233.41652058973946,hold_days
2024-02-26,600000,SELL,6.5234700000000005,27000,176133.69,228.973797,hold_days
2024-03-05,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-08,000001,SELL,8.681263196849999,23100,200537.17984723498,260.69833380140545,hold_days
2024-03-14,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-19,000001,SELL,8.83224168723,23100,204024.78297501302,265.2322178675169,hold_days
2024-03-25,600000,BUY,6.336329999999999,31500,199594.395,59.87831849999999,signal
2024-03-28,600000,SELL,6.45354,31500,203286.51,264.272463,hold_days
2024-04-15,000001,BUY,8.463317492629999,23600,199734.29282606798,59.92028784782039,signal
2024-04-15,600000,BUY,6.396389999999999,26700,170783.61299999998,51.23508389999999,signal
2024-04-18,000001,SELL,8.87418015678,23600,209430.651700008,272.2598472100104,hold_days
2024-04-18,600000,SELL,6.60339,26700,176310.513,229.2036669,hold_days
2024-04-18,000001,BUY,8.89194628322,22400,199179.59674412798,59.75387902323839,signal
2024-04-23,000001,SELL,8.81546629941,22400,197466.445106784,256.70637863881916,hold_days
2024-05-08,000001,BUY,9.11046292156,21900,199519.137982164,59.85574139464919,signal
2024-05-13,000001,SELL,9.1425863619,21900,200222.64132561,260.289433723293,hold_days
2024-06-04,000001,BUY,9.20291226855,21700,199703.196227535,59.910958868260494,signal
2024-06-07,000001,SELL,9.15936174972,21700,198758.149968924,258.3855949596012,hold_days
2024-06-12,000001,BUY,9.118867407649999,21900,199703.19622753497,59.91095886826049,signal
2024-06-17,000001,SELL,9.10364277447,21900,199369.776760893,259.1807097891609,hold_days
2024-06-17,000001,BUY,9.121868285529999,21900,199768.91545310698,59.930674635932085,signal
2024-06-20,000001,SELL,9.130603217039999,21900,199960.21045317597,259.94827358912875,hold_days
2024-06-25,600000,BUY,7.45745,26800,199859.66,59.95789799999999,signal
2024-06-28,600000,SELL,7.48251,26800,200531.268,260.6906484,hold_days
2024-06-28,600000,BUY,7.497489999999999,26600,199433.23399999997,59.829970199999984,signal
