date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2024-01-02,600000,5.9,5.87,5.92,5.87,220667,146066304.0,0.85,-0.34,-0.02,0.08,600000
2024-01-03,600000,5.86,5.91,5.92,5.86,182037,120639706.0,1.02,0.68,0.04,0.06,600000
2024-01-04,600000,5.91,5.89,5.94,5.82,288860,190580610.0,2.03,-0.34,-0.02,0.1,600000
2024-01-05,600000,5.87,5.95,6.03,5.86,444214,296976886.0,2.89,1.02,0.06,0.15,600000
2024-01-08,600000,5.95,5.86,5.98,5.83,375203,247977825.0,2.52,-1.51,-0.09,0.13,600000
2024-01-09,600000,5.87,5.88,5.91,5.81,307419,202647646.0,1.71,0.34,0.02,0.1,600000
2024-01-10,600000,5.88,5.84,5.9,5.84,222409,146695926.0,1.02,-0.68,-0.04,0.08,600000
2024-01-11,600000,5.83,5.8,5.86,5.79,359147,235312058.0,1.2,-0.68,-0.04,0.12,600000
2024-01-12,600000,5.79,5.77,5.83,5.77,346241,225743841.0,1.03,-0.52,-0.03,0.12,600000
2024-01-15,600000,5.77,5.78,5.81,5.74,286942,186476698.0,1.21,0.17,0.01,0.1,600000
2024-01-16,600000,5.76,5.86,5.87,5.76,531865,348808283.0,1.9,1.38,0.08,0.18,600000
2024-01-17,600000,5.85,5.8,5.89,5.79,482499,316982892.0,1.71,-1.02,-0.06,0.16,600000
2024-01-18,600000,5.8,5.83,5.85,5.63,739944,477803910.0,3.79,0.52,0.03,0.25,600000
2024-01-19,600000,5.79,5.86,5.89,5.74,576401,378165075.0,2.57,0.51,0.03,0.2,600000
2024-01-22,600000,5.85,5.86,5.94,5.8,671735,445086465.0,2.39,0.0,0.0,0.23,600000
2024-01-23,600000,5.85,5.89,5.92,5.77,332985,218923249.0,2.56,0.51,0.03,0.11,600000
2024-01-24,600000,5.91,5.98,6.0,5.87,537465,358343157.0,2.21,1.53,0.09,0.18,600000
2024-01-25,600000,6.0,6.04,6.07,5.97,502569,339203853.0,1.67,1.0,0.06,0.17,600000
2024-01-26,600000,6.05,6.14,6.18,6.02,709979,485347721.0,2.65,1.66,0.1,0.24,600000
2024-01-29,600000,6.13,6.17,6.24,6.12,552699,381908899.0,1.95,0.49,0.03,0.19,600000
2024-01-30,600000,6.17,6.1,6.22,6.09,407370,280193766.0,2.11,-1.13,-0.07,0.14,600000
2024-01-31,600000,6.08,6.1,6.15,6.01,456620,311141441.0,2.3,0.0,0.0,0.16,600000
2024-02-01,600000,6.1,6.07,6.15,6.05,442524,302115560.0,1.64,-0.49,-0.03,0.15,600000
2024-02-02,600000,6.09,6.11,6.19,5.99,594829,407459710.0,3.29,0.66,0.04,0.2,600000
2024-02-05,600000,6.11,6.16,6.19,6.03,827137,566786780.0,2.62,0.82,0.05,0.28,600000
2024-02-06,600000,6.16,6.27,6.27,6.13,716832,498307471.0,2.27,1.79,0.11,0.24,600000
2024-02-07,600000,6.29,6.21,6.3,6.12,837313,580014441.0,2.87,-0.96,-0.06,0.29,600000
2024-02-08,600000,6.22,6.23,6.24,6.09,671647,463209888.0,2.42,0.32,0.02,0.23,600000
2024-02-19,600000,6.25,6.39,6.4,6.22,578698,407648425.0,2.89,2.57,0.16,0.2,600000
2024-02-20,600000,6.4,6.37,6.42,6.33,324090,230505757.0,1.41,-0.31,-0.02,0.11,600000
2024-02-21,600000,6.38,6.51,6.59,6.36,588096,426038720.0,3.61,2.2,0.14,0.2,600000
2024-02-22,600000,6.51,6.48,6.54,6.45,336652,242967428.0,1.38,-0.46,-0.03,0.11,600000
2024-02-23,600000,6.48,6.55,6.6,6.47,379396,276331224.0,2.01,1.08,0.07,0.13,600000
2024-02-26,600000,6.53,6.37,6.55,6.36,424831,304097864.0,2.9,-2.75,-0.18,0.14,600000
2024-02-27,600000,6.34,6.41,6.42,6.33,248622,176742732.0,1.41,0.63,0.04,0.08,600000
2024-02-28,600000,6.39,6.37,6.43,6.35,358267,255229186.0,1.25,-0.62,-0.04,0.12,600000
2024-02-29,600000,6.38,6.42,6.44,6.36,342882,244498953.0,1.26,0.78,0.05,0.12,600000
2024-03-01,600000,6.4,6.38,6.43,6.37,294318,209474048.0,0.93,-0.62,-0.04,0.1,600000
2024-03-04,600000,6.39,6.34,6.39,6.32,278560,197157050.0,1.1,-0.63,-0.04,0.09,600000
2024-03-05,600000,6.32,6.43,6.45,6.31,417562,297676104.0,2.21,1.42,0.09,0.14,600000
2024-03-06,600000,6.44,6.39,6.49,6.39,259187,185847810.0,1.56,-0.62,-0.04,0.09,600000
2024-03-07,600000,6.39,6.41,6.47,6.38,246903,176664369.0,1.41,0.31,0.02,0.08,600000
2024-03-08,600000,6.39,6.39,6.44,6.38,198618,141724066.0,0.94,-0.31,-0.02,0.07,600000
2024-03-11,600000,6.4,6.38,6.44,6.33,261955,185957986.0,1.72,-0.16,-0.01,0.09,600000
2024-03-12,600000,6.38,6.37,6.42,6.35,290305,206425806.0,1.1,-0.16,-0.01,0.1,600000
2024-03-13,600000,6.39,6.31,6.39,6.3,259485,183084895.0,1.41,-0.94,-0.06,0.09,600000
2024-03-14,600000,6.31,6.31,6.36,6.3,187036,131973016.0,0.95,0.0,0.0,0.06,600000
2024-03-15,600000,6.31,6.36,6.36,6.3,295995,208970012.0,0.95,0.79,0.05,0.1,600000
2024-03-18,600000,6.33,6.36,6.4,6.33,265585,188382260.0,1.1,0.0,0.0,0.09,600000
2024-03-19,600000,6.35,6.28,6.35,6.28,228487,160809198.0,1.1,-1.26,-0.08,0.08,600000
2024-03-20,600000,6.28,6.3,6.33,6.25,195430,137292232.0,1.27,0.32,0.02,0.07,600000
2024-03-21,600000,6.33,6.37,6.4,6.3,419249,297257990.0,1.59,1.11,0.07,0.14,600000
2024-03-22,600000,6.35,6.31,6.39,6.23,359605,252638802.0,2.51,-0.94,-0.06,0.12,600000
2024-03-25,600000,6.33,6.33,6.36,6.28,244395,172644827.0,1.27,0.32,0.02,0.08,600000
2024-03-26,600000,6.36,6.42,6.42,6.34,351115,250044910.0,1.26,1.42,0.09,0.12,600000
2024-03-27,600000,6.41,6.44,6.5,6.38,419431,301380700.0,1.87,0.31,0.02,0.14,600000
2024-03-28,600000,6.46,6.44,6.47,6.38,345360,246970623.0,1.4,0.0,0.0,0.12,600000
2024-03-29,600000,6.4,6.4,6.46,6.38,181389,129562451.0,1.24,-0.62,-0.04,0.06,600000
2024-04-01,600000,6.42,6.5,6.51,6.41,360288,259657244.0,1.56,1.56,0.1,0.12,600000
2024-04-02,600000,6.51,6.54,6.58,6.49,350952,255236210.0,1.38,0.62,0.04,0.12,600000
