top_n,hold_days,min_score,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
3,2,0.55,0.05101994138298127,0.1131320175438757,-0.005480542335311478,3.9275970836019654,33.0,1051019.9413829814
5,2,0.55,0.05101994138298127,0.1131320175438757,-0.005480542335311478,3.9275970836019654,33.0,1051019.9413829814
10,2,0.55,0.05101994138298127,0.1131320175438757,-0.005480542335311478,3.9275970836019654,33.0,1051019.9413829814
3,2,0.35,0.07293102811291785,0.16371588953907357,-0.009503421733486728,3.7236139469070904,57.0,1072931.028112918
5,2,0.35,0.07293102811291785,0.16371588953907357,-0.009503421733486728,3.7236139469070904,57.0,1072931.028112918
10,2,0.35,0.07293102811291785,0.16371588953907357,-0.009503421733486728,3.7236139469070904,57.0,1072931.028112918
3,2,0.45,0.06928053141118484,0.1552047319107146,-0.007683158371307619,3.6225350984557156,47.0,1069280.531411185
5,2,0.45,0.06928053141118484,0.1552047319107146,-0.007683158371307619,3.6225350984557156,47.0,1069280.531411185
10,2,0.45,0.06928053141118484,0.1552047319107146,-0.007683158371307619,3.6225350984557156,47.0,1069280.531411185
3,5,0.35,0.07563393835528198,0.17003931317772558,-0.010409498326218292,3.4397920283377967,33.0,1075633.938355282
5,5,0.35,0.07563393835528198,0.17003931317772558,-0.010409498326218292,3.4397920283377967,33.0,1075633.938355282
10,5,0.35,0.07563393835528198,0.17003931317772558,-0.010409498326218292,3.4397920283377967,33.0,1075633.938355282
3,5,0.45,0.07379992302216776,0.16574665589406234,-0.007261046893586309,3.4227498905800053,29.0,1073799.9230221678
5,5,0.45,0.07379992302216776,0.16574665589406234,-0.007261046893586309,3.4227498905800053,29.0,1073799.9230221678
10,5,0.45,0.07379992302216776,0.16574665589406234,-0.007261046893586309,3.4227498905800053,29.0,1073799.9230221678
3,5,0.55,0.06939490802494097,0.1554708938874858,-0.009136466811929478,3.351841709020942,23.0,1069394.9080249409
5,5,0.55,0.06939490802494097,0.1554708938874858,-0.009136466811929478,3.351841709020942,23.0,1069394.9080249409
10,5,0.55,0.06939490802494097,0.1554708938874858,-0.009136466811929478,3.351841709020942,23.0,1069394.9080249409
3,3,0.35,0.06958182776930277,0.15590593925485519,-0.007756708881635266,3.332976906417897,47.0,1069581.8277693028
5,3,0.35,0.06958182776930277,0.15590593925485519,-0.007756708881635266,3.332976906417897,47.0,1069581.8277693028
10,3,0.35,0.06958182776930277,0.15590593925485519,-0.007756708881635266,3.332976906417897,47.0,1069581.8277693028
3,3,0.55,0.06347024437233961,0.14172701473225668,-0.007756708881635266,3.215587944388852,31.0,1063470.2443723397
5,3,0.55,0.06347024437233961,0.14172701473225668,-0.007756708881635266,3.215587944388852,31.0,1063470.2443723397
10,3,0.55,0.06347024437233961,0.14172701473225668,-0.007756708881635266,3.215587944388852,31.0,1063470.2443723397
3,3,0.45,0.06536315337126397,0.14610855827453872,-0.008097810503165603,3.1601641441715955,41.0,1065363.153371264
5,3,0.45,0.06536315337126397,0.14610855827453872,-0.008097810503165603,3.1601641441715955,41.0,1065363.153371264
10,3,0.45,0.06536315337126397,0.14610855827453872,-0.008097810503165603,3.1601641441715955,41.0,1065363.153371264
