date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,1000000.0,0.0,1000000.0,0
2024-01-24,1000000.0,0.0,1000000.0,0
2024-01-25,1000000.0,0.0,1000000.0,0
2024-01-26,1000000.0,0.0,1000000.0,0
2024-01-29,1000000.0,0.0,1000000.0,0
2024-01-30,1000000.0,0.0,1000000.0,0
2024-01-31,1000000.0,0.0,1000000.0,0
2024-02-01,1000000.0,0.0,1000000.0,0
2024-02-02,1000000.0,0.0,1000000.0,0
2024-02-05,1000000.0,0.0,1000000.0,0
2024-02-06,1000000.0,0.0,1000000.0,0
2024-02-07,1000000.0,0.0,1000000.0,0
2024-02-08,1000000.0,0.0,1000000.0,0
2024-02-19,1000000.0,0.0,1000000.0,0
2024-02-20,1000000.0,0.0,1000000.0,0
2024-02-21,1000000.0,0.0,1000000.0,0
2024-02-22,1000000.0,0.0,1000000.0,0
2024-02-23,1000000.0,0.0,1000000.0,0
2024-02-26,1000000.0,0.0,1000000.0,0
2024-02-27,1000000.0,0.0,1000000.0,0
2024-02-28,1000000.0,0.0,1000000.0,0
2024-02-29,1000000.0,0.0,1000000.0,0
2024-03-01,1000000.0,0.0,1000000.0,0
2024-03-04,1000000.0,0.0,1000000.0,0
2024-03-05,1000000.0,0.0,1000000.0,0
2024-03-06,1000000.0,0.0,1000000.0,0
2024-03-07,1000000.0,0.0,1000000.0,0
2024-03-08,1000000.0,0.0,1000000.0,0
2024-03-11,1000000.0,0.0,1000000.0,0
2024-03-12,1000000.0,0.0,1000000.0,0
2024-03-13,1000000.0,0.0,1000000.0,0
2024-03-14,1000000.0,0.0,1000000.0,0
2024-03-15,1000000.0,0.0,1000000.0,0
2024-03-18,1000000.0,0.0,1000000.0,0
2024-03-19,1000000.0,0.0,1000000.0,0
2024-03-20,1000000.0,0.0,1000000.0,0
2024-03-21,1000000.0,0.0,1000000.0,0
2024-03-22,1000000.0,0.0,1000000.0,0
2024-03-25,1000000.0,0.0,1000000.0,0
2024-03-26,1000000.0,0.0,1000000.0,0
2024-03-27,1000000.0,0.0,1000000.0,0
2024-03-28,1000000.0,0.0,1000000.0,0
2024-03-29,1000000.0,0.0,1000000.0,0
2024-04-01,1000000.0,0.0,1000000.0,0
2024-04-02,1000000.0,0.0,1000000.0,0
2024-04-03,1000000.0,0.0,1000000.0,0
2024-04-08,1000000.0,0.0,1000000.0,0
2024-04-09,1000000.0,0.0,1000000.0,0
2024-04-10,1000000.0,0.0,1000000.0,0
2024-04-11,1000000.0,0.0,1000000.0,0
2024-04-12,1000000.0,0.0,1000000.0,0
2024-04-15,1000000.0,0.0,1000000.0,0
2024-04-16,1000000.0,0.0,1000000.0,0
2024-04-17,1000000.0,0.0,1000000.0,0
2024-04-18,1000000.0,0.0,1000000.0,0
2024-04-19,1000000.0,0.0,1000000.0,0
2024-04-22,1000000.0,0.0,1000000.0,0
2024-04-23,800311.7151797756,199998.222236,1000309.9374157756,1
2024-04-24,800311.7151797756,199808.470602,1000120.1857817756,1
2024-04-25,800311.7151797756,201326.483674,1001638.1988537756,1
2024-04-26,1000796.7787619163,0.0,1000796.7787619163,0
2024-04-29,1000796.7787619163,0.0,1000796.7787619163,0
2024-04-30,801202.5834614164,202827.0,1004029.5834614164,1
2024-05-06,801202.5834614164,207192.0,1008394.5834614164,1
2024-05-07,801202.5834614164,206319.0,1007521.5834614164,1
2024-05-08,807177.9931742578,197297.200083,1004475.1932572578,1
2024-05-09,807177.9931742578,197848.82319599998,1005026.8163702578,1
2024-05-10,807177.9931742578,201158.561874,1008336.5550482578,1
2024-05-13,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-14,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-15,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-16,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-17,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-20,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-21,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-22,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-23,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-24,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-27,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-28,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-29,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-30,1007140.3450661445,0.0,1007140.3450661445,0
2024-05-31,1007140.3450661445,0.0,1007140.3450661445,0
2024-06-03,1007140.3450661445,0.0,1007140.3450661445,0
2024-06-04,807561.1692701445,200376.0,1007937.1692701445,1
2024-06-05,807561.1692701445,199584.0,1007145.1692701445,1
2024-06-06,807561.1692701445,198528.0,1006089.1692701445,1
2024-06-07,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-11,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-12,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-13,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-14,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-17,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-18,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-19,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-20,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-21,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-24,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-25,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-26,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-27,1007476.5649589446,0.0,1007476.5649589446,0
2024-06-28,1007476.5649589446,0.0,1007476.5649589446,0
