date,cash,market_value,equity,positions
2025-01-01,1000000.0,0.0,1000000.0,0
2025-01-02,1000000.0,0.0,1000000.0,0
2025-01-03,1000000.0,0.0,1000000.0,0
2025-01-06,1000000.0,0.0,1000000.0,0
2025-01-07,1000000.0,0.0,1000000.0,0
2025-01-08,1000000.0,0.0,1000000.0,0
2025-01-09,1000000.0,0.0,1000000.0,0
2025-01-10,641341.0580857488,362590.65274044016,1003931.710826189,2
2025-01-13,641341.0580857488,366209.49614161963,1007550.5542273684,2
2025-01-14,641341.0580857488,370697.4470075971,1012038.5050933459,2
2025-01-15,649773.0972175753,369355.57463279425,1019128.6718503695,2
2025-01-16,649773.0972175753,375617.5720368736,1025390.669254449,2
2025-01-17,649773.0972175753,378215.98345762247,1027989.0806751978,2
2025-01-20,663511.1552170394,365819.40185367194,1029330.5570707114,2
2025-01-21,663511.1552170394,363659.4098205602,1027170.5650375995,2
2025-01-22,663511.1552170394,375131.0160992112,1038642.1713162506,2
2025-01-23,670986.5577237143,370216.55815578846,1041203.1158795027,2
2025-01-24,670986.5577237143,373629.14894444536,1044615.7066681597,2
2025-01-27,670986.5577237143,376129.5340881765,1047116.0918118907,2
2025-01-28,845522.441663584,213525.11354170967,1059047.5552052937,1
2025-01-29,845522.441663584,216069.9422412975,1061592.3839048815,1
2025-01-30,676942.1127139275,386322.13280964,1063264.2455235675,2
2025-01-31,892116.1441438077,179195.13224566748,1071311.2763894752,1
2025-02-03,713899.0487960451,370570.70517456665,1084469.7539706118,2
2025-02-04,716394.043943835,365368.79092103825,1081762.8348648732,2
2025-02-05,716394.043943835,367046.75108957046,1083440.7950334055,2
2025-02-06,720262.8361632699,374655.80673880025,1094918.6429020702,2
2025-02-07,729714.3545231313,371594.43942670187,1101308.7939498331,2
2025-02-10,729714.3545231313,364313.9157830881,1094028.2703062193,2
2025-02-11,911200.1539870752,187381.2569701967,1098581.410957272,1
2025-02-12,1097560.8846568617,0.0,1097560.8846568617,0
2025-02-13,898246.8431376151,206270.64467181018,1104517.4878094252,1
2025-02-14,898246.8431376151,199431.41453525648,1097678.2576728717,1
2025-02-17,898246.8431376151,201371.526593882,1099618.369731497,1
2025-02-18,1100420.90591319,0.0,1100420.90591319,0
2025-02-19,900503.1600323806,204771.5800573663,1105274.740089747,1
2025-02-20,900503.1600323806,205501.65791855004,1106004.8179509307,1
2025-02-21,900503.1600323806,203799.792611586,1104302.9526439665,1
2025-02-24,903451.5200833675,209290.72185213075,1112742.2419354983,1
2025-02-25,903451.5200833675,204237.1253827444,1107688.6454661118,1
2025-02-26,903451.5200833675,206532.09690258495,1109983.6169859525,1
2025-02-27,1109183.0873627176,0.0,1109183.0873627176,0
2025-02-28,1109183.0873627176,0.0,1109183.0873627176,0
2025-03-03,1109183.0873627176,0.0,1109183.0873627176,0
2025-03-04,1109183.0873627176,0.0,1109183.0873627176,0
2025-03-05,727924.2214073155,384294.40285499446,1112218.6242623099,2
2025-03-06,727924.2214073155,393453.6377119791,1121377.8591192947,2
2025-03-07,727924.2214073155,388980.8114112726,1116905.032818588,2
2025-03-10,916738.9221483232,202367.82636457848,1119106.7485129016,1
2025-03-11,733615.9509666541,387527.70087607193,1121143.651842726,2
2025-03-12,733615.9509666541,389194.1309427533,1122810.0819094074,2
2025-03-13,745460.0061056057,391379.55653038586,1136839.5626359917,2
2025-03-14,748065.8200602804,394789.42770946736,1142855.2477697479,2
2025-03-17,748065.8200602804,399250.9289087279,1147316.7489690082,2
2025-03-18,757998.2357851837,395895.17584357905,1153893.4116287627,2
2025-03-19,774700.8173568523,384693.4551150955,1159394.2724719478,2
2025-03-20,774700.8173568523,388465.0904257828,1163165.9077826352,2
2025-03-21,962541.1357738877,199313.2836281573,1161854.419402045,1
2025-03-24,1162082.3990203799,0.0,1162082.3990203799,0
2025-03-25,962075.1273913214,205004.24713800554,1167079.3745293268,1
2025-03-26,962075.1273913214,204386.55636229148,1166461.683753613,1
2025-03-27,770410.3707464323,398189.6409743924,1168600.0117208248,2
2025-03-28,971542.5220384051,199178.7438322358,1170721.265870641,1
2025-03-31,777760.9138617609,391072.7542625502,1168833.6681243111,2
2025-04-01,779402.6705234143,396970.5763747648,1176373.246898179,2
2025-04-02,779402.6705234143,391640.5212548311,1171043.1917782454,2
2025-04-03,976835.7723595398,201593.41320416483,1178429.1855637045,1
2025-04-04,784111.038853007,398399.27389691817,1182510.312749925,2
2025-04-07,784111.038853007,412667.35820734745,1196778.3970603545,2
2025-04-08,784111.038853007,399475.6291367882,1183586.667989795,2
2025-04-09,982349.7735735099,205988.0043675697,1188337.7779410796,1
2025-04-10,982349.7735735099,208707.6676356796,1191057.4412091896,1
2025-04-11,786713.2142163219,410248.76920142054,1196961.9834177424,2
2025-04-14,998838.9982824634,200227.54267975152,1199066.540962215,1
2025-04-15,799092.2424247027,400544.68367668794,1199636.9261013907,2
2025-04-16,798611.0779252021,410377.45475733443,1208988.5326825366,2
2025-04-17,798611.0779252021,415248.39923595916,1213859.4771611611,2
2025-04-18,809637.3378435101,406196.7849881493,1215834.1228316594,2
2025-04-21,817894.4193508121,407653.1809133587,1225547.6002641707,2
2025-04-22,817894.4193508121,412093.1451835879,1229987.5645344001,2
2025-04-23,820627.5126969734,403778.5143531008,1224406.0270500742,2
2025-04-24,1030537.5997765578,192681.41954958654,1223219.0193261444,1
