date,cash,market_value,equity,positions
2025-01-01,1000000.0,0.0,1000000.0,0
2025-01-02,1000000.0,0.0,1000000.0,0
2025-01-03,1000000.0,0.0,1000000.0,0
2025-01-06,1000000.0,0.0,1000000.0,0
2025-01-07,1000000.0,0.0,1000000.0,0
2025-01-08,1000000.0,0.0,1000000.0,0
2025-01-09,1000000.0,0.0,1000000.0,0
2025-01-10,641341.0580857488,362590.6527404401,1003931.7108261889,2
2025-01-13,641341.0580857488,366209.49614161963,1007550.5542273684,2
2025-01-14,641341.0580857488,370697.4470075971,1012038.5050933459,2
2025-01-15,811889.7999619385,203423.0882099935,1015312.888171932,1
2025-01-16,811889.7999619385,205315.9907839217,1017205.7907458602,1
2025-01-17,649733.5942074179,376854.6904613985,1026588.2846688165,2
2025-01-20,689392.5582486619,336228.42673532397,1025620.9849839859,2
2025-01-21,689392.5582486619,338933.621146984,1028326.1793956459,2
2025-01-22,682844.7178624704,355082.84308908635,1037927.5609515568,2
2025-01-23,863143.9170228429,174239.15431434597,1037383.0713371888,1
2025-01-24,863143.9170228429,178620.8078701051,1041764.724892948,1
2025-01-27,840796.9999397848,203282.60654488706,1044079.6064846718,1
2025-01-28,673268.4137467257,384918.91299537243,1058187.3267420982,2
2025-01-29,673268.4137467257,392650.9654310835,1065919.3791778092,2
2025-01-30,890042.4835791601,175039.76176777488,1065082.245346935,1
2025-01-31,1064793.3345047436,0.0,1064793.3345047436,0
2025-02-03,692652.1171592617,398679.64773736056,1091331.7648966224,2
2025-02-04,692652.1171592617,397071.31608211354,1089723.4332413753,2
2025-02-05,692652.1171592617,390634.9469568657,1083287.0641161273,2
2025-02-06,707527.7566494803,384996.7289195383,1092524.4855690186,2
2025-02-07,707527.7566494803,383872.3634765815,1091400.1201260618,2
2025-02-10,707527.7566494803,380333.8845710284,1087861.6412205086,2
2025-02-11,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-12,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-13,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-14,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-17,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-18,1088658.5375499844,0.0,1088658.5375499844,0
2025-02-19,888740.791669175,204771.5800573663,1093512.3717265413,1
2025-02-20,888740.791669175,205501.65791855004,1094242.449587725,1
2025-02-21,888740.791669175,203799.792611586,1092540.584280761,1
2025-02-24,891689.1517201619,209290.72185213075,1100979.8735722927,1
2025-02-25,891689.1517201619,204237.12538274442,1095926.2771029063,1
2025-02-26,891689.1517201619,206532.09690258495,1098221.248622747,1
2025-02-27,1097420.718999512,0.0,1097420.718999512,0
2025-02-28,1097420.718999512,0.0,1097420.718999512,0
2025-03-03,1097420.718999512,0.0,1097420.718999512,0
2025-03-04,1097420.718999512,0.0,1097420.718999512,0
2025-03-05,897935.915133397,203516.38129846466,1101452.2964318616,1
2025-03-06,897935.915133397,206757.3459666961,1104693.2611000931,1
2025-03-07,718646.3732267332,385460.8346873628,1104107.2079140958,2
2025-03-10,921218.7073319753,181746.04668399124,1102964.7540159666,1
2025-03-11,738095.7361503062,363942.8441768305,1102038.5803271367,2
2025-03-12,733838.6790960149,382941.4178689597,1116780.0969649747,2
2025-03-13,733838.6790960149,381961.25809576863,1115799.9371917835,2
2025-03-14,739499.2451221363,391227.781354276,1130727.0264764123,2
2025-03-17,750529.3899293445,384194.1085230274,1134723.498452372,2
2025-03-18,750529.3899293445,391125.4306002342,1141654.8205295787,2
2025-03-19,941163.8154065264,209283.31288186586,1150447.1282883922,1
2025-03-20,1150291.7901094717,0.0,1150291.7901094717,0
2025-03-21,1150291.7901094717,0.0,1150291.7901094717,0
2025-03-24,1150291.7901094717,0.0,1150291.7901094717,0
2025-03-25,950284.5184804131,205004.24713800554,1155288.7656184186,1
2025-03-26,950284.5184804131,204386.55636229148,1154671.0748427047,1
2025-03-27,950284.5184804131,200750.57967141792,1151035.098151831,1
2025-03-28,1151416.6697723859,0.0,1151416.6697723859,0
2025-03-31,951494.0951394396,203077.3869945201,1154571.4821339597,1
2025-04-01,951494.0951394396,206444.78947083472,1157938.8846102743,1
2025-04-02,951494.0951394396,203789.1983119214,1155283.293451361,1
2025-04-03,1155183.879780231,0.0,1155183.879780231,0
2025-04-04,955247.2233308107,200919.7289733935,1156166.9523042042,1
2025-04-07,955247.2233308107,214002.2024119544,1169249.425742765,1
2025-04-08,955247.2233308107,199392.93810479043,1154640.161435601,1
2025-04-09,954528.6701502835,205988.0043675697,1160516.6745178532,1
2025-04-10,954528.6701502835,208707.6676356796,1163236.337785963,1
2025-04-11,763578.0164064413,405477.8590949398,1169055.8755013812,2
2025-04-14,975703.8004725828,195431.67339400898,1171135.4738665917,1
2025-04-15,780915.297419802,390775.8250032436,1171691.1224230456,2
2025-04-16,780307.1554816172,400510.36499140016,1180817.5204730174,2
2025-04-17,780307.1554816172,405261.20949704415,1185568.3649786613,2
2025-04-18,789324.3085178263,400618.34396502504,1189942.6524828514,2
2025-04-21,793966.130776755,401503.3735222115,1195469.5042989666,2
2025-04-22,793966.130776755,406412.3485550248,1200378.4793317798,2
2025-04-23,992762.9725494678,208252.38607606268,1201015.3586255305,1
2025-04-24,1002240.5469233907,198940.2252717949,1201180.7721951855,1
2025-04-25,1002240.5469233907,202145.5795775281,1204386.1265009188,1
