date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,799737.2790685911,201412.68969600002,1001149.968764591,1
2024-01-04,799737.2790685911,200806.024968,1000543.3040365911,1
2024-01-05,639839.3759478013,365294.385639,1005133.7615868013,2
2024-01-08,841999.6186695766,160562.627115,1002562.2457845766,1
2024-01-09,841999.6186695766,161089.061958,1003088.6806275765,1
2024-01-10,1002368.2353827028,0.0,1002368.2353827028,0
2024-01-11,802352.0896684293,201719.420686,1004071.5103544294,1
2024-01-12,802352.0896684293,202159.375802,1004511.4654704293,1
2024-01-15,642054.6916803769,362890.82486099994,1004945.5165413768,2
2024-01-16,843749.3637252208,162261.28188700002,1006010.6456122207,1
2024-01-17,843749.3637252208,160783.940929,1004533.3046542208,1
2024-01-18,803967.184962108,200828.494032,1004795.678994108,1
2024-01-19,803967.184962108,201746.91702300002,1005714.1019851081,1
2024-01-22,803967.184962108,201746.91702300002,1005714.1019851081,1
2024-01-23,804831.6321600896,202268.524972,1007100.1571320896,1
2024-01-24,804831.6321600896,206022.416811,1010854.0489710895,1
2024-01-25,814382.3146107711,203395.28025,1017777.5948607712,1
2024-01-26,651657.1670153753,370617.784782,1022274.9517973753,2
2024-01-29,861135.047900238,165372.31104,1026507.3589402379,1
2024-01-30,861135.047900238,163694.620928,1024829.6688282379,1
2024-01-31,1023975.1458300423,0.0,1023975.1458300423,0
2024-02-01,1023975.1458300423,0.0,1023975.1458300423,0
2024-02-02,1023975.1458300423,0.0,1023975.1458300423,0
2024-02-05,823862.1021149548,203976.289678,1027838.3917929549,1
2024-02-06,833273.1973896045,208061.82707200001,1041335.0244616045,1
2024-02-07,833273.1973896045,206557.247744,1039830.4451336046,1
2024-02-08,666466.8920852897,374657.218304,1041124.1103892897,2
2024-02-19,701312.1565905311,346083.87076900003,1047396.0273595311,2
2024-02-20,701312.1565905311,345783.367454,1047095.5240445312,2
2024-02-21,859245.6972031179,220346.98596,1079592.6831631179,1
2024-02-22,875764.3028071552,199127.39864499998,1074891.7014521551,1
2024-02-23,875764.3028071552,201060.67436,1076824.9771671551,1
2024-02-26,875764.3028071552,196089.39395,1071853.6967571552,1
2024-02-27,870349.3612167955,201873.30550800002,1072222.6667247955,1
