date,code,shares,cost_price,market_price,market_value
2024-01-03,600000,32400,6.179094448560771,6.21644104,201412.68969600002
2024-01-04,600000,32400,6.179094448560771,6.19771682,200806.024968
2024-01-05,600000,32400,6.179094448560771,6.25388948,202626.019152
2024-01-05,000001,20900,7.648322877337269,7.78317543,162668.366487
2024-01-08,000001,20900,7.648322877337269,7.68242235,160562.627115
2024-01-09,000001,20900,7.648322877337269,7.70761062,161089.061958
2024-01-11,000001,26200,7.631914460557767,7.69921453,201719.420686
2024-01-12,000001,26200,7.631914460557767,7.71600671,202159.375802
2024-01-15,000001,26200,7.631914460557767,7.73279889,202599.330918
2024-01-15,600000,26300,6.093130159357231,6.09473361,160291.49394299998
2024-01-16,600000,26300,6.093130159357231,6.16963049,162261.28188700002
2024-01-17,600000,26300,6.093130159357231,6.11345783,160783.940929
2024-01-18,600000,32700,6.120381795158678,6.14154416,200828.494032
2024-01-19,600000,32700,6.120381795158678,6.16963049,201746.91702300002
2024-01-22,600000,32700,6.120381795158678,6.16963049,201746.91702300002
2024-01-23,000001,26300,7.6065878683606885,7.69081844,202268.524972
2024-01-24,000001,26300,7.6065878683606885,7.83355197,206022.416811
2024-01-25,000001,25500,7.841662637743383,7.9762855,203395.28025
2024-01-26,000001,25500,7.841662637743383,8.07703858,205964.48379
2024-01-26,600000,25600,6.354544714530792,6.43176957,164653.300992
2024-01-29,600000,25600,6.354544714530792,6.4598559,165372.31104
2024-01-30,600000,25600,6.354544714530792,6.39432113,163694.620928
2024-02-05,000001,25900,7.72405512767357,7.87553242,203976.289678
2024-02-06,000001,25600,7.816472594653742,8.12741512,208061.82707200001
2024-02-07,000001,25600,7.816472594653742,8.06864249,206557.247744
2024-02-08,000001,25600,7.816472594653742,8.11901903,207846.88716800002
2024-02-08,600000,25600,6.513917125812054,6.51602856,166810.331136
2024-02-19,600000,25600,6.513917125812054,6.66582232,170645.051392
2024-02-19,000001,21300,8.203104626179176,8.23656429,175438.819377
2024-02-20,600000,25600,6.513917125812054,6.6470981,170165.71136
2024-02-20,000001,21300,8.203104626179176,8.24496038,175617.656094
2024-02-21,000001,24300,8.219705808603903,9.0677772,220346.98596
2024-02-22,600000,29500,6.786727670441268,6.75008131,199127.39864499998
2024-02-23,600000,29500,6.786727670441268,6.81561608,201060.67436
2024-02-26,600000,29500,6.786727670441268,6.6470981,196089.39395
2024-02-27,600000,30200,6.62804280225424,6.68454654,201873.30550800002
2024-02-28,600000,30200,6.62804280225424,6.6470981,200742.36262
2024-02-29,600000,30200,6.62804280225424,6.69390865,202156.04123
2024-03-05,600000,30300,6.608324667717757,6.70327076,203109.104028
2024-03-06,600000,30300,6.608324667717757,6.66582232,201974.416296
2024-03-07,600000,30300,6.608324667717757,6.68454654,202541.76016200002
2024-03-07,000001,20000,8.682092239521872,8.71514142,174302.8284
2024-03-08,000001,20000,8.682092239521872,8.71514142,174302.8284
2024-03-11,000001,20000,8.682092239521872,8.79070623,175814.12459999998
2024-03-12,600000,30000,6.665180299545254,6.6470981,199412.943
2024-03-13,600000,30000,6.665180299545254,6.59092544,197727.76320000002
2024-03-14,600000,30000,6.665180299545254,6.59092544,197727.76320000002
2024-03-15,000001,22500,8.866892257860563,8.8998554,200246.7465
2024-03-18,000001,22500,8.866892257860563,8.84947886,199113.27435
2024-03-19,000001,22500,8.866892257860563,8.7319336,196468.506
2024-03-20,600000,30400,6.572464586070632,6.58156333,200079.52523199999
2024-03-21,600000,30400,6.572464586070632,6.6470981,202071.78224
2024-03-22,600000,30400,6.572464586070632,6.59092544,200364.133376
2024-03-25,600000,30200,6.618709578188814,6.60964966,199611.41973199998
2024-03-26,600000,30200,6.618709578188814,6.69390865,202156.04123
2024-03-27,600000,30200,6.618709578188814,6.71263287,202721.512674
2024-04-01,600000,29800,6.702263549029344,6.76880553,201710.404794
2024-04-02,600000,29800,6.702263549029344,6.80625397,202826.36830600002
2024-04-03,600000,29800,6.702263549029344,6.76880553,201710.404794
2024-04-08,600000,29500,6.777402654037492,6.81561608,201060.67436
2024-04-09,600000,29500,6.777402654037492,6.79689186,200508.30987
2024-04-10,600000,29500,6.777402654037492,6.80625397,200784.492115
2024-04-15,000001,23600,8.46372941335888,8.63957661,203894.00799600003
2024-04-16,000001,23600,8.46372941335888,8.63118052,203695.860272
2024-04-17,000001,23200,8.623271271981338,8.91664758,206866.223856
2024-04-18,600000,29100,6.8799417663170175,6.86242663,199696.614933
2024-04-19,600000,29100,6.8799417663170175,6.87178874,199969.052334
2024-04-22,600000,29100,6.8799417663170175,6.82497819,198606.86532900002
2024-04-23,000001,22600,8.83359735952151,8.84947886,199998.222236
2024-04-24,000001,22600,8.83359735952151,8.84108277,199808.470602
2024-04-24,600000,25700,6.918297979118205,6.89051296,177086.18307199999
2024-04-25,000001,22600,8.83359735952151,8.90825149,201326.483674
2024-04-25,600000,25700,6.918297979118205,6.93732351,178289.21420699998
2024-04-26,600000,25700,6.918297979118205,6.94668562,178529.820434
2024-04-26,000001,20500,8.900690913245187,8.8998554,182447.0357
2024-04-29,000001,20500,8.900690913245187,9.07617329,186061.552445
2024-04-30,000001,20500,8.900690913245187,9.05938111,185717.31275500002
2024-04-30,600000,25500,7.104090570977999,7.2088247,183825.02985
2024-05-06,600000,25500,7.104090570977999,7.34925635,187406.036925
2024-05-07,600000,25500,7.104090570977999,7.32117002,186689.83551
2024-05-09,600000,27300,7.311510277280737,7.3024458,199356.77034
2024-05-10,600000,27300,7.311510277280737,7.43351534,202934.96878199998
2024-05-13,600000,27300,7.311510277280737,7.45223956,203446.13998799998
2024-05-16,600000,26900,7.423192370728156,7.50841222,201976.288718
2024-05-17,600000,26900,7.423192370728156,7.63948176,205502.059344
2024-05-20,600000,26000,7.685286466086029,7.78927552,202521.16352
2024-05-21,600000,26000,7.685286466086029,7.88289662,204955.31212000002
2024-05-21,000001,19200,9.514147928072555,9.69748395,186191.69184
2024-05-22,000001,19200,9.514147928072555,9.70588004,186352.896768
2024-05-22,600000,23800,7.882197906791493,7.98587983,190063.939954
2024-05-23,000001,19200,9.514147928072555,9.5715426,183773.61792000002
2024-05-23,600000,23800,7.882197906791493,7.97651772,189841.121736
2024-05-24,600000,23800,7.882197906791493,7.90162084,188058.575992
2024-05-27,600000,25200,7.920025384225721,7.99524194,201480.096888
2024-05-28,600000,25200,7.920025384225721,7.99524194,201480.096888
2024-05-29,600000,25200,7.920025384225721,7.94843139,200300.471028
2024-06-04,600000,25800,7.7610864060423665,7.78927552,200963.308416
2024-06-05,600000,25800,7.7610864060423665,7.76118919,200238.681102
2024-06-06,600000,25800,7.7610864060423665,7.72374075,199272.51135000002
2024-06-07,000001,21800,9.178211252410007,9.22730291,201155.20343800003
2024-06-11,000001,21800,9.178211252410007,9.12654983,198958.786294
2024-06-12,000001,21800,9.178211252410007,9.13494592,199141.821056
2024-06-14,000001,21900,9.14024413254559,9.15773458,200554.387302
2024-06-17,000001,21900,9.14024413254559,9.0857681,198978.32139
2024-06-18,000001,21900,9.14024413254559,9.06777648,198584.304912
2024-06-19,600000,26300,7.592365925863592,7.69565442,202395.71124600002
2024-06-20,600000,26300,7.592365925863592,7.6769302,201903.26426
2024-06-21,600000,26300,7.592365925863592,7.64884387,201164.593781
2024-06-25,000001,22200,8.996578312519741,9.06777648,201304.637856
2024-06-26,000001,22200,8.996578312519741,9.06777648,201304.637856
2024-06-27,000001,22200,8.996578312519741,9.11275553,202303.17276599997
2024-06-28,000001,22000,9.095507029279025,9.13074715,200876.4373
