date,code,side,price,shares,amount,fee,reason
2024-01-03,600000,BUY,6.179094448560771,32400,200202.66013336898,60.06079804001069,signal
2024-01-05,000001,BUY,7.648322877337269,20900,159849.94813634892,47.954984440904674,signal
2024-01-08,600000,SELL,6.24763559052,32400,202423.393132848,263.15041107270235,hold_days
2024-01-10,000001,SELL,7.68312762156,20900,160577.367290604,208.75057747778519,hold_days
2024-01-11,000001,BUY,7.631914460557767,26200,199956.1588666135,59.98684765998404,signal
2024-01-15,600000,BUY,6.093130159357231,26300,160249.32319109517,48.074796957328545,signal
2024-01-16,000001,SELL,7.70829070329,26200,201957.21642619802,262.5443813540574,hold_days
2024-01-18,600000,SELL,6.10734437217,26300,160623.156988071,208.81010408449228,hold_days
2024-01-18,600000,BUY,6.120381795158678,32700,200136.48470168875,60.04094541050662,signal
2024-01-23,600000,SELL,6.154108111619999,32700,201239.33524997398,261.61113582496614,hold_days
2024-01-23,000001,BUY,7.6065878683606885,26300,200053.2609378861,60.015978281365825,signal
2024-01-25,000001,SELL,7.978930344516945,26300,209845.86806079565,272.7996284790343,take_profit
2024-01-25,000001,BUY,7.841662637743384,25500,199962.39726245627,59.98871917873688,signal
2024-01-26,600000,BUY,6.354544714530791,25600,162676.34469198826,48.802903407596474,signal
2024-01-29,000001,SELL,8.225512023860924,25500,209750.55660845357,272.6757235909896,take_profit
2024-01-31,600000,SELL,6.36922131309,25600,163052.065615104,211.96768529963518,hold_days
2024-02-05,000001,BUY,7.72405512767357,25900,200053.02780674546,60.015908342023636,signal
2024-02-06,000001,SELL,8.102147626173192,25900,209845.62351788566,272.7993105732513,take_profit
2024-02-06,000001,BUY,7.8164725946537414,25600,200101.6984231358,60.03050952694073,signal
2024-02-08,600000,BUY,6.513917125812054,25600,166756.27842078859,50.026883526236574,signal
2024-02-19,000001,SELL,8.199088928162043,25600,209896.6765609483,272.8656795292328,take_profit
2024-02-19,000001,BUY,8.203104626179176,21300,174726.12853761643,52.417838561284924,signal
2024-02-21,600000,SELL,6.832773369120555,25600,174918.9982494862,227.39469772433205,take_profit
2024-02-21,000001,SELL,8.604646597630646,21300,183278.97252953277,238.26266428839259,take_profit
2024-02-21,000001,BUY,8.219705808603903,24300,199738.85114907485,59.92165534472245,signal
2024-02-22,000001,SELL,8.93289401415,24300,217069.324543845,282.19012190699846,take_profit
2024-02-22,600000,BUY,6.786727670441268,29500,200208.4662780174,60.062539883405215,signal
2024-02-27,600000,SELL,6.61239275823,29500,195065.586367785,253.5852622781205,hold_days
2024-02-27,600000,BUY,6.62804280225424,30200,200166.89262807803,60.050067788423405,signal
2024-03-01,600000,SELL,6.66850924557,30200,201388.979216214,261.8056729810782,hold_days
2024-03-05,600000,BUY,6.608324667717757,30300,200232.23743184804,60.06967122955441,signal
2024-03-07,000001,BUY,8.682092239521872,20000,173641.84479043743,52.09255343713122,signal
2024-03-08,600000,SELL,6.659156497680001,30300,201772.441879704,262.3041744436152,hold_days
2024-03-12,000001,SELL,8.79030321768,20000,175806.0643536,228.54788365968,hold_days
2024-03-12,600000,BUY,6.665180299545254,30000,199955.40898635762,59.98662269590728,signal
2024-03-15,600000,SELL,6.58433451456,30000,197530.0354368,256.78904606784,hold_days
2024-03-15,000001,BUY,8.866892257860563,22500,199505.07580186267,59.85152274055879,signal
2024-03-20,000001,SELL,8.70642627858,22500,195894.59126805002,254.662968648465,hold_days
2024-03-20,600000,BUY,6.572464586070632,30400,199802.92341654722,59.94087702496416,signal
2024-03-25,600000,SELL,6.60304001034,30400,200732.416314336,260.9521412086368,hold_days
2024-03-25,600000,BUY,6.618709578188813,30200,199885.02926130217,59.96550877839065,signal
2024-03-28,600000,SELL,6.724625732910001,30200,203083.69713388203,264.0088062740466,hold_days
2024-04-01,600000,BUY,6.702263549029344,29800,199727.45376107446,59.918236128322334,signal
2024-04-08,600000,SELL,6.76203672447,29800,201508.69438920598,261.96130270596774,hold_days
2024-04-08,600000,BUY,6.777402654037492,29500,199933.37829410602,59.9800134882318,signal
2024-04-11,600000,SELL,6.76203672447,29500,199480.08337186498,259.32410838342446,hold_days
2024-04-15,000001,BUY,8.46372941335888,23600,199744.01415526957,59.923204246580866,signal
2024-04-17,000001,SELL,8.878028968142798,23600,209521.48364817005,272.37792874262107,take_profit
2024-04-17,000001,BUY,8.623271271981338,23200,200059.89350996705,60.017968052990106,signal
2024-04-18,000001,SELL,9.045380400744826,23200,209852.82529727995,272.8086728864639,take_profit
2024-04-18,600000,BUY,6.8799417663170175,29100,200206.3053998252,60.06189161994756,signal
2024-04-23,600000,SELL,6.846211455480001,29100,199224.753354468,258.9921793608084,hold_days
2024-04-23,000001,BUY,8.83359735952151,22600,199639.30032518614,59.891790097555834,signal
2024-04-24,600000,BUY,6.918297979118206,25700,177800.25806333788,53.34007741900136,signal
2024-04-26,000001,SELL,8.88256785069,22600,200746.033425594,260.9698434532722,hold_days
2024-04-26,000001,BUY,8.900690913245187,20500,182464.16372152633,54.7392491164579,signal
