date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2024-01-02,000001,7.88392851,7.90911678,7.73279889,7.73279889,115836645,1075742252.45,0.5969,-1.9169,0
2024-01-03,000001,7.71600671,7.74119498,7.68242235,7.7244028,73361031,673673613.54,0.378,-0.1086,0
2024-01-04,000001,7.71600671,7.71600671,7.62364972,7.64883799,86419399,787470082.37,0.4453,-0.9783,0
2024-01-05,000001,7.6404419,7.92590896,7.61525363,7.78317543,199162216,1852659692.14,1.0263,1.7563,0
2024-01-08,000001,7.74959107,7.8083637,7.64883799,7.68242235,112115619,1029006548.73,0.5778,-1.2945,0
2024-01-09,000001,7.69081844,7.71600671,7.63204581,7.70761062,76619388,700375720.2,0.3948,0.3279,0
2024-01-10,000001,7.69081844,7.71600671,7.63204581,7.63204581,85862091,783771150.01,0.4425,-0.9804,0
2024-01-11,000001,7.62364972,7.74119498,7.58166927,7.69921453,93468637,853890237.29,0.4817,0.8801,0
2024-01-12,000001,7.66563017,7.78317543,7.64883799,7.71600671,77258215,711018266.07,0.3981,0.2181,0
2024-01-15,000001,7.69081844,7.79996761,7.66563017,7.73279889,74513266,685950951.45,0.384,0.2176,0
2024-01-16,000001,7.71600671,7.85034415,7.69081844,7.84194806,143831258,1334465408.53,0.7412,1.4115,0
2024-01-17,000001,7.83355197,7.88392851,7.74959107,7.74959107,148229621,1380725065.03,0.7639,-1.1777,0
2024-01-18,000001,7.73279889,7.75798716,7.556481,7.7244028,175513247,1597853726.63,0.9044,-0.325,0
2024-01-19,000001,7.69081844,7.7244028,7.6404419,7.69921453,96398142,881865023.89,0.4968,-0.3261,0
2024-01-22,000001,7.69081844,7.77477934,7.59006536,7.6404419,158031966,1449858241.68,0.8144,-0.7634,0
2024-01-23,000001,7.59846145,7.70761062,7.52289664,7.69081844,113554458,1030898421.04,0.5852,0.6593,0
2024-01-24,000001,7.74959107,7.84194806,7.61525363,7.83355197,175912316,1620099272.06,0.9065,1.8559,0
2024-01-25,000001,7.83355197,8.00986986,7.78317543,7.9762855,216251395,2037648413.07,1.1144,1.8221,0
2024-01-26,000001,7.95109723,8.11901903,7.92590896,8.07703858,227228706,2172799799.01,1.1709,1.2632,0
2024-01-29,000001,8.13581121,8.29533692,8.04345422,8.1442073,237625184,2312173346.33,1.2245,0.8316,0
2024-01-30,000001,8.06864249,8.1442073,7.96788941,7.9762855,157912214,1515156603.96,0.8137,-2.0619,0
2024-01-31,000001,7.94270114,8.02666204,7.87553242,7.94270114,135721747,1286857396.81,0.6994,-0.4211,0
2024-02-01,000001,7.90072069,7.95949332,7.84194806,7.90072069,105525987,993481907.01,0.5438,-0.5285,0
2024-02-02,000001,7.90911678,7.95109723,7.61525363,7.78317543,163421431,1520605694.69,0.8421,-1.4878,0
2024-02-05,000001,7.71600671,7.91751287,7.64883799,7.87553242,180359190,1674566499.46,0.9294,1.1866,0
2024-02-06,000001,7.8083637,8.12741512,7.79996761,8.12741512,199540954,1900324218.2,1.0283,3.1983,0
2024-02-07,000001,8.07703858,8.11901903,7.95949332,8.06864249,206201497,1975435102.12,1.0626,-0.7231,0
2024-02-08,000001,8.04345422,8.11901903,7.99307768,8.11901903,165681384,1593505690.13,0.8538,0.6243,0
2024-02-19,000001,8.19458384,8.23656429,8.10222685,8.23656429,160524265,1564088444.93,0.8272,1.4478,0
2024-02-20,000001,8.21977211,8.26175256,8.16939557,8.24496038,112356398,1098987813.26,0.579,0.1019,0
2024-02-21,000001,8.21137602,9.0677772,8.20297993,9.0677772,505528460,5295259396.81,2.6051,9.9796,0
2024-02-22,000001,8.94183585,9.16013419,8.91664758,9.1517381,492232512,5307736374.06,2.5366,0.9259,0
2024-02-23,000001,9.13494592,9.43720516,9.10136156,9.10975765,356747950,3917316281.52,1.8384,-0.4587,0
2024-02-26,000001,9.05098502,9.13494592,8.8158945,8.84108277,286260888,3048205024.78,1.4751,-2.9493,0
2024-02-27,000001,8.80749841,8.8998554,8.78231014,8.8158945,198190492,2083027074.06,1.0213,-0.2849,0
2024-02-28,000001,8.82429059,8.9838163,8.7319336,8.80749841,308269265,3253340358.41,1.5886,-0.0952,0
2024-02-29,000001,8.74872578,8.89145931,8.74032969,8.89145931,184534423,1936020982.56,0.9509,0.9533,0
2024-03-01,000001,8.89145931,8.8998554,8.75712187,8.80749841,182810290,1917689306.77,0.9421,-0.9443,0
2024-03-04,000001,8.77391405,8.8158945,8.66476488,8.67316097,165592954,1719562862.03,0.8533,-1.5253,0
2024-03-05,000001,8.6479727,8.79070623,8.61438834,8.75712187,181731907,1889144330.16,0.9365,0.9681,0
2024-03-06,000001,8.7319336,8.77391405,8.67316097,8.67316097,134564016,1396940060.42,0.6934,-0.9588,0
2024-03-07,000001,8.67316097,8.93343976,8.67316097,8.71514142,201616589,2109589237.19,1.039,0.484,0
2024-03-08,000001,8.68995315,8.76551796,8.6479727,8.71514142,111397428,1154491251.23,0.574,0.0,0
2024-03-11,000001,8.71514142,8.79070623,8.68155706,8.79070623,121067298,1260212019.66,0.6239,0.8671,0
2024-03-12,000001,8.79910232,8.89145931,8.74032969,8.86627104,164126237,1721999708.11,0.8458,0.8596,0
2024-03-13,000001,8.84108277,8.85787495,8.6479727,8.67316097,176803911,1834654994.4,0.9111,-2.178,0
2024-03-14,000001,8.6479727,8.71514142,8.5640118,8.58920007,140939973,1448499697.91,0.7263,-0.9681,0
