feature,importance
rsi_6,26
volume_ratio_20,25
lower_shadow,20
ma10_slope,16
volume_ratio_5,16
macd_hist,14
kdj_d,11
close_ma5_ratio,9
kdj_k,9
sector_ret_5d,8
macd_dea,8
rsi_14,7
macd_dif,7
sector_money_flow,6
turnover_rate,5
kdj_j,2
strength_20d,2
amplitude_rank,2
upper_shadow,1
close_ma10_ratio,1
ret_5d_rank,1
amplitude,1
gap_down,1
ret_3d,1
sector_ret_1d,1
close_ma20_rank,1
ret_1d,1
day_of_week,0
market_amplitude,0
hot_sector_count,0
down_limit_count,0
large_amount_ratio,0
up_limit_count,0
market_vol_ratio,0
market_breadth,0
market_ret_5d,0
market_ret_1d,0
weakness_5d,0
sector_rank,0
rsi_14_rank,0
consecutive_down,0
volume_ratio_5_rank,0
turnover_rank,0
ret_5d,0
ret_10d,0
ret_20d,0
close_ma20_ratio,0
ma5_slope,0
amount_ratio_20,0
atr_14,0
gap_up,0
consecutive_up,0
vol_price_diverge,0
new_high_20d,0
new_low_20d,0
close_position,0
ret_1d_rank,0
amount_rank,0
sector_breadth,0
