top_n,hold_days,min_score,take_profit,stop_loss,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
3,2,0.55,,,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
3,2,0.55,,0.02,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
3,2,0.55,,0.03,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
5,2,0.55,,,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
5,2,0.55,,0.02,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
5,2,0.55,,0.03,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
10,2,0.55,,,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
10,2,0.55,,0.02,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
10,2,0.55,,0.03,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
3,2,0.45,,,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
3,2,0.45,,0.03,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
5,2,0.45,,,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
5,2,0.45,,0.03,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
10,2,0.45,,,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
10,2,0.45,,0.03,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
3,2,0.45,,0.02,0.06156192544489536,0.13731890113274736,-0.009270625836064195,3.3773871754116542,39.0,1061561.9254448954
5,2,0.45,,0.02,0.06156192544489536,0.13731890113274736,-0.009270625836064195,3.3773871754116542,39.0,1061561.9254448954
10,2,0.45,,0.02,0.06156192544489536,0.13731890113274736,-0.009270625836064195,3.3773871754116542,39.0,1061561.9254448954
3,2,0.55,0.05,,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
3,2,0.55,0.05,0.02,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
3,2,0.55,0.05,0.03,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
5,2,0.55,0.05,,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
5,2,0.55,0.05,0.02,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
5,2,0.55,0.05,0.03,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
10,2,0.55,0.05,,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
10,2,0.55,0.05,0.02,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
10,2,0.55,0.05,0.03,0.08642640192032514,0.19547123750885054,-0.011550055698983153,3.291502250438437,34.0,1086426.4019203251
3,2,0.35,,,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
5,2,0.35,,,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
10,2,0.35,,,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
3,5,0.55,,,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
3,5,0.55,,0.02,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
3,5,0.55,,0.03,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
5,5,0.55,,,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
5,5,0.55,,0.02,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
5,5,0.55,,0.03,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
10,5,0.55,,,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
10,5,0.55,,0.02,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
10,5,0.55,,0.03,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
3,3,0.55,0.05,,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
3,3,0.55,0.05,0.02,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
3,3,0.55,0.05,0.03,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
5,3,0.55,0.05,,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
5,3,0.55,0.05,0.02,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
5,3,0.55,0.05,0.03,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
10,3,0.55,0.05,,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
10,3,0.55,0.05,0.02,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
10,3,0.55,0.05,0.03,0.09189408918768605,0.20846744497137903,-0.01023626493711971,3.15934906176697,32.0,1091894.089187686
