date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,1000000.0,0.0,1000000.0,0
2024-01-24,1000000.0,0.0,1000000.0,0
2024-01-25,1000000.0,0.0,1000000.0,0
2024-01-26,1000000.0,0.0,1000000.0,0
2024-01-29,1000000.0,0.0,1000000.0,0
2024-01-30,1000000.0,0.0,1000000.0,0
2024-01-31,1000000.0,0.0,1000000.0,0
2024-02-01,1000000.0,0.0,1000000.0,0
2024-02-02,1000000.0,0.0,1000000.0,0
2024-02-05,1000000.0,0.0,1000000.0,0
2024-02-06,1000000.0,0.0,1000000.0,0
2024-02-07,1000000.0,0.0,1000000.0,0
2024-02-08,1000000.0,0.0,1000000.0,0
2024-02-19,1000000.0,0.0,1000000.0,0
2024-02-20,1000000.0,0.0,1000000.0,0
2024-02-21,1000000.0,0.0,1000000.0,0
2024-02-22,1000000.0,0.0,1000000.0,0
2024-02-23,1000000.0,0.0,1000000.0,0
2024-02-26,1000000.0,0.0,1000000.0,0
2024-02-27,1000000.0,0.0,1000000.0,0
2024-02-28,1000000.0,0.0,1000000.0,0
2024-02-29,1000000.0,0.0,1000000.0,0
2024-03-01,1000000.0,0.0,1000000.0,0
2024-03-04,1000000.0,0.0,1000000.0,0
2024-03-05,1000000.0,0.0,1000000.0,0
2024-03-06,1000000.0,0.0,1000000.0,0
2024-03-07,1000000.0,0.0,1000000.0,0
2024-03-08,1000000.0,0.0,1000000.0,0
2024-03-11,1000000.0,0.0,1000000.0,0
2024-03-12,1000000.0,0.0,1000000.0,0
2024-03-13,1000000.0,0.0,1000000.0,0
2024-03-14,1000000.0,0.0,1000000.0,0
2024-03-15,1000000.0,0.0,1000000.0,0
2024-03-18,1000000.0,0.0,1000000.0,0
2024-03-19,1000000.0,0.0,1000000.0,0
2024-03-20,1000000.0,0.0,1000000.0,0
2024-03-21,1000000.0,0.0,1000000.0,0
2024-03-22,1000000.0,0.0,1000000.0,0
2024-03-25,1000000.0,0.0,1000000.0,0
2024-03-26,1000000.0,0.0,1000000.0,0
2024-03-27,1000000.0,0.0,1000000.0,0
2024-03-28,1000000.0,0.0,1000000.0,0
2024-03-29,1000000.0,0.0,1000000.0,0
2024-04-01,1000000.0,0.0,1000000.0,0
2024-04-02,1000000.0,0.0,1000000.0,0
2024-04-03,1000000.0,0.0,1000000.0,0
2024-04-08,1000000.0,0.0,1000000.0,0
2024-04-09,1000000.0,0.0,1000000.0,0
2024-04-10,1000000.0,0.0,1000000.0,0
2024-04-11,1000000.0,0.0,1000000.0,0
2024-04-12,1000000.0,0.0,1000000.0,0
2024-04-15,799728.0377476083,205030.209,1004758.2467476083,1
2024-04-16,799728.0377476083,203906.75579999998,1003634.7935476082,1
2024-04-17,799728.0377476083,206153.66220000002,1005881.6999476083,1
2024-04-18,805141.447232864,199696.614933,1004838.062165864,1
2024-04-19,805141.447232864,199969.052334,1005110.499566864,1
2024-04-22,805141.447232864,198606.86532900002,1003748.312561864,1
2024-04-23,804408.0162926875,199998.222236,1004406.2385286875,1
2024-04-24,804408.0162926875,199808.470602,1004216.4868946875,1
2024-04-25,804408.0162926875,201326.483674,1005734.4999666875,1
2024-04-26,805457.0843913532,199356.76095999999,1004813.8453513532,1
2024-04-29,805457.0843913532,203306.281696,1008763.3660873532,1
2024-04-30,644147.1329021364,366570.45755399996,1010717.5904561364,2
2024-05-06,849800.675857462,166828.119145,1016628.795002462,1
2024-05-07,849800.675857462,166190.559454,1015991.235311462,1
2024-05-08,1015397.1816949323,0.0,1015397.1816949323,0
2024-05-09,815733.0698559972,199356.77034,1015089.8401959972,1
2024-05-10,815733.0698559972,202934.96878199998,1018668.0386379972,1
2024-05-13,652614.1072877161,367393.230982,1020007.3382697161,2
2024-05-14,855847.5837221001,163050.388582,1018897.9723041002,1
2024-05-15,855847.5837221001,161854.785366,1017702.3690881002,1
2024-05-16,817884.747278682,201976.288718,1019861.035996682,1
2024-05-17,817884.747278682,205502.059344,1023386.8066226819,1
2024-05-20,827193.4584481397,202521.16352,1029714.6219681397,1
2024-05-21,827193.4584481397,204955.31212000002,1032148.7705681397,1
2024-05-22,836250.2542610969,202841.347682,1039091.601943097,1
2024-05-23,836250.2542610969,202603.55008800002,1038853.804349097,1
2024-05-24,836250.2542610969,200701.169336,1036951.4235970969,1
2024-05-27,837043.848309818,202941.89139,1039985.739699818,1
2024-05-28,837043.848309818,201002.39460000003,1038046.242909818,1
2024-05-29,837043.848309818,198533.94414,1035577.792449818,1
2024-05-30,1034769.5972962908,0.0,1034769.5972962908,0
2024-05-31,1034769.5972962908,0.0,1034769.5972962908,0
2024-06-03,1034769.5972962908,0.0,1034769.5972962908,0
2024-06-04,834473.497211615,200963.308416,1035436.805627615,1
2024-06-05,834473.497211615,200238.681102,1034712.178313615,1
2024-06-06,834473.497211615,199272.51135000002,1033746.008561615,1
2024-06-07,835273.1549237048,199165.783296,1034438.9382197048,1
2024-06-11,835273.1549237048,195331.06304,1030604.2179637048,1
2024-06-12,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-13,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-14,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-17,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-18,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-19,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-20,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-21,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-24,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-25,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-26,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-27,1028480.5554992701,0.0,1028480.5554992701,0
2024-06-28,1028480.5554992701,0.0,1028480.5554992701,0
