date,code,shares,cost_price,market_price,market_value
2024-04-15,600000,30000,6.673729956092897,6.8343403,205030.209
2024-04-16,600000,30000,6.673729956092897,6.79689186,203906.75579999998
2024-04-17,600000,30000,6.673729956092897,6.87178874,206153.66220000002
2024-04-18,600000,29100,6.8799417663170175,6.86242663,199696.614933
2024-04-19,600000,29100,6.8799417663170175,6.87178874,199969.052334
2024-04-22,600000,29100,6.8799417663170175,6.82497819,198606.86532900002
2024-04-23,000001,22600,8.83359735952151,8.84947886,199998.222236
2024-04-24,000001,22600,8.83359735952151,8.84108277,199808.470602
2024-04-25,000001,22600,8.83359735952151,8.90825149,201326.483674
2024-04-26,000001,22400,8.900722438780642,8.8998554,199356.76095999999
2024-04-29,000001,22400,8.900722438780642,9.07617329,203306.281696
2024-04-30,000001,22400,8.900722438780642,9.05938111,202930.136864
2024-04-30,600000,22700,7.104034053626062,7.2088247,163640.32069
2024-05-06,600000,22700,7.104034053626062,7.34925635,166828.119145
2024-05-07,600000,22700,7.104034053626062,7.32117002,166190.559454
2024-05-09,600000,27300,7.311510277280737,7.3024458,199356.77034
2024-05-10,600000,27300,7.311510277280737,7.43351534,202934.96878199998
2024-05-13,600000,27300,7.311510277280737,7.45223956,203446.13998799998
2024-05-13,000001,17800,9.161238289652493,9.21051073,163947.090994
2024-05-14,000001,17800,9.161238289652493,9.16013419,163050.388582
2024-05-15,000001,17800,9.161238289652493,9.09296547,161854.785366
2024-05-16,600000,26900,7.423192370728156,7.50841222,201976.288718
2024-05-17,600000,26900,7.423192370728156,7.63948176,205502.059344
2024-05-20,600000,26000,7.685286466086029,7.78927552,202521.16352
2024-05-21,600000,26000,7.685286466086029,7.88289662,204955.31212000002
2024-05-22,600000,25400,7.882251006776803,7.98587983,202841.347682
2024-05-23,600000,25400,7.882251006776803,7.97651772,202603.55008800002
2024-05-24,600000,25400,7.882251006776803,7.90162084,200701.169336
2024-05-27,000001,21000,9.505885114370312,9.66389959,202941.89139
2024-05-28,000001,21000,9.505885114370312,9.5715426,201002.39460000003
2024-05-29,000001,21000,9.505885114370312,9.45399734,198533.94414
2024-06-04,600000,25800,7.7610864060423665,7.78927552,200963.308416
2024-06-05,600000,25800,7.7610864060423665,7.76118919,200238.681102
2024-06-06,600000,25800,7.7610864060423665,7.72374075,199272.51135000002
2024-06-07,600000,25600,7.798507961160648,7.77991341,199165.783296
2024-06-11,600000,25600,7.798507961160648,7.63011965,195331.06304
