date,code,side,price,shares,amount,fee,reason
2024-04-15,600000,BUY,6.673729956092897,30000,200211.8986827869,60.06356960483607,signal
2024-04-18,600000,SELL,6.864916951260001,30000,205947.50853780002,267.73176109914004,hold_days
2024-04-18,600000,BUY,6.8799417663170175,29100,200206.3053998252,60.06189161994756,signal
2024-04-23,600000,SELL,6.846211455480001,29100,199224.753354468,258.9921793608084,hold_days
2024-04-23,000001,BUY,8.83359735952151,22600,199639.30032518614,59.891790097555834,signal
2024-04-26,000001,SELL,8.88256785069,22600,200746.033425594,260.9698434532722,hold_days
2024-04-26,000001,BUY,8.900722438780642,22400,199376.1826286864,59.81285478860591,signal
2024-04-30,600000,BUY,7.104034053626062,22700,161261.5730173116,48.37847190519348,signal
2024-05-06,000001,SELL,9.192912525359999,22400,205921.24056806398,267.69761273848314,hold_days
2024-05-08,600000,SELL,7.30449610209,22700,165812.06151744298,215.55567997267588,hold_days
2024-05-09,600000,BUY,7.311510277280737,27300,199604.23056976413,59.88126917092924,signal
2024-05-13,000001,BUY,9.161238289652493,17800,163070.0415558144,48.92101246674431,signal
2024-05-14,600000,SELL,7.45414006833,27300,203498.023865409,264.5474310250317,hold_days
2024-05-16,000001,SELL,9.10064789235,17800,161991.53248383,210.58899222897898,hold_days
2024-05-16,600000,BUY,7.423192370728156,26900,199683.87477258738,59.90516243177621,signal
2024-05-20,600000,SELL,7.786557637275299,26900,209458.40044270555,272.2959205755172,take_profit
2024-05-20,600000,BUY,7.685286466086029,26000,199817.44811823676,59.94523443547102,signal
2024-05-22,600000,SELL,8.06148123860094,26000,209598.51220362444,272.47806586471177,take_profit
2024-05-22,600000,BUY,7.882251006776803,25400,200209.1755721308,60.06275267163924,signal
2024-05-27,600000,SELL,7.90307196705,25400,200738.02796307,260.959436351991,hold_days
2024-05-27,000001,BUY,9.505885114370312,21000,199623.58740177655,59.88707622053296,signal
2024-05-30,000001,SELL,9.42776795484,21000,197983.12705164,257.378065167132,hold_days
2024-06-04,600000,BUY,7.7610864060423665,25800,200236.02927589306,60.07080878276791,signal
2024-06-07,600000,SELL,7.78148624448,25800,200762.345107584,260.9910486398592,hold_days
2024-06-07,600000,BUY,7.798507961160648,25600,199641.80380571258,59.89254114171377,signal
2024-06-12,600000,SELL,7.556988169603502,25600,193458.89714184965,251.49656628440454,stop_loss
