date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,799908.4359005077,201412.68969600002,1001321.1255965077,1
2024-01-04,799908.4359005077,200806.024968,1000714.4608685077,1
2024-01-05,640093.7518162223,365294.385639,1005388.1374552223,2
2024-01-08,842253.9945379976,160562.627115,1002816.6216529977,1
2024-01-09,842253.9945379976,161089.061958,1003343.0564959976,1
2024-01-10,1002622.6112511238,0.0,1002622.6112511238,0
2024-01-11,802717.5663884081,201719.420686,1004436.9870744081,1
2024-01-12,802717.5663884081,202159.375802,1004876.942190408,1
2024-01-15,642529.5621576287,362890.82486099994,1005420.3870186287,2
2024-01-16,844224.2342024727,162261.28188700002,1006485.5160894727,1
2024-01-17,844224.2342024727,160783.940929,1005008.1751314728,1
2024-01-18,804559.7148218742,200828.494032,1005388.2088538741,1
2024-01-19,804559.7148218742,201746.91702300002,1006306.6318448742,1
2024-01-22,804559.7148218742,201746.91702300002,1006306.6318448742,1
2024-01-23,805533.3713854076,202268.524972,1007801.8963574077,1
2024-01-24,805533.3713854076,206022.416811,1011555.7881964076,1
2024-01-25,805533.3713854076,209776.30865000002,1015309.6800354077,1
2024-01-26,814051.0941932356,202600.741455,1016651.8356482356,1
2024-01-29,814051.0941932356,203485.46085,1017536.5550432357,1
2024-01-30,814051.0941932356,201421.11559499998,1015472.2097882356,1
2024-01-31,1014420.7459427996,0.0,1014420.7459427996,0
2024-02-01,1014420.7459427996,0.0,1014420.7459427996,0
2024-02-02,1014420.7459427996,0.0,1014420.7459427996,0
2024-02-05,814413.3958424858,203976.289678,1018389.6855204859,1
2024-02-06,814413.3958424858,210500.051608,1024913.4474504858,1
2024-02-07,814413.3958424858,208977.840491,1023391.2363334858,1
2024-02-08,822336.3554635808,200042.07679199998,1022378.4322555808,1
2024-02-19,658311.498170628,369372.031024,1027683.529194628,2
2024-02-20,658311.498170628,368965.11927,1027276.617440628,2
2024-02-21,862195.0796215269,181355.544,1043550.6236215269,1
2024-02-22,840487.2376230888,199127.39864499998,1039614.6362680887,1
2024-02-23,840487.2376230888,201060.67436,1041547.9119830888,1
2024-02-26,840487.2376230888,196089.39395,1036576.6315730887,1
2024-02-27,835220.8496755993,201873.30550800002,1037094.1551835993,1
2024-02-28,835220.8496755993,200742.36262,1035963.2122955993,1
2024-02-29,835220.8496755993,202156.04123,1037376.8909055992,1
2024-03-01,1036348.0232188322,0.0,1036348.0232188322,0
2024-03-04,1036348.0232188322,0.0,1036348.0232188322,0
2024-03-05,836184.7731470235,203109.104028,1039293.8771750235,1
2024-03-06,836184.7731470235,201974.416296,1038159.1894430235,1
2024-03-07,669525.2514971324,369872.475426,1039397.7269231323,2
2024-03-08,871035.3892023928,167330.715264,1038366.1044663928,1
2024-03-11,871035.3892023928,168781.55961599998,1039816.9488183928,1
2024-03-12,839715.571230184,199412.943,1039128.514230184,1
2024-03-13,839715.571230184,197727.76320000002,1037443.3344301841,1
2024-03-14,839715.571230184,197727.76320000002,1037443.3344301841,1
