date,code,shares,cost_price,market_price,market_value
2024-01-03,600000,32400,6.1738134146019235,6.21644104,201412.68969600002
2024-01-04,600000,32400,6.1738134146019235,6.19771682,200806.024968
2024-01-05,600000,32400,6.1738134146019235,6.25388948,202626.019152
2024-01-05,000001,20900,7.6443422994290895,7.78317543,162668.366487
2024-01-08,000001,20900,7.6443422994290895,7.68242235,160562.627115
2024-01-09,000001,20900,7.6443422994290895,7.70761062,161089.061958
2024-01-11,000001,26200,7.627675241805923,7.69921453,201719.420686
2024-01-12,000001,26200,7.627675241805923,7.71600671,202159.375802
2024-01-15,000001,26200,7.627675241805923,7.73279889,202599.330918
2024-01-15,600000,26300,6.088971948369077,6.09473361,160291.49394299998
2024-01-16,600000,26300,6.088971948369077,6.16963049,162261.28188700002
2024-01-17,600000,26300,6.088971948369077,6.11345783,160783.940929
2024-01-18,600000,32700,6.11678472802456,6.14154416,200828.494032
2024-01-19,600000,32700,6.11678472802456,6.16963049,201746.91702300002
2024-01-22,600000,32700,6.11678472802456,6.16963049,201746.91702300002
2024-01-23,000001,26300,7.602436666361896,7.69081844,202268.524972
2024-01-24,000001,26300,7.602436666361896,7.83355197,206022.416811
2024-01-25,000001,26300,7.602436666361896,7.9762855,209776.30865000002
2024-01-26,600000,31500,6.350965958394816,6.43176957,202600.741455
2024-01-29,600000,31500,6.350965958394816,6.4598559,203485.46085
2024-01-30,600000,31500,6.350965958394816,6.39432113,201421.11559499998
2024-02-05,000001,25900,7.719975517009523,7.87553242,203976.289678
2024-02-06,000001,25900,7.719975517009523,8.12741512,210500.051608
2024-02-07,000001,25900,7.719975517009523,8.06864249,208977.840491
2024-02-08,600000,30700,6.510217193217383,6.51602856,200042.07679199998
2024-02-19,600000,30700,6.510217193217383,6.66582232,204640.745224
2024-02-19,000001,20000,8.19878322967874,8.23656429,164731.2858
2024-02-20,600000,30700,6.510217193217383,6.6470981,204065.91167
2024-02-20,000001,20000,8.19878322967874,8.24496038,164899.2076
2024-02-21,000001,20000,8.19878322967874,9.0677772,181355.544
2024-02-22,600000,29500,6.78215067808709,6.75008131,199127.39864499998
2024-02-23,600000,29500,6.78215067808709,6.81561608,201060.67436
2024-02-26,600000,29500,6.78215067808709,6.6470981,196089.39395
2024-02-27,600000,30200,6.62312528271308,6.68454654,201873.30550800002
2024-02-28,600000,30200,6.62312528271308,6.6470981,200742.36262
2024-02-29,600000,30200,6.62312528271308,6.69390865,202156.04123
2024-03-05,600000,30300,6.604066637164253,6.70327076,203109.104028
2024-03-06,600000,30300,6.604066637164253,6.66582232,201974.416296
2024-03-07,600000,30300,6.604066637164253,6.68454654,202541.76016200002
2024-03-07,000001,19200,8.677580145221599,8.71514142,167330.715264
2024-03-08,000001,19200,8.677580145221599,8.71514142,167330.715264
2024-03-11,000001,19200,8.677580145221599,8.79070623,168781.55961599998
2024-03-12,600000,30000,6.660476316550085,6.6470981,199412.943
2024-03-13,600000,30000,6.660476316550085,6.59092544,197727.76320000002
2024-03-14,600000,30000,6.660476316550085,6.59092544,197727.76320000002
2024-03-15,000001,22500,8.86235703177852,8.8998554,200246.7465
2024-03-18,000001,22500,8.86235703177852,8.84947886,199113.27435
2024-03-19,000001,22500,8.86235703177852,8.7319336,196468.506
2024-03-20,600000,30400,6.567141408541878,6.58156333,200079.52523199999
2024-03-21,600000,30400,6.567141408541878,6.6470981,202071.78224
2024-03-22,600000,30400,6.567141408541878,6.59092544,200364.133376
2024-03-25,600000,30200,6.61377124100627,6.60964966,199611.41973199998
2024-03-26,600000,30200,6.61377124100627,6.69390865,202156.04123
2024-03-27,600000,30200,6.61377124100627,6.71263287,202721.512674
2024-04-01,600000,29800,6.6978092677847805,6.76880553,201710.404794
2024-04-02,600000,29800,6.6978092677847805,6.80625397,202826.36830600002
2024-04-03,600000,29800,6.6978092677847805,6.76880553,201710.404794
2024-04-08,600000,29500,6.772799372267497,6.81561608,201060.67436
2024-04-09,600000,29500,6.772799372267497,6.79689186,200508.30987
2024-04-10,600000,29500,6.772799372267497,6.80625397,200784.492115
2024-04-15,000001,23600,8.459227368224626,8.63957661,203894.00799600003
2024-04-16,000001,23600,8.459227368224626,8.63118052,203695.860272
2024-04-17,000001,23600,8.459227368224626,8.91664758,210432.882888
2024-04-18,600000,29100,6.87565171356234,6.86242663,199696.614933
2024-04-19,600000,29100,6.87565171356234,6.87178874,199969.052334
2024-04-22,600000,29100,6.87565171356234,6.82497819,198606.86532900002
2024-04-23,000001,22600,8.828863561605504,8.84947886,199998.222236
2024-04-24,000001,22600,8.828863561605504,8.84108277,199808.470602
2024-04-24,600000,24500,6.913375498557393,6.89051296,168817.56751999998
2024-04-25,000001,22600,8.828863561605504,8.90825149,201326.483674
2024-04-25,600000,24500,6.913375498557393,6.93732351,169964.425995
2024-04-26,600000,24500,6.913375498557393,6.94668562,170193.79769
2024-04-26,000001,19700,8.896013996330174,8.8998554,175327.15138
2024-04-29,000001,19700,8.896013996330174,9.07617329,178800.613813
2024-04-30,000001,19700,8.896013996330174,9.05938111,178469.807867
2024-04-30,600000,24500,7.1001924619664845,7.2088247,176616.20515
2024-05-06,600000,24500,7.1001924619664845,7.34925635,180056.780575
2024-05-06,000001,19000,9.206813696379639,9.14334201,173723.49818999998
2024-05-07,600000,24500,7.1001924619664845,7.32117002,179368.66549
2024-05-07,000001,19000,9.206813696379639,9.13494592,173563.97248
2024-05-08,000001,19000,9.206813696379639,9.00900457,171171.08683000001
2024-05-09,600000,27300,7.306684366726912,7.3024458,199356.77034
2024-05-10,600000,27300,7.306684366726912,7.43351534,202934.96878199998
2024-05-13,600000,27300,7.306684366726912,7.45223956,203446.13998799998
2024-05-16,600000,26900,7.418827335429385,7.50841222,201976.288718
2024-05-17,600000,26900,7.418827335429385,7.63948176,205502.059344
2024-05-20,600000,26900,7.418827335429385,7.78927552,209531.51148800002
2024-05-21,000001,21000,9.509224385656037,9.69748395,203647.16295
2024-05-22,000001,21000,9.509224385656037,9.70588004,203823.48084
2024-05-22,600000,21900,7.877713545937978,7.98587983,174890.768277
2024-05-23,000001,21000,9.509224385656037,9.5715426,201002.39460000003
