date,code,side,price,shares,amount,fee,reason
2024-01-23,000001,BUY,7.606059911449999,26200,199278.76967999,59.78363090399699,signal
2024-01-23,600000,BUY,6.166428648379999,25900,159710.50199304198,47.91315059791259,signal
2024-01-26,000001,SELL,7.94314613277,26200,208110.428678574,270.5435572821462,hold_days
2024-01-26,600000,SELL,6.341163069419999,25900,164236.123497978,213.5069605473714,hold_days
2024-01-26,000001,BUY,7.95904832723,25100,199772.113013473,59.931633904041895,signal
2024-01-31,000001,SELL,7.934758438859999,25100,199162.436815386,258.9111678600018,hold_days
2024-02-05,000001,BUY,7.723722716709999,25800,199272.04609111798,59.78161382733539,signal
2024-02-08,000001,SELL,8.03541076578,25800,207313.597757124,269.50767708426116,hold_days
2024-02-08,600000,BUY,6.513173116449999,30700,199954.41467501497,59.986324402504486,signal
2024-02-19,000001,BUY,8.20277842384,19900,163235.290634416,48.97058719032479,signal
2024-02-21,600000,SELL,6.649803749789999,30700,204148.97511855297,265.3936676541189,hold_days
2024-02-21,600000,BUY,6.663116670209999,25800,171908.410091418,51.57252302742539,signal
2024-02-22,000001,SELL,8.93289401415,19900,177764.590881585,231.0939681460605,hold_days
2024-02-26,600000,SELL,6.79009496814,25800,175184.450178012,227.73978523141557,hold_days
2024-03-05,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-08,000001,SELL,8.681263196849999,23100,200537.17984723498,260.69833380140545,hold_days
2024-03-14,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-19,000001,SELL,8.83224168723,23100,204024.78297501302,265.2322178675169,hold_days
2024-04-15,000001,BUY,8.463317492629999,23600,199734.29282606798,59.92028784782039,signal
2024-04-15,600000,BUY,6.67248814232,25300,168813.950000696,50.64418500020879,signal
2024-04-18,000001,SELL,8.87418015678,23600,209430.651700008,272.2598472100104,hold_days
2024-04-18,600000,SELL,6.864916951260001,25300,173682.398866878,225.7871185269414,hold_days
2024-04-18,000001,BUY,8.89194628322,22400,199179.59674412798,59.75387902323839,signal
2024-04-23,000001,SELL,8.81546629941,22400,197466.445106784,256.70637863881916,hold_days
2024-05-31,000001,BUY,9.36259750426,21300,199423.326840738,59.8269980522214,signal
2024-06-05,000001,SELL,9.26001407664,21300,197238.29983243198,256.40978978216157,hold_days
2024-06-12,000001,BUY,9.118867407649999,21900,199703.19622753497,59.91095886826049,signal
2024-06-17,000001,SELL,9.10364277447,21900,199369.776760893,259.1807097891609,hold_days
2024-06-17,000001,BUY,9.121868285529999,21900,199768.91545310698,59.930674635932085,signal
2024-06-20,000001,SELL,9.130603217039999,21900,199960.21045317597,259.94827358912875,hold_days
2024-06-27,600000,BUY,7.693978602309999,25900,199274.04579982898,59.78221373994869,signal
