feature,importance
volume_ratio_20,27
lower_shadow,20
rsi_6,19
volume_ratio_5,16
macd_hist,15
ma10_slope,13
rsi_14,12
macd_dea,11
macd_dif,10
sector_ret_5d,8
kdj_k,8
turnover_rate,7
kdj_d,7
close_ma5_ratio,7
gap_down,5
sector_money_flow,5
amount_ratio_20,5
amplitude_rank,2
ret_20d,2
strength_20d,2
atr_14,2
close_ma20_rank,1
stock_vs_sector,0
north_hold_rank,0
north_hold_ratio_chg10,0
north_hold_ratio_chg5,0
north_momentum,0
north_hold_ratio,0
north_net_10d,0
north_net_ratio,0
sector_breadth,0
north_net_amount,0
north_net_5d,0
lhb_net_amount,0
lhb_buy_amount,0
ret_1d,0
lhb_org_count,0
lhb_count_5d,0
short_balance_chg_5d,0
margin_buy_ratio,0
margin_balance_chg_5d,0
pb_rank,0
pe_ttm_rank,0
debt_ratio,0
eps,0
revenue_growth,0
net_profit_growth,0
roe,0
lhb_org_net_ratio,0
lhb_market_net_amount,0
lhb_market_count,0
lhb_net_5d,0
lhb_count_10d,0
sector_rank,0
market_ret_1d,0
sector_ret_1d,0
kdj_j,0
new_low_20d,0
new_high_20d,0
vol_price_diverge,0
consecutive_down,0
consecutive_up,0
gap_up,0
upper_shadow,0
hot_sector_count,0
amplitude,0
ma5_slope,0
close_ma20_ratio,0
close_ma10_ratio,0
ret_10d,0
ret_5d,0
close_position,0
ret_1d_rank,0
ret_5d_rank,0
amount_rank,0
turnover_rank,0
volume_ratio_5_rank,0
rsi_14_rank,0
weakness_5d,0
ret_3d,0
market_ret_5d,0
market_breadth,0
market_vol_ratio,0
up_limit_count,0
down_limit_count,0
market_amplitude,0
day_of_week,0
large_amount_ratio,0
margin_sentiment,0
