date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,1000000.0,0.0,1000000.0,0
2024-01-24,1000000.0,0.0,1000000.0,0
2024-01-25,1000000.0,0.0,1000000.0,0
2024-01-26,1000000.0,0.0,1000000.0,0
2024-01-29,1000000.0,0.0,1000000.0,0
2024-01-30,1000000.0,0.0,1000000.0,0
2024-01-31,1000000.0,0.0,1000000.0,0
2024-02-01,1000000.0,0.0,1000000.0,0
2024-02-02,1000000.0,0.0,1000000.0,0
2024-02-05,1000000.0,0.0,1000000.0,0
2024-02-06,1000000.0,0.0,1000000.0,0
2024-02-07,1000000.0,0.0,1000000.0,0
2024-02-08,1000000.0,0.0,1000000.0,0
2024-02-19,1000000.0,0.0,1000000.0,0
2024-02-20,1000000.0,0.0,1000000.0,0
2024-02-21,1000000.0,0.0,1000000.0,0
2024-02-22,1000000.0,0.0,1000000.0,0
2024-02-23,1000000.0,0.0,1000000.0,0
2024-02-26,1000000.0,0.0,1000000.0,0
2024-02-27,1000000.0,0.0,1000000.0,0
2024-02-28,1000000.0,0.0,1000000.0,0
2024-02-29,1000000.0,0.0,1000000.0,0
2024-03-01,1000000.0,0.0,1000000.0,0
2024-03-04,1000000.0,0.0,1000000.0,0
2024-03-05,1000000.0,0.0,1000000.0,0
2024-03-06,1000000.0,0.0,1000000.0,0
2024-03-07,1000000.0,0.0,1000000.0,0
2024-03-08,1000000.0,0.0,1000000.0,0
2024-03-11,1000000.0,0.0,1000000.0,0
2024-03-12,1000000.0,0.0,1000000.0,0
2024-03-13,1000000.0,0.0,1000000.0,0
2024-03-14,1000000.0,0.0,1000000.0,0
2024-03-15,1000000.0,0.0,1000000.0,0
2024-03-18,1000000.0,0.0,1000000.0,0
2024-03-19,1000000.0,0.0,1000000.0,0
2024-03-20,1000000.0,0.0,1000000.0,0
2024-03-21,1000000.0,0.0,1000000.0,0
2024-03-22,1000000.0,0.0,1000000.0,0
2024-03-25,1000000.0,0.0,1000000.0,0
2024-03-26,1000000.0,0.0,1000000.0,0
2024-03-27,1000000.0,0.0,1000000.0,0
2024-03-28,1000000.0,0.0,1000000.0,0
2024-03-29,1000000.0,0.0,1000000.0,0
2024-04-01,1000000.0,0.0,1000000.0,0
2024-04-02,1000000.0,0.0,1000000.0,0
2024-04-03,1000000.0,0.0,1000000.0,0
2024-04-08,1000000.0,0.0,1000000.0,0
2024-04-09,1000000.0,0.0,1000000.0,0
2024-04-10,1000000.0,0.0,1000000.0,0
2024-04-11,1000000.0,0.0,1000000.0,0
2024-04-12,1000000.0,0.0,1000000.0,0
2024-04-15,799852.8988049492,205030.209,1004883.1078049493,1
2024-04-16,799852.8988049492,203906.75579999998,1003759.6546049493,1
2024-04-17,799852.8988049492,206153.66220000002,1006006.5610049493,1
2024-04-18,805391.1862775267,199696.614933,1005087.8012105266,1
2024-04-19,805391.1862775267,199969.052334,1005360.2386115267,1
2024-04-22,805391.1862775267,198606.86532900002,1003998.0516065267,1
2024-04-23,1004356.9474526339,0.0,1004356.9474526339,0
2024-04-24,1004356.9474526339,0.0,1004356.9474526339,0
2024-04-25,1004356.9474526339,0.0,1004356.9474526339,0
2024-04-26,1004356.9474526339,0.0,1004356.9474526339,0
2024-04-29,1004356.9474526339,0.0,1004356.9474526339,0
2024-04-30,804781.0038143366,202567.97407,1007348.9778843366,1
2024-05-06,804781.0038143366,206514.103435,1011295.1072493366,1
2024-05-07,804781.0038143366,205724.877562,1010505.8813763366,1
2024-05-08,1009770.5110404562,0.0,1009770.5110404562,0
2024-05-09,1009770.5110404562,0.0,1009770.5110404562,0
2024-05-10,809987.9949646912,202934.96878199998,1012922.9637466912,1
2024-05-13,809987.9949646912,203446.13998799998,1013434.1349526912,1
2024-05-14,809987.9949646912,201401.45516399998,1011389.4501286913,1
2024-05-15,1011436.4847804545,0.0,1011436.4847804545,0
2024-05-16,811810.1595208072,201976.288718,1013786.4482388073,1
2024-05-17,811810.1595208072,205502.059344,1017312.2188648072,1
2024-05-20,811810.1595208072,209531.51148800002,1021341.6710088073,1
2024-05-21,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-22,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-23,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-24,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-27,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-28,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-29,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-30,1020608.7590707025,0.0,1020608.7590707025,0
2024-05-31,1020608.7590707025,0.0,1020608.7590707025,0
2024-06-03,1020608.7590707025,0.0,1020608.7590707025,0
2024-06-04,656656.5207950365,365657.65142,1022314.1722150365,2
2024-06-05,656656.5207950365,362691.26807600004,1019347.7888710365,2
2024-06-06,656656.5207950365,362173.44953,1018829.9703250364,2
2024-06-07,657072.3333928229,363411.77509400004,1020484.1084868229,2
2024-06-11,657072.3333928229,357783.650014,1014855.9834068229,2
2024-06-12,657072.3333928229,356974.420352,1014046.7537448229,2
2024-06-13,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-14,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-17,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-18,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-19,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-20,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-21,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-24,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-25,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-26,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-27,1013136.1644185864,0.0,1013136.1644185864,0
2024-06-28,1013136.1644185864,0.0,1013136.1644185864,0
