date,code,shares,cost_price,market_price,market_value
2024-04-15,600000,30000,6.669569169084299,6.8343403,205030.209
2024-04-16,600000,30000,6.669569169084299,6.79689186,203906.75579999998
2024-04-17,600000,30000,6.669569169084299,6.87178874,206153.66220000002
2024-04-18,600000,29100,6.87565171356234,6.86242663,199696.614933
2024-04-19,600000,29100,6.87565171356234,6.87178874,199969.052334
2024-04-22,600000,29100,6.87565171356234,6.82497819,198606.86532900002
2024-04-30,600000,28100,7.1002166836887435,7.2088247,202567.97407
2024-05-06,600000,28100,7.1002166836887435,7.34925635,206514.103435
2024-05-07,600000,28100,7.1002166836887435,7.32117002,205724.877562
2024-05-10,600000,27300,7.315846128057737,7.43351534,202934.96878199998
2024-05-13,600000,27300,7.315846128057737,7.45223956,203446.13998799998
2024-05-14,600000,27300,7.315846128057737,7.37734268,201401.45516399998
2024-05-16,600000,26900,7.418827335429385,7.50841222,201976.288718
2024-05-17,600000,26900,7.418827335429385,7.63948176,205502.059344
2024-05-20,600000,26900,7.418827335429385,7.78927552,209531.51148800002
2024-06-04,600000,25800,7.756205493194122,7.78927552,200963.308416
2024-06-04,000001,17800,9.198482226160266,9.25249118,164694.343004
2024-06-05,600000,25800,7.756205493194122,7.76118919,200238.681102
2024-06-05,000001,17800,9.198482226160266,9.12654983,162452.586974
2024-06-06,600000,25800,7.756205493194122,7.72374075,199272.51135000002
2024-06-06,000001,17800,9.198482226160266,9.1517381,162900.93818
2024-06-07,600000,25600,7.793651212973549,7.77991341,199165.783296
2024-06-07,000001,17800,9.173254017157035,9.22730291,164245.991798
2024-06-11,600000,25600,7.793651212973549,7.63011965,195331.06304
2024-06-11,000001,17800,9.173254017157035,9.12654983,162452.586974
2024-06-12,600000,25600,7.793651212973549,7.59267121,194372.382976
2024-06-12,000001,17800,9.173254017157035,9.13494592,162602.037376
