date,code,side,price,shares,amount,fee,reason
2024-04-15,600000,BUY,6.669569169084299,30000,200087.07507252897,60.02612252175869,signal
2024-04-18,600000,SELL,6.864916951260001,30000,205947.50853780002,267.73176109914004,hold_days
2024-04-18,600000,BUY,6.87565171356234,29100,200081.4648646641,60.024439459399225,signal
2024-04-23,600000,SELL,6.846211455480001,29100,199224.753354468,258.9921793608084,hold_days
2024-04-30,600000,BUY,7.1002166836887435,28100,199516.0888116537,59.854826643496104,signal
2024-05-08,600000,SELL,7.30449610209,28100,205256.340468729,266.8332426093477,hold_days
2024-05-10,600000,BUY,7.315846128057737,27300,199722.59929597622,59.91677978879286,signal
2024-05-15,600000,SELL,7.3886708331,27300,201710.71374363,262.223927866719,hold_days
2024-05-16,600000,BUY,7.418827335429386,26900,199566.45532305047,59.86993659691514,signal
2024-05-21,600000,SELL,7.7721334965899995,26900,209070.391058271,271.7915083757523,hold_days
2024-06-04,600000,BUY,7.756205493194122,25800,200110.10172440833,60.033030517322494,signal
2024-06-04,000001,BUY,9.198482226160266,17800,163732.98362565273,49.11989508769582,signal
2024-06-07,600000,SELL,7.78148624448,25800,200762.345107584,260.9910486398592,hold_days
2024-06-07,000001,SELL,9.15936174972,17800,163036.639145016,211.9476308885208,hold_days
2024-06-07,600000,BUY,7.79365121297355,25600,199517.47105212286,59.85524131563685,signal
2024-06-07,000001,BUY,9.173254017157035,17800,163283.92150539524,48.985176451618564,signal
2024-06-13,600000,SELL,7.5757257909,25600,193938.58024704,252.12015432115197,hold_days
2024-06-13,000001,SELL,9.134198667989999,17800,162588.73629022198,211.36535717728856,hold_days
