date,cash,market_value,equity,positions
2023-01-03,1000000.0,0.0,1000000.0,0
2023-01-04,591309.2695520001,421195.0,1012504.2695520001,5
2023-01-05,451449.9545601737,560725.0,1012174.9545601737,8
2023-01-06,369854.0679648906,645621.0,1015475.0679648906,10
2023-01-09,530707.1822079418,499003.0,1029710.1822079418,7
2023-01-10,402940.6998006847,621300.0,1024240.6998006847,10
2023-01-11,442114.24726583983,584605.0,1026719.2472658398,10
2023-01-12,479854.7938583538,552039.0,1031893.7938583537,9
2023-01-13,460057.2476768926,579835.0,1039892.2476768927,9
2023-01-16,433476.47554960335,618196.0,1051672.4755496033,10
2023-01-17,463782.7271407143,592266.0,1056048.7271407144,10
2023-01-18,481398.89738322824,580196.8931519999,1061595.790535228,10
2023-01-19,467823.89912542026,597856.626248,1065680.5253734202,10
2023-01-20,452482.0800031281,623244.825536,1075726.905539128,10
2023-01-30,464329.8074094855,622453.0,1086782.8074094856,10
2023-01-31,477777.81016931555,613584.0,1091361.8101693154,10
2023-02-01,482570.594982011,627583.0,1110153.594982011,10
2023-02-02,554548.5678394813,561483.0,1116031.5678394814,8
2023-02-03,434701.9028060196,681710.0,1116411.9028060196,10
2023-02-06,444612.9309770196,671800.0,1116412.9309770195,10
2023-02-07,501252.26068557886,621733.0,1122985.260685579,10
2023-02-08,478185.2450894789,645348.0,1123533.2450894788,10
2023-02-09,504416.65621853527,624704.0,1129120.6562185353,10
2023-02-10,502769.3124714682,626016.433384,1128785.745855468,10
2023-02-13,518284.8320624196,640915.0,1159199.8320624195,9
2023-02-14,522248.5957862587,637358.0,1159606.5957862586,9
2023-02-15,487243.9311067469,673881.0,1161124.931106747,10
2023-02-16,624279.9972674596,537509.0,1161788.9972674595,7
2023-02-17,616396.5879552024,539450.0,1155846.5879552024,7
2023-02-20,441974.27021150244,728591.0,1170565.2702115024,10
2023-02-21,470642.92803750327,709870.0,1180512.9280375033,10
2023-02-22,522194.07485553954,657707.0,1179901.0748555395,10
2023-02-23,502663.17730985093,682937.0,1185600.177309851,10
2023-02-24,509723.17511245084,676945.0,1186668.175112451,10
2023-02-27,556333.7547021104,620727.292688,1177061.0473901103,9
2023-02-28,490369.4440249105,693846.828112,1184216.2721369106,10
2023-03-01,501180.7442552246,686655.9216080001,1187836.6658632248,10
2023-03-02,524448.1710386511,665654.40839,1190102.5794286511,10
2023-03-03,521438.5909729249,675653.52372,1197092.114692925,10
2023-03-06,539139.9571072184,666325.42928,1205465.3863872185,9
2023-03-07,506045.50626302045,688147.501104,1194193.0073670205,10
2023-03-08,580716.5367980384,616121.572928,1196838.1097260383,8
2023-03-09,472923.79106999194,719255.0,1192178.791069992,10
2023-03-10,499426.8626088817,683354.0,1182780.8626088817,10
2023-03-13,634268.977643666,545162.0,1179430.9776436659,7
2023-03-14,450795.40120568115,733907.0,1184702.4012056813,10
2023-03-15,478430.8124698793,708081.0,1186511.8124698792,10
2023-03-16,555143.0988197336,619855.0,1174998.0988197336,9
2023-03-17,482634.425491146,700687.0,1183321.425491146,10
2023-03-20,547831.0628417102,638636.0,1186467.0628417102,9
2023-03-21,518775.22823857685,680838.0,1199613.2282385768,10
2023-03-22,499303.11144712765,707207.93456,1206511.0460071275,10
2023-03-23,523126.5267288957,685966.776528,1209093.3032568959,10
2023-03-24,518442.04363677546,704003.719232,1222445.7628687755,10
2023-03-27,552114.8533085132,673665.315296,1225780.1686045132,9
2023-03-28,505851.49398464226,716261.0,1222112.4939846422,10
2023-03-29,549648.9703638968,669749.0,1219397.9703638968,9
2023-03-30,544436.0807628841,682291.0,1226727.080762884,9
2023-03-31,491354.3829070766,745497.0,1236851.3829070767,10
2023-04-03,510407.63600853423,729325.0,1239732.636008534,10
2023-04-04,576236.861594336,656319.0,1232555.861594336,9
2023-04-06,546326.7554548248,698515.0,1244841.7554548248,9
2023-04-07,515420.51451226056,738966.0,1254386.5145122604,10
2023-04-10,532523.854490438,714238.0,1246761.854490438,10
2023-04-11,616146.3843903503,639855.0,1256001.3843903504,8
2023-04-12,530559.8274033392,723762.0,1254321.827403339,10
2023-04-13,534336.5995237868,721347.0,1255683.599523787,10
2023-04-14,548521.4349149213,721665.330864,1270186.7657789213,10
2023-04-17,545154.5646381029,727415.0,1272569.564638103,10
2023-04-18,557959.2273685773,717994.0,1275953.2273685774,10
2023-04-19,549937.8055716633,730425.757486,1280363.5630576634,10
2023-04-20,565876.9514234677,710074.026078,1275950.9775014678,9
2023-04-21,506533.2138415053,755775.684652,1262308.8984935053,10
2023-04-24,616372.4822203247,639115.1746479999,1255487.6568683246,8
2023-04-25,497873.45265872404,739916.4712,1237789.923858724,10
2023-04-26,489827.05647765636,762627.82752,1252454.8839976564,10
2023-04-27,534665.5708142598,709392.0,1244057.5708142598,10
2023-04-28,522566.9379954164,735304.0,1257870.9379954163,10
2023-05-04,587051.0572939428,688706.0,1275757.0572939427,9
2023-05-05,547539.7084758971,728378.309232,1275918.0177078971,10
2023-05-08,534201.5396933048,744214.267088,1278415.8067813048,10
2023-05-09,566949.1552247048,713467.195484,1280416.350708705,10
2023-05-10,566010.8406577298,717788.657952,1283799.4986097298,10
2023-05-11,559029.8171091028,737398.255,1296428.0721091027,10
2023-05-12,568452.9197561037,720652.4066,1289105.3263561036,10
2023-05-15,604669.5590516563,702387.013,1307056.5720516564,9
2023-05-16,563229.7279851778,741525.0,1304754.7279851777,10
2023-05-17,543056.8269952413,765006.0,1308062.8269952415,10
2023-05-18,565935.4808103243,752237.0,1318172.4808103242,10
2023-05-19,566569.8241546942,747726.0,1314295.824154694,10
2023-05-22,602591.8838257851,710265.0,1312856.883825785,9
2023-05-23,561882.4745050833,742650.0,1304532.4745050832,10
2023-05-24,546216.3363636755,749041.0,1295257.3363636755,10
2023-05-25,587013.6521859504,701796.0,1288809.6521859504,9
2023-05-26,548755.985406489,747245.0,1296000.985406489,10
2023-05-29,539062.2292338344,758580.0,1297642.2292338344,10
2023-05-30,615891.5351313499,697031.0,1312922.53513135,9
2023-05-31,567688.6779609267,760639.0,1328327.6779609267,10
2023-06-01,547645.2492695352,785136.0,1332781.2492695353,10
2023-06-02,624641.331456997,713763.0,1338404.331456997,9
2023-06-05,559042.677648697,784883.0,1343925.677648697,10
2023-06-06,662027.5759884355,668021.0,1330048.5759884357,8
2023-06-07,596920.3736244645,727195.0,1324115.3736244645,9
2023-06-08,551560.1077371615,775761.0,1327321.1077371615,10
2023-06-09,585421.8027198628,732935.0,1318356.8027198627,10
2023-06-12,579975.7580537663,747737.0,1327712.7580537663,10
2023-06-13,573337.6566868663,752141.0,1325478.6566868662,10
2023-06-14,562608.415686308,771492.0,1334100.415686308,10
2023-06-15,573476.9924350947,769751.0,1343227.9924350947,10
2023-06-16,557972.3021472167,805254.0,1363226.3021472166,10
2023-06-19,574133.969743573,772108.0,1346241.969743573,10
2023-06-20,561305.3288643716,775633.0,1336938.3288643716,10
2023-06-21,735516.1287619545,598036.51606,1333552.6448219544,7
2023-06-26,579609.617522993,736672.0,1316281.6175229931,9
2023-06-27,557086.7004029464,783700.0,1340786.7004029464,10
2023-06-28,571967.800740615,765045.0,1337012.800740615,10
2023-06-29,617222.1800857856,720269.5428160001,1337491.7229017857,9
2023-06-30,542322.6788516211,809397.61408,1351720.292931621,10
2023-07-03,586909.2195597905,774769.369088,1361678.5886477905,10
2023-07-04,622311.901479115,736848.0,1359159.901479115,9
2023-07-05,553292.1357336319,823405.0,1376697.135733632,10
2023-07-06,581253.4932918139,786528.0,1367781.4932918139,10
2023-07-07,609998.0068973593,761054.0,1371052.0068973592,10
2023-07-10,604326.1807932812,767241.0,1371567.1807932812,10
2023-07-11,583987.2171010049,788124.0,1372111.217101005,10
2023-07-12,646825.9213510129,720889.0,1367714.9213510128,9
