date,code,shares,cost_price,market_price,market_value
2023-01-04,000036,24300,4.104099999999999,4.19,101817.00000000001
2023-01-04,000069,17000,5.29529,5.59,95030.0
2023-01-04,000048,5000,16.10609,16.37,81850.0
2023-01-04,000567,11800,6.16616,6.36,75048.0
2023-01-04,000425,14200,4.61461,4.75,67450.0
2023-01-05,000036,24300,4.104099999999999,4.09,99387.0
2023-01-05,000048,5000,16.10609,16.34,81700.0
2023-01-05,000425,14200,4.61461,4.78,67876.0
2023-01-05,000571,32300,2.35235,2.33,75259.0
2023-01-05,000408,3300,20.630609999999997,20.86,68838.0
2023-01-05,000636,4100,14.924909999999999,14.96,61336.0
2023-01-05,000657,4700,11.751739999999998,11.87,55788.99999999999
2023-01-05,000155,2800,17.78777,18.05,50540.0
2023-01-06,000036,24300,4.104099999999999,4.04,98172.0
2023-01-06,000048,5000,16.10609,16.07,80350.0
2023-01-06,000425,14200,4.61461,4.77,67734.0
2023-01-06,000571,32300,2.35235,2.36,76228.0
2023-01-06,000408,3300,20.630609999999997,21.19,69927.0
2023-01-06,000636,4100,14.924909999999999,14.91,61131.0
2023-01-06,000657,4700,11.751739999999998,12.01,56447.0
2023-01-06,000155,2700,18.038019999999996,18.45,49815.0
2023-01-06,000630,16700,2.72272,2.71,45257.0
2023-01-06,000400,2000,19.77976,20.28,40560.0
2023-01-09,000571,32300,2.35235,2.41,77843.0
2023-01-09,000155,2700,18.038019999999996,18.49,49922.99999999999
2023-01-09,000636,5900,15.06505,15.49,91391.0
2023-01-09,000612,17400,4.624619999999999,4.74,82476.0
2023-01-09,000543,18300,3.97397,3.95,72285.0
2023-01-09,000060,16700,3.9139099999999996,3.97,66299.0
2023-01-09,000572,11900,4.91491,4.94,58786.00000000001
2023-01-10,000155,2700,18.038019999999996,18.43,49761.0
2023-01-10,000636,5900,15.06505,15.64,92276.0
2023-01-10,000612,17400,4.624619999999999,4.69,81606.0
2023-01-10,000060,16700,3.9139099999999996,3.94,65798.0
2023-01-10,000572,11900,4.91491,4.95,58905.0
2023-01-10,000415,29800,2.27227,2.24,66752.0
2023-01-10,000338,6700,9.109099999999998,8.98,60166.0
2023-01-10,000506,16000,3.4234199999999997,3.38,54080.0
2023-01-10,000555,4300,11.271259999999998,11.22,48246.0
2023-01-10,000534,3100,14.214199999999998,14.1,43710.0
2023-01-11,000612,17400,4.624619999999999,4.7,81780.0
2023-01-11,000060,16700,3.9139099999999996,3.97,66299.0
2023-01-11,000572,11900,4.91491,4.84,57596.0
2023-01-11,000415,29800,2.27227,2.24,66752.0
