date,code,side,price,shares,amount,fee,reason
2023-01-04,000036,BUY,4.104099999999999,24300,99729.62999999998,29.91888899999999,signal
2023-01-04,000069,BUY,5.29529,17000,90019.93,27.005978999999996,signal
2023-01-04,000048,BUY,16.10609,5000,80530.45,24.159134999999996,signal
2023-01-04,000567,BUY,6.16616,11800,72760.688,21.828206399999996,signal
2023-01-04,000425,BUY,4.61461,14200,65527.462,19.658238599999997,signal
2023-01-05,000069,SELL,5.5544944455,17000,94426.4055735,122.75432724555,take_profit
2023-01-05,000567,SELL,6.4679935319999995,11800,76322.3236776,99.21902078087999,take_profit
2023-01-05,000571,BUY,2.35235,32300,75980.905,22.794271499999997,signal
2023-01-05,000408,BUY,20.630609999999997,3300,68081.01299999999,20.424303899999995,signal
2023-01-05,000636,BUY,14.924909999999999,4100,61192.130999999994,18.357639299999995,signal
2023-01-05,000657,BUY,11.751739999999998,4700,55233.17799999999,16.569953399999996,signal
2023-01-05,000155,BUY,17.78777,2800,49805.755999999994,14.941726799999996,signal
2023-01-06,000155,SELL,18.658481341499996,2800,52243.74775619999,67.91687208305999,take_profit
2023-01-06,000155,BUY,18.038019999999996,2700,48702.65399999999,14.610796199999996,signal
2023-01-06,000630,BUY,2.72272,16700,45469.424,13.640827199999999,signal
2023-01-06,000400,BUY,19.77976,2000,39559.52,11.867855999999998,signal
2023-01-09,000036,SELL,4.03596,24300,98073.82800000001,127.4959764,hold_days
2023-01-09,000048,SELL,15.607284392699999,5000,78036.42196349999,101.44734855254998,stop_loss
2023-01-09,000425,SELL,4.8404951595,14200,68735.0312649,89.35554064437,take_profit
2023-01-09,000408,SELL,21.6404783595,3300,71413.57858635,92.837652162255,take_profit
2023-01-09,000636,SELL,15.6554843445,4100,64187.485812449995,83.44373155618499,take_profit
2023-01-09,000657,SELL,12.326987673,4700,57936.8420631,75.31789468202999,take_profit
2023-01-09,000630,SELL,2.855997144,16700,47695.152304799994,62.00369799623999,take_profit
2023-01-09,000400,SELL,20.747979252,2000,41495.958504,53.9447460552,take_profit
2023-01-09,000636,BUY,15.06505,5900,88883.795,26.665138499999998,signal
2023-01-09,000612,BUY,4.624619999999999,17400,80468.38799999999,24.140516399999996,signal
2023-01-09,000543,BUY,3.9739699999999996,18300,72723.651,21.8170953,signal
2023-01-09,000060,BUY,3.9139099999999996,16700,65362.29699999999,19.608689099999996,signal
2023-01-09,000572,BUY,4.91491,11900,58487.429,17.546228699999997,signal
2023-01-10,000571,SELL,2.41758,32300,78087.834,101.5141842,hold_days
2023-01-10,000543,SELL,3.8508961490999996,18300,70471.39952852999,91.61281938708898,stop_loss
2023-01-10,000415,BUY,2.27227,29800,67713.646,20.314093799999995,signal
2023-01-10,000338,BUY,9.109099999999998,6700,61030.96999999999,18.309290999999995,signal
2023-01-10,000506,BUY,3.4234199999999997,16000,54774.719999999994,16.432415999999996,signal
2023-01-10,000555,BUY,11.271259999999998,4300,48466.41799999999,14.539925399999996,signal
2023-01-10,000534,BUY,14.214199999999998,3100,44064.02,13.219205999999998,signal
2023-01-11,000155,SELL,18.41157,2700,49711.239,64.6246107,hold_days
2023-01-11,000636,SELL,15.8024841975,5900,93234.65676525,121.20505379482499,take_profit
2023-01-11,000567,BUY,6.726719999999999,8100,54486.43199999999,16.345929599999998,signal
2023-01-11,000048,BUY,16.35634,3000,49069.02,14.720705999999998,signal
2023-01-12,000612,SELL,4.70529,17400,81872.046,106.4336598,hold_days
2023-01-12,000060,SELL,3.9860100000000003,16700,66566.367,86.53627709999999,hold_days
2023-01-12,000572,SELL,4.86513,11900,57895.047,75.26356109999999,hold_days
2023-01-12,000506,SELL,3.3173966825999996,16000,53078.346921599994,69.00185099807999,stop_loss
2023-01-12,000567,SELL,7.055992944,8100,57153.5428464,74.29960570032,take_profit
2023-01-12,000048,SELL,17.156982843,3000,51470.948529,66.9122330877,take_profit
2023-01-12,000639,BUY,4.75475,17000,80830.75,24.249225,signal
2023-01-12,000048,BUY,16.506489999999996,4400,72628.55599999998,21.78856679999999,signal
2023-01-12,000629,BUY,4.93493,13200,65141.075999999994,19.542322799999997,signal
2023-01-12,000408,BUY,21.511489999999995,2700,58081.02299999999,17.424306899999994,signal
2023-01-12,000567,BUY,7.167159999999999,7400,53036.984,15.911095199999998,signal
2023-01-13,000415,SELL,2.2577399999999996,29800,67280.65199999999,87.46484759999998,hold_days
2023-01-13,000338,SELL,9.01098,6700,60373.566,78.4856358,hold_days
2023-01-13,000555,SELL,11.05893,4300,47553.399,61.81941869999999,hold_days
2023-01-13,000534,SELL,14.19579,3100,44006.949,57.2090337,hold_days
2023-01-13,000048,SELL,17.314482685499996,4400,76183.72381619998,99.03884096105998,take_profit
2023-01-13,000603,BUY,13.012999999999998,5900,76776.69999999998,23.033009999999994,signal
2023-01-13,000564,BUY,1.3813799999999998,50500,69759.68999999999,20.927906999999994,signal
2023-01-13,000155,BUY,18.228209999999997,3400,61975.91399999999,18.592774199999994,signal
2023-01-13,000048,BUY,17.097079999999995,3300,56420.36399999998,16.926109199999992,signal
2023-01-13,000534,BUY,14.22421,3500,49784.735,14.9354205,signal
2023-01-16,000639,SELL,4.9874950125,17000,84787.4152125,110.22363977625,take_profit
2023-01-16,000567,SELL,7.5179924819999995,7400,55633.1443668,72.32308767683999,take_profit
2023-01-16,000564,SELL,1.4489985509999999,50500,73174.42682549999,95.12675487314999,take_profit
2023-01-16,000048,SELL,17.933982065999995,3300,59182.140817799984,76.93678306313997,take_profit
2023-01-16,000636,BUY,15.565549999999998,4700,73158.08499999999,21.947425499999994,signal
2023-01-16,000338,BUY,9.23923,7100,65598.533,19.679559899999997,signal
2023-01-16,000415,BUY,2.3022999999999993,25700,59169.109999999986,17.750732999999993,signal
2023-01-16,000551,BUY,7.277269999999999,7300,53124.07099999999,15.937221299999996,signal
2023-01-16,000555,BUY,11.131119999999997,4300,47863.81599999999,14.359144799999996,signal
2023-01-17,000629,SELL,4.91508,13200,64879.056,84.34277279999999,hold_days
2023-01-17,000408,SELL,21.778200000000002,2700,58801.14000000001,76.44148200000001,hold_days
2023-01-17,000636,SELL,16.3274836725,4700,76739.17326075,99.76092523897499,take_profit
2023-01-17,000029,BUY,12.33232,5100,62894.831999999995,18.868449599999998,signal
2023-01-17,000408,BUY,21.8218,2600,56736.68,17.021003999999998,signal
2023-01-17,000063,BUY,25.085059999999995,2000,50170.11999999999,15.051035999999995,signal
