date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000028,21.01,21.92,22.22,21.01,53003,180731118.58,5.78,4.73,0.99,1.44,000028
2023-01-04,000028,21.9,22.04,22.17,21.59,30439,104272040.98,2.65,0.55,0.12,0.83,000028
2023-01-05,000028,21.85,21.83,22.2,21.74,25747,88439493.27,2.09,-0.95,-0.21,0.7,000028
2023-01-06,000028,21.85,21.89,22.2,21.74,21456,73757362.78,2.11,0.27,0.06,0.58,000028
2023-01-09,000028,21.87,21.68,22.07,21.55,25078,85360017.38,2.38,-0.96,-0.21,0.68,000028
2023-01-10,000028,21.69,22.34,22.48,21.58,31104,107912335.68,4.15,3.04,0.66,0.85,000028
2023-01-11,000028,22.54,22.48,22.82,22.13,28710,101149748.37,3.09,0.63,0.14,0.78,000028
2023-01-12,000028,22.8,22.61,23.14,22.45,24871,88337496.71,3.07,0.58,0.13,0.68,000028
2023-01-13,000028,22.31,22.69,22.8,22.22,17578,61855932.78,2.57,0.35,0.08,0.48,000028
2023-01-16,000028,22.75,22.52,23.29,22.52,32477,115776566.75,3.39,-0.75,-0.17,0.88,000028
2023-01-17,000028,22.48,22.34,22.69,22.32,16336,57269290.9,1.64,-0.8,-0.18,0.44,000028
2023-01-18,000028,22.51,22.42,22.55,22.25,12929,45239283.6,1.34,0.36,0.08,0.35,000028
2023-01-19,000028,22.34,23.02,23.09,22.2,24057,85712491.66,3.97,2.68,0.6,0.65,000028
2023-01-20,000028,22.93,22.96,23.24,22.82,12442,44610279.14,1.82,-0.26,-0.06,0.34,000028
2023-01-30,000028,22.96,22.46,23.1,22.27,32650,114923298.35,3.61,-2.18,-0.5,0.89,000028
2023-01-31,000028,22.47,22.43,22.65,22.34,18227,63933569.25,1.38,-0.13,-0.03,0.5,000028
2023-02-01,000028,22.41,22.43,22.57,22.27,21506,75191685.56,1.34,0.0,0.0,0.58,000028
2023-02-02,000028,22.45,22.58,22.79,22.45,15828,55917255.0,1.52,0.67,0.15,0.43,000028
2023-02-03,000028,22.46,22.27,22.67,22.08,14978,52225724.9,2.61,-1.37,-0.31,0.41,000028
2023-02-06,000028,22.2,22.01,22.26,21.97,14877,51370457.75,1.3,-1.17,-0.26,0.4,000028
2023-02-07,000028,22.03,22.09,22.35,21.9,19292,66602541.65,2.04,0.36,0.08,0.52,000028
2023-02-08,000028,22.11,21.83,22.15,21.81,12466,42826565.72,1.54,-1.18,-0.26,0.34,000028
2023-02-09,000028,21.83,21.92,21.97,21.79,13573,46525834.5,0.82,0.41,0.09,0.37,000028
2023-02-10,000028,21.89,21.74,21.97,21.54,16394,55769509.02,1.96,-0.82,-0.18,0.45,000028
2023-02-13,000028,21.64,22.02,22.03,21.64,18281,62535873.3,1.79,1.29,0.28,0.5,000028
2023-02-14,000028,22.02,22.65,23.02,22.02,37518,132585577.81,4.54,2.86,0.63,1.02,000028
2023-02-15,000028,22.65,22.82,22.96,22.52,33328,118584715.14,1.94,0.75,0.17,0.91,000028
2023-02-16,000028,23.31,23.39,24.77,23.27,84440,315895567.77,6.57,2.5,0.57,2.3,000028
2023-02-17,000028,23.42,23.59,24.07,23.04,49837,183398109.95,4.4,0.86,0.2,1.36,000028
2023-02-20,000028,23.59,23.63,23.74,23.1,27515,100278334.41,2.71,0.17,0.04,0.75,000028
2023-02-21,000028,23.66,23.78,23.87,23.52,23367,86087711.5,1.48,0.63,0.15,0.64,000028
2023-02-22,000028,23.68,23.8,24.07,23.52,24220,89621871.36,2.31,0.08,0.02,0.66,000028
2023-02-23,000028,23.8,23.84,23.95,23.53,22634,83597968.0,1.76,0.17,0.04,0.62,000028
2023-02-24,000028,23.91,23.82,24.21,23.68,21970,81757043.19,2.22,-0.08,-0.02,0.6,000028
2023-02-27,000028,23.68,23.68,23.9,23.47,18562,68161693.64,1.81,-0.59,-0.14,0.5,000028
2023-02-28,000028,23.68,24.29,24.38,23.68,27922,104238394.54,2.96,2.58,0.61,0.76,000028
2023-03-01,000028,24.43,24.49,24.65,23.86,35208,133146971.2,3.25,0.82,0.2,0.96,000028
2023-03-02,000028,24.45,24.36,24.47,24.16,19004,71683177.69,1.27,-0.53,-0.13,0.52,000028
2023-03-03,000028,24.29,24.85,24.99,24.2,37826,145185688.39,3.24,2.01,0.49,1.03,000028
2023-03-06,000028,24.96,26.12,26.23,24.78,71218,285506394.14,5.84,5.11,1.27,1.94,000028
2023-03-07,000028,26.03,26.82,27.55,26.03,99871,417406653.74,5.82,2.68,0.7,2.72,000028
2023-03-08,000028,26.61,28.17,28.94,26.47,113682,487124510.79,9.21,5.03,1.35,3.09,000028
2023-03-09,000028,27.95,27.99,28.53,27.52,55441,238669183.25,3.59,-0.64,-0.18,1.51,000028
2023-03-10,000028,27.65,26.9,28.18,26.73,61738,257901498.02,5.18,-3.89,-1.09,1.68,000028
2023-03-13,000028,26.91,27.09,27.25,26.26,54845,227936816.79,3.68,0.71,0.19,1.49,000028
2023-03-14,000028,26.96,27.22,27.99,26.72,57778,243381675.81,4.69,0.48,0.13,1.57,000028
2023-03-15,000028,27.22,27.5,27.96,27.08,49346,208953315.45,3.23,1.03,0.28,1.34,000028
2023-03-16,000028,28.68,30.45,30.45,27.59,120570,542046069.45,10.4,10.73,2.95,3.28,000028
2023-03-17,000028,30.8,32.23,32.94,30.59,201058,971120436.12,7.72,5.85,1.78,5.47,000028
2023-03-20,000028,31.5,30.38,32.38,30.07,116805,552964074.14,7.17,-5.74,-1.85,3.18,000028
2023-03-21,000028,30.38,29.89,30.85,29.66,60299,277642691.89,3.92,-1.61,-0.49,1.64,000028
2023-03-22,000028,29.54,29.75,30.53,29.05,56241,257025836.93,4.95,-0.47,-0.14,1.53,000028
2023-03-23,000028,29.52,29.75,30.17,29.4,37168,169603379.12,2.59,0.0,0.0,1.01,000028
2023-03-24,000028,30.1,28.98,30.1,28.7,70779,315702685.88,4.71,-2.59,-0.77,1.92,000028
2023-03-27,000028,28.56,28.41,29.19,28.14,54213,238210316.58,3.62,-1.97,-0.57,1.47,000028
2023-03-28,000028,28.4,28.97,29.5,28.18,53706,238852182.28,4.65,1.97,0.56,1.46,000028
2023-03-29,000028,29.04,28.85,29.51,28.52,31239,138321047.34,3.42,-0.41,-0.12,0.85,000028
2023-03-30,000028,28.83,28.41,29.01,28.16,36104,157583080.69,2.95,-1.53,-0.44,0.98,000028
2023-03-31,000028,28.59,28.78,29.22,28.45,47960,211862402.2,2.71,1.3,0.37,1.3,000028
2023-04-03,000028,28.82,28.94,29.08,28.29,45807,201447116.75,2.74,0.56,0.16,1.25,000028
2023-04-04,000028,28.94,30.73,31.42,28.78,77776,361370991.67,9.12,6.19,1.79,2.12,000028
2023-04-06,000028,30.72,30.45,31.5,30.06,39933,186443370.53,4.69,-0.91,-0.28,1.09,000028
2023-04-07,000028,30.52,30.45,31.36,30.06,27186,127156719.43,4.27,0.0,0.0,0.74,000028
2023-04-10,000028,30.44,30.6,31.28,29.87,31430,147222123.32,4.63,0.49,0.15,0.85,000028
2023-04-11,000028,30.43,32.11,32.22,30.1,41342,197269128.68,6.93,4.93,1.51,1.12,000028
2023-04-12,000028,31.99,31.41,32.39,31.15,33869,163408349.76,3.86,-2.18,-0.7,0.92,000028
2023-04-13,000028,31.77,32.66,33.24,31.45,52404,260041805.37,5.7,3.98,1.25,1.43,000028
2023-04-14,000028,32.75,32.87,33.21,32.06,30551,152305755.34,3.52,0.64,0.21,0.83,000028
2023-04-17,000028,32.61,36.37,36.37,32.59,66674,355999415.67,11.5,10.65,3.5,1.81,000028
2023-04-18,000028,36.38,35.27,36.89,34.14,123891,660120865.05,7.56,-3.02,-1.1,3.37,000028
2023-04-19,000028,35.08,35.84,36.22,34.72,59151,319611773.57,4.25,1.62,0.57,1.61,000028
2023-04-20,000028,36.01,37.51,37.93,35.47,60349,336190869.06,6.86,4.66,1.67,1.64,000028
2023-04-21,000028,37.31,35.8,37.31,35.57,98790,541887771.99,4.64,-4.56,-1.71,2.69,000028
2023-04-24,000028,36.19,38.31,39.31,35.83,78739,450665765.39,9.72,7.01,2.51,2.14,000028
