date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-01-03,000568,198.150176,199.28246272,192.65681621,194.48793614,9238152,2030869788.16,0.6308,-1.9708,0
2023-01-04,000568,194.61178,198.31824981,193.0195018,195.496379,6892060,1525301301.0,0.4706,0.5185,0
2023-01-05,000568,197.94671823,209.55265711,197.48672675,207.51807941,13553908,3156912259.57,0.9255,6.1493,0
2023-01-06,000568,207.51807941,208.95112979,204.01506737,207.50038743,10003539,2333063640.48,0.6831,-0.0085,0
2023-01-09,000568,207.50038743,213.9844981,205.5808076,210.94147754,10608196,2523163702.84,0.7244,1.6584,0
2023-01-10,000568,210.93263155,214.04642003,209.12804959,211.419161,6772071,1620936729.28,0.4624,0.2265,0
2023-01-11,000568,210.534562,211.92338243,208.39383242,209.649963,7299567,1733483566.33,0.4984,-0.8368,0
2023-01-12,000568,210.83532566,213.87834622,208.4115244,209.34919934,5897121,1400864763.11,0.4027,-0.1435,0
2023-01-13,000568,209.35804533,216.726755,209.0307437,216.1075357,12072178,2927826941.51,0.8243,3.2283,0
2023-01-16,000568,218.25711127,228.21769601,217.611354,222.918948,12592279,3183135635.12,0.8598,3.1519,0
2023-01-17,000568,222.92779399,225.67889688,218.04480751,220.27399699,9806406,2448756429.96,0.6696,-1.1865,0
2023-01-18,000568,221.14975,224.3343064,216.94790475,218.0536535,7766295,1930105775.92,0.5303,-1.008,0
2023-01-19,000568,218.1421134,221.4151297,214.5152575,218.83210062,7325245,1806513612.97,0.5002,0.357,0
2023-01-20,000568,219.95554135,224.1573866,218.18634335,219.2036322,8019829,2003590391.58,0.5476,0.1698,0
2023-01-30,000568,224.25469249,225.20121342,212.30376,220.46860877,9945203,2459782211.64,0.6791,0.5771,0
2023-01-31,000568,220.265151,220.265151,207.95153292,209.649963,11300743,2710907684.93,0.7716,-4.9071,0
2023-02-01,000568,209.2076635,212.23299208,206.83693818,210.95916952,10290565,2436424033.48,0.7027,0.6245,0
2023-02-02,000568,212.33029797,214.06411201,208.03114683,211.43685298,7121257,1699521194.25,0.4863,0.2264,0
2023-02-03,000568,208.765364,209.2961234,202.1308715,208.1461447,10920147,2541131073.33,0.7457,-1.5564,0
2023-02-06,000568,203.45777,207.76576713,198.36247976,207.02270397,11208688,2588482867.87,0.7654,-0.5397,0
2023-02-07,000568,208.77420999,210.7999417,205.05889419,206.0231071,6683255,1559169991.72,0.4563,-0.4828,0
2023-02-08,000568,206.88116813,207.59769332,203.56392188,205.37734983,4824898,1120885002.49,0.3295,-0.3134,0
2023-02-09,000568,204.77582251,214.5152575,203.7231497,213.69258043,11714427,2811496460.02,0.7999,4.0488,0
2023-02-10,000568,213.81642429,219.40708997,212.48952579,218.495953,8919606,2190384393.95,0.6091,2.2478,0
2023-02-13,000568,222.918948,235.28564202,220.37130288,230.5264994,15441549,4007305304.95,1.0544,5.5061,0
2023-02-14,000568,229.6419004,230.880339,222.3881886,222.94548597,11272200,2874762378.57,0.7697,-3.2886,0
2023-02-15,000568,223.803547,228.09385215,220.6189906,221.6805094,8850987,2238116154.17,0.6044,-0.5674,0
2023-02-16,000568,222.034349,225.3958252,218.68171879,221.14975,10505653,2641993488.49,0.7174,-0.2394,0
2023-02-17,000568,220.265151,227.85501042,220.25630501,222.3881886,14522887,3693803516.35,0.9917,0.56,0
2023-02-20,000568,222.71549023,228.44769175,220.15899912,227.99654626,10052139,2559387028.68,0.6864,2.5219,0
2023-02-21,000568,227.7842425,229.111141,222.2997287,225.06852357,6822068,1728700105.37,0.4658,-1.2842,0
2023-02-22,000568,223.73277908,226.8996435,222.918948,223.25509562,5193205,1316412377.87,0.3546,-0.8057,0
2023-02-23,000568,222.33511266,225.73197282,220.69860451,222.45895652,6020176,1516235275.13,0.4111,-0.3566,0
2023-02-24,000568,220.3536109,221.93704311,215.25832066,219.9113114,8506948,2099915029.88,0.5809,-1.1452,0
2023-02-27,000568,218.15980538,225.572745,217.611354,222.2112688,7131391,1795850099.72,0.4869,1.0459,0
2023-02-28,000568,223.0958678,224.5112262,219.1151723,221.14975,4568297,1140249858.74,0.3119,-0.4777,0
2023-03-01,000568,221.7689693,226.36003811,218.78787067,225.82043272,7141967,1807044152.6,0.4877,2.112,0
2023-03-02,000568,225.81158673,226.89079751,224.1573866,225.53736104,3895274,991738228.37,0.266,-0.1254,0
2023-03-03,000568,227.04117934,229.57113248,223.84777695,225.1304455,4813749,1231260902.59,0.3287,-0.1804,0
