code,error
000630,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000631,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000632,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000633,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000635,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000636,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000637,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000639,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000650,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000651,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000652,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000655,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000656,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000657,RuntimeError('all providers failed: AkShareProvider: empty | BaoStockProvider: empty')
000659,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000661,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000663,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000665,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000668,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
000669,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")"
