task,code,start,end,status,rows,error,updated_at
daily,000607,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:23:43
daily,000608,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:23:51
daily,000609,20230101,20251231,failed,0,RuntimeError('all providers failed: AkShareProvider: empty | BaoStockProvider: empty'),2026-06-25T15:23:59
daily,000610,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:08
daily,000615,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:23
daily,000617,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:30
daily,000619,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:37
daily,000620,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:45
daily,000623,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:24:54
daily,000625,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:25:01
daily,000626,20230101,20251231,failed,0,"RuntimeError(""all providers failed: AkShareProvider: ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))) | BaoStockProvider: empty"")",2026-06-25T15:25:07
