code,date,risk_tags
000532,2025-12-31,高波动、下跌概率高、综合分偏低
000520,2025-12-31,高波动、下跌概率高、综合分偏低
000417,2025-12-31,高波动、下跌概率高、综合分偏低
000610,2025-12-31,下跌概率高、综合分偏低
000603,2025-12-31,高波动、下跌概率高、综合分偏低
000665,2025-12-31,下跌概率高、综合分偏低
000555,2025-12-31,下跌概率高、综合分偏低
000629,2025-12-31,综合分偏低
000069,2025-12-31,下跌概率高、综合分偏低
000659,2025-12-31,高波动、下跌概率高、综合分偏低
000559,2025-12-31,高波动、下跌概率高、综合分偏低
000564,2025-12-31,下跌概率高、综合分偏低
000592,2025-12-31,高波动、下跌概率高、综合分偏低
000415,2025-12-31,综合分偏低
000039,2025-12-31,下跌概率高、综合分偏低
000426,2025-12-31,高波动、下跌概率高、综合分偏低
000036,2025-12-31,高波动、下跌概率高、综合分偏低
000523,2025-12-31,高波动、下跌概率高、综合分偏低
000543,2025-12-31,下跌概率高、综合分偏低
000007,2025-12-31,高波动、下跌概率高、综合分偏低
000630,2025-12-31,高波动、下跌概率高、综合分偏低
000065,2025-12-31,下跌概率高、综合分偏低
000536,2025-12-31,高波动、下跌概率高、综合分偏低
000002,2025-12-31,综合分偏低
000534,2025-12-31,高波动、下跌概率高、综合分偏低
000049,2025-12-31,下跌概率高、综合分偏低
000612,2025-12-31,高波动、下跌概率高、综合分偏低
000032,2025-12-31,高波动、下跌概率高、综合分偏低
000636,2025-12-31,下跌概率高、综合分偏低
000558,2025-12-31,下跌概率高、综合分偏低
000078,2025-12-31,高波动、下跌概率高、综合分偏低
000155,2025-12-31,高波动、下跌概率高、综合分偏低
000530,2025-12-31,高波动、下跌概率高、综合分偏低
000545,2025-12-31,高波动、下跌概率高、综合分偏低
000600,2025-12-31,综合分偏低
000639,2025-12-31,高波动、下跌概率高、综合分偏低
000061,2025-12-31,高波动、下跌概率高、综合分偏低
000020,2025-12-31,下跌概率高、综合分偏低
000546,2025-12-31,高波动、下跌概率高、综合分偏低
000505,2025-12-31,高波动、下跌概率高、综合分偏低
000501,2025-12-31,下跌概率高、综合分偏低
000428,2025-12-31,高波动、下跌概率高、综合分偏低
000506,2025-12-31,高波动、下跌概率高、综合分偏低
000035,2025-12-31,下跌概率高、综合分偏低
000632,2025-12-31,高波动、下跌概率高、综合分偏低
000017,2025-12-31,高波动、下跌概率高、综合分偏低
000338,2025-12-31,下跌概率高、综合分偏低
000551,2025-12-31,高波动、下跌概率高、综合分偏低
000663,2025-12-31,高波动、下跌概率高、综合分偏低
000547,2025-12-31,高波动、下跌概率高、综合分偏低
000657,2025-12-31,高波动、下跌概率高、综合分偏低
000524,2025-12-31,下跌概率高、综合分偏低
000566,2025-12-31,高波动、下跌概率高、综合分偏低
000100,2025-12-31,下跌概率高、综合分偏低
000403,2025-12-31,综合分偏低
000528,2025-12-31,下跌概率高、综合分偏低
000048,2025-12-31,下跌概率高、综合分偏低
000425,2025-12-31,正常
000567,2025-12-31,高波动、下跌概率高、综合分偏低
000510,2025-12-31,高波动、下跌概率高、综合分偏低
000561,2025-12-31,高波动、下跌概率高、综合分偏低
000029,2025-12-31,下跌概率高、综合分偏低
000014,2025-12-31,下跌概率高、综合分偏低
000419,2025-12-31,高波动、下跌概率高、综合分偏低
000400,2025-12-31,下跌概率高、综合分偏低
000593,2025-12-31,高波动、下跌概率高、综合分偏低
000560,2025-12-31,下跌概率高、综合分偏低
000620,2025-12-31,高波动、下跌概率高、综合分偏低
000514,2025-12-31,下跌概率高、综合分偏低
000070,2025-12-31,高波动、下跌概率高、综合分偏低
000060,2025-12-31,下跌概率高、综合分偏低
000572,2025-12-31,高波动、下跌概率高、综合分偏低
000526,2025-12-31,综合分偏低
000063,2025-12-31,综合分偏低
000411,2025-12-31,高波动、下跌概率高、综合分偏低
000617,2025-12-31,下跌概率高、综合分偏低
000408,2025-12-31,高波动、下跌概率高、综合分偏低
000533,2025-12-31,高波动、下跌概率高、综合分偏低
000058,2025-12-31,下跌概率高、综合分偏低
000422,2025-12-31,综合分偏低
000571,2025-12-31,高波动、下跌概率高、综合分偏低
000582,2025-12-31,高波动、下跌概率高、综合分偏低
000420,2025-12-31,高波动、下跌概率高、综合分偏低
000407,2025-12-31,高波动、下跌概率高、综合分偏低
000609,2025-12-31,高波动、下跌概率高、综合分偏低
000628,2025-12-31,高波动、下跌概率高、综合分偏低
000021,2025-12-31,下跌概率高、综合分偏低
000006,2025-12-31,下跌概率高、综合分偏低
000633,2025-12-31,高波动、下跌概率高、综合分偏低
000599,2025-12-31,高波动、下跌概率高、综合分偏低
