code,date,why_selected
000532,2025-12-31,atr_14=0.0439；turnover_rate=4.1300；amplitude=0.0258；ret_1d=-0.0098；lower_shadow=0.0074
000520,2025-12-31,atr_14=0.0427；turnover_rate=1.8000；amplitude=0.0266；ret_1d=-0.0102；lower_shadow=0.0083
000417,2025-12-31,atr_14=0.0626；turnover_rate=14.7600；amplitude=0.0702；ret_1d=0.0332；lower_shadow=0.0037
000610,2025-12-31,atr_14=0.0265；turnover_rate=2.2700；amplitude=0.0128；ret_1d=0.0000；lower_shadow=0.0088
000603,2025-12-31,atr_14=0.0667；turnover_rate=8.2000；amplitude=0.0711；ret_1d=0.0111；lower_shadow=0.0052
000665,2025-12-31,atr_14=0.0326；turnover_rate=13.0400；amplitude=0.0865；ret_1d=-0.0316；lower_shadow=0.0223
000555,2025-12-31,atr_14=0.0298；turnover_rate=3.9700；amplitude=0.0428；ret_1d=0.0116；lower_shadow=0.0091
000629,2025-12-31,atr_14=0.0219；turnover_rate=0.9000；amplitude=0.0194；ret_1d=0.0000；lower_shadow=0.0032
000069,2025-12-31,atr_14=0.0349；turnover_rate=1.0400；amplitude=0.0161；ret_1d=0.0000；lower_shadow=0.0081
000659,2025-12-31,atr_14=0.0477；turnover_rate=15.2800；amplitude=0.1282；ret_1d=0.0410；lower_shadow=0.0197
000559,2025-12-31,atr_14=0.0452；turnover_rate=14.3100；amplitude=0.0884；ret_1d=0.0975；lower_shadow=0.0412
000564,2025-12-31,atr_14=0.0354；turnover_rate=1.7200；amplitude=0.0241；ret_1d=0.0040；lower_shadow=0.0120
000592,2025-12-31,atr_14=0.0942；turnover_rate=26.8100；amplitude=0.0673；ret_1d=-0.0833；lower_shadow=0.0162
000415,2025-12-31,atr_14=0.0300；turnover_rate=1.2800；amplitude=0.0318；ret_1d=-0.0098；lower_shadow=0.0025
000039,2025-12-31,atr_14=0.0323；turnover_rate=2.5500；amplitude=0.0209；ret_1d=0.0050；lower_shadow=0.0139
000426,2025-12-31,atr_14=0.0539；turnover_rate=4.2200；amplitude=0.0619；ret_1d=-0.0300；lower_shadow=0.0056
000036,2025-12-31,atr_14=0.0768；turnover_rate=9.6000；amplitude=0.0653；ret_1d=-0.0208；lower_shadow=0.0258
000523,2025-12-31,atr_14=0.0584；turnover_rate=5.0800；amplitude=0.0391；ret_1d=-0.0182；lower_shadow=0.0053
000543,2025-12-31,atr_14=0.0311；turnover_rate=1.6600；amplitude=0.0200；ret_1d=-0.0087；lower_shadow=0.0050
000007,2025-12-31,atr_14=0.0533；turnover_rate=2.3300；amplitude=0.0404；ret_1d=-0.0155；lower_shadow=0.0140
000630,2025-12-31,atr_14=0.0393；turnover_rate=4.8500；amplitude=0.0765；ret_1d=0.0365；lower_shadow=0.0050
000065,2025-12-31,atr_14=0.0298；turnover_rate=2.3300；amplitude=0.0407；ret_1d=0.0224；lower_shadow=0.0114
000536,2025-12-31,atr_14=0.0446；turnover_rate=2.7800；amplitude=0.0227；ret_1d=0.0062；lower_shadow=0.0123
000002,2025-12-31,atr_14=0.0250；turnover_rate=1.1100；amplitude=0.0130；ret_1d=0.0065；lower_shadow=0.0065
000534,2025-12-31,atr_14=0.0746；turnover_rate=5.6500；amplitude=0.0770；ret_1d=0.0027；lower_shadow=0.0086
000049,2025-12-31,atr_14=0.0231；turnover_rate=1.8800；amplitude=0.0260；ret_1d=-0.0111；lower_shadow=0.0098
000612,2025-12-31,atr_14=0.0375；turnover_rate=4.3800；amplitude=0.0223；ret_1d=-0.0065；lower_shadow=0.0075
000032,2025-12-31,atr_14=0.0387；turnover_rate=1.2700；amplitude=0.0251；ret_1d=-0.0097；lower_shadow=0.0052
000636,2025-12-31,atr_14=0.0330；turnover_rate=2.0400；amplitude=0.0458；ret_1d=-0.0067；lower_shadow=0.0043
000558,2025-12-31,atr_14=0.0258；turnover_rate=1.8300；amplitude=0.0137；ret_1d=0.0059；lower_shadow=0.0058
000078,2025-12-31,atr_14=0.0679；turnover_rate=4.4700；amplitude=0.0287；ret_1d=-0.0057；lower_shadow=0.0145
000155,2025-12-31,atr_14=0.0362；turnover_rate=1.4200；amplitude=0.0247；ret_1d=-0.0094；lower_shadow=0.0034
