signal_date,code,action,ref_price,shares,planned_amount,score,up_probability,down_probability,take_profit_price,stop_loss_price,note
2025-12-31,000425,BUY,11.58,8600,99588.0,0.1518969740351174,0.3730574897724059,0.4766690950764394,12.159,11.2326,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000501,BUY,10.02,9900,99198.0,0.1107247921500593,0.3468977275072765,0.5735491662209221,10.521,9.719399999999998,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000415,BUY,4.05,24600,99630.0,0.1081324181194958,0.3247550712325358,0.5210247504271545,4.2525,3.9284999999999997,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000063,BUY,37.84,2600,98384.00000000001,0.0842901726813645,0.2864897088772049,0.5149123173009659,39.732000000000006,36.7048,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000526,BUY,39.22,2500,98050.0,0.0808585387028953,0.2875135431760032,0.5372600438002672,41.181,38.0434,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000020,BUY,13.87,7200,99864.0,0.0730862324348727,0.2902577555509348,0.5666569952315574,14.5635,13.453899999999999,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000636,BUY,16.28,6100,99308.0,0.0712871651686345,0.2932772965306449,0.5875496295290018,17.094,15.7916,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000100,BUY,4.45,22400,99680.0,0.0541065515189499,0.25905247108259,0.5735505701670279,4.6725,4.3165000000000004,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000002,BUY,4.65,21500,99975.00000000001,0.0424863945431105,0.2322083255255501,0.5377011604794795,4.8825,4.5105,次日按开盘/流动性/涨跌停复核后执行
2025-12-31,000035,BUY,5.52,18100,99911.99999999999,0.0423448938343172,0.2425915931075369,0.5668233323776707,5.795999999999999,5.354399999999999,次日按开盘/流动性/涨跌停复核后执行
