date,code,shares,cost_price,market_price,market_value
2024-07-03,000524,12300,8.118109999999998,8.23,101229.0
2024-07-03,000029,8100,11.051039999999999,11.34,91854.0
2024-07-03,000555,8400,9.579569999999999,9.27,77868.0
2024-07-03,000505,13000,5.605599999999999,5.73,74490.0
2024-07-03,000639,26200,2.5024999999999995,2.5,65500.0
2024-07-04,000029,8100,11.051039999999999,10.92,88452.0
2024-07-04,000505,13000,5.605599999999999,5.48,71240.0
2024-07-04,000555,8900,9.26926,8.81,78409.0
2024-07-04,000633,18000,4.13413,3.97,71460.0
2024-07-04,000425,10500,6.36636,6.45,67725.0
2024-07-04,000070,14000,4.32432,4.13,57820.0
2024-07-04,000407,20900,2.6026,2.52,52668.0
2024-07-05,000029,8100,11.051039999999999,10.83,87723.0
2024-07-05,000425,10500,6.36636,6.46,67830.0
2024-07-05,000567,15500,5.315309999999999,5.35,82925.0
2024-07-05,000555,8400,8.81881,8.87,74508.0
2024-07-05,000014,7300,9.11911,9.25,67525.0
2024-07-05,000543,6800,8.798789999999999,8.65,58820.0
2024-07-05,000657,6000,8.958949999999998,9.02,54120.0
2024-07-08,000425,10500,6.36636,6.4,67200.0
2024-07-08,000555,8400,8.81881,8.64,72576.0
2024-07-08,000543,6800,8.798789999999999,8.86,60247.99999999999
2024-07-08,000029,7100,10.85084,10.59,75189.0
2024-07-08,000338,5300,12.95294,12.52,66356.0
2024-07-08,000567,11600,5.375369999999999,5.12,59392.0
2024-07-08,000620,33200,1.6916899999999997,1.62,53784.0
2024-07-08,000572,18000,2.8027999999999995,2.7,48600.0
2024-07-09,000338,5300,12.95294,13.13,69589.0
2024-07-09,000567,17400,5.12512,5.23,91002.00000000001
2024-07-09,000572,29900,2.69269,2.77,82823.0
2024-07-09,000036,24800,2.9229199999999995,2.93,72664.0
2024-07-09,000065,6900,9.339329999999999,9.53,65757.0
2024-07-09,000555,6700,8.678669999999999,9.0,60300.0
2024-07-10,000338,5300,12.95294,13.03,69059.0
2024-07-10,000567,17400,5.12512,5.14,89436.0
2024-07-10,000036,24800,2.9229199999999995,2.91,72168.0
2024-07-10,000065,6900,9.339329999999999,9.38,64722.00000000001
2024-07-10,000555,6700,8.678669999999999,8.53,57150.99999999999
2024-07-10,000039,7500,8.18818,8.13,60975.00000000001
2024-07-10,000572,19900,2.7727699999999995,2.84,56516.0
2024-07-10,000620,31600,1.57157,1.53,48348.0
2024-07-10,000636,3500,12.642629999999999,13.05,45675.0
2024-07-10,000561,6800,5.905900000000001,5.81,39508.0
2024-07-11,000567,17400,5.12512,5.33,92742.0
2024-07-11,000036,24800,2.9229199999999995,2.99,74152.0
2024-07-11,000065,6900,9.339329999999999,9.57,66033.0
2024-07-11,000039,7500,8.18818,8.3,62250.00000000001
2024-07-11,000620,31600,1.57157,1.56,49296.0
2024-07-11,000561,6800,5.905900000000001,6.0,40800.0
2024-07-11,000069,30300,1.9719699999999998,2.02,61206.0
2024-07-11,000338,4000,13.213199999999997,13.21,52840.0
2024-07-11,000002,7200,6.73673,6.81,49032.0
2024-07-11,000572,15100,2.8828799999999997,2.96,44696.0
2024-07-12,000039,7500,8.18818,8.12,60899.99999999999
2024-07-12,000620,31600,1.57157,1.57,49612.0
2024-07-12,000561,6800,5.905900000000001,5.94,40392.0
2024-07-12,000338,4000,13.213199999999997,13.2,52800.0
2024-07-12,000014,9100,8.59859,8.69,79079.0
2024-07-12,000632,25900,2.7327299999999997,2.76,71484.0
2024-07-12,000036,21200,2.99299,3.09,65508.0
2024-07-12,000593,12000,4.774769999999999,4.76,57120.0
2024-07-12,000029,4800,10.59058,10.64,51072.0
2024-07-15,000014,9100,8.59859,8.39,76349.0
2024-07-15,000036,21200,2.99299,3.03,64235.99999999999
2024-07-15,000029,4800,10.59058,10.38,49824.00000000001
2024-07-15,000505,15400,5.185179999999999,5.11,78694.0
2024-07-15,000058,13200,5.435429999999999,5.23,69036.0
2024-07-15,000545,37200,1.7417399999999998,1.69,62868.0
2024-07-15,000065,6200,9.39939,9.33,57846.0
2024-07-15,000559,12600,4.16416,4.19,52794.00000000001
2024-07-16,000036,21200,2.99299,3.0,63600.0
2024-07-16,000505,15400,5.185179999999999,5.1,78540.0
2024-07-16,000065,6200,9.39939,9.33,57846.0
2024-07-16,000559,12600,4.16416,4.21,53046.0
2024-07-16,000501,11100,6.536529999999999,6.57,72927.0
2024-07-16,000338,4800,13.603589999999999,12.9,61920.0
2024-07-16,000014,7000,8.358349999999998,8.43,59010.0
2024-07-16,000408,2400,21.84182,21.76,52224.00000000001
2024-07-16,000061,9600,4.98498,5.05,48480.0
2024-07-17,000505,15400,5.185179999999999,5.13,79002.0
2024-07-17,000065,6200,9.39939,9.35,57970.0
2024-07-17,000559,12600,4.16416,4.16,52416.0
2024-07-17,000501,11100,6.536529999999999,6.63,73593.0
2024-07-17,000014,7000,8.358349999999998,8.47,59290.00000000001
2024-07-17,000061,9600,4.98498,5.09,48864.0
2024-07-17,000555,7000,8.628619999999998,8.52,59640.0
2024-07-17,000546,13200,4.16416,4.05,53460.0
2024-07-17,000657,5500,8.858849999999999,8.62,47409.99999999999
2024-07-17,000408,2000,21.87185,20.92,41840.0
2024-07-18,000501,11100,6.536529999999999,6.75,74925.0
2024-07-18,000014,7000,8.358349999999998,8.42,58940.0
2024-07-18,000061,9600,4.98498,5.21,50016.0
2024-07-18,000063,2900,27.09707,27.17,78793.0
2024-07-18,000002,10000,7.12712,7.14,71400.0
2024-07-18,000408,3000,20.87085,21.24,63719.99999999999
2024-07-18,000060,13800,4.19419,4.21,58098.0
2024-07-18,000547,8800,5.855849999999999,5.88,51744.0
2024-07-19,000063,2900,27.09707,27.49,79721.0
2024-07-19,000408,3000,20.87085,20.98,62940.0
2024-07-19,000060,13800,4.19419,4.16,57408.0
2024-07-19,000547,8800,5.855849999999999,5.95,52360.0
2024-07-19,000600,14700,4.91491,4.95,72765.0
2024-07-19,000032,4900,13.243229999999999,13.6,66640.0
2024-07-19,000403,2800,20.40038,20.45,57260.0
2024-07-19,000555,6300,8.32832,8.57,53991.0
2024-07-19,000415,17900,2.6526499999999995,2.71,48509.0
2024-07-22,000063,2900,27.09707,27.25,79025.0
2024-07-22,000408,3000,20.87085,20.54,61620.0
2024-07-22,000060,13800,4.19419,4.11,56718.00000000001
2024-07-22,000547,8800,5.855849999999999,6.02,52975.99999999999
2024-07-22,000600,14700,4.91491,4.86,71442.0
2024-07-22,000032,4900,13.243229999999999,13.63,66787.0
2024-07-22,000403,2800,20.40038,20.31,56868.0
2024-07-22,000415,17900,2.6526499999999995,2.67,47793.0
2024-07-22,000070,11200,4.3043,4.44,49728.00000000001
2024-07-22,000555,5000,8.628619999999998,8.68,43400.0
2024-07-23,000600,14700,4.91491,4.77,70119.0
2024-07-23,000032,4900,13.243229999999999,13.22,64778.0
2024-07-23,000415,17900,2.6526499999999995,2.63,47077.0
2024-07-23,000555,5000,8.628619999999998,8.44,42200.0
2024-07-23,000408,3600,20.6206,19.57,70452.0
2024-07-23,000630,21700,3.09309,2.95,64015.00000000001
2024-07-23,000534,6400,9.38938,9.1,58240.0
2024-07-23,000633,14300,3.7837799999999993,3.68,52624.0
2024-07-23,000338,3900,12.48247,12.11,47229.0
2024-07-24,000078,38800,2.4624599999999996,2.56,99328.0
2024-07-24,000630,29200,2.9429399999999992,2.93,85556.0
2024-07-24,000338,6400,12.052039999999998,11.94,76416.0
2024-07-24,000155,7400,9.38938,9.29,68746.0
2024-07-24,000633,17000,3.6936899999999997,3.59,61030.0
2024-07-25,000155,7400,9.38938,9.5,70300.0
2024-07-25,000567,18500,4.774769999999999,4.86,89910.0
2024-07-25,000014,10200,7.8077999999999985,7.93,80886.0
2024-07-25,000100,20100,3.56356,3.63,72963.0
