date,code,side,price,shares,amount,fee,reason
2024-07-03,000524,BUY,8.118109999999998,12300,99852.75299999997,29.955825899999986,signal
2024-07-03,000029,BUY,11.051039999999999,8100,89513.42399999998,26.854027199999994,signal
2024-07-03,000555,BUY,9.579569999999999,8400,80468.38799999999,24.140516399999996,signal
2024-07-03,000505,BUY,5.605599999999999,13000,72872.79999999999,21.861839999999994,signal
2024-07-03,000639,BUY,2.5024999999999995,26200,65565.49999999999,19.669649999999994,signal
2024-07-04,000524,SELL,7.866692133299998,12300,96760.31323958997,125.78840721146696,stop_loss
2024-07-04,000555,SELL,9.282890717099999,8400,77976.28202363999,101.36916663073198,stop_loss
2024-07-04,000639,SELL,2.4249975749999995,26200,63534.936464999984,82.59541740449997,stop_loss
2024-07-04,000555,BUY,9.26926,8900,82496.41399999999,24.748924199999994,signal
2024-07-04,000633,BUY,4.13413,18000,74414.34,22.324301999999996,signal
2024-07-04,000425,BUY,6.366359999999999,10500,66846.78,20.054033999999998,signal
2024-07-04,000070,BUY,4.32432,14000,60540.48,18.162143999999998,signal
2024-07-04,000407,BUY,2.6026,20900,54394.34,16.318302,signal
2024-07-05,000505,SELL,5.431994567999999,13000,70615.92938399999,91.80070819919997,stop_loss
2024-07-05,000555,SELL,8.982191017799998,8900,79941.50005841999,103.92395007594598,stop_loss
2024-07-05,000633,SELL,4.0060959939,18000,72109.7278902,93.74264625725999,stop_loss
2024-07-05,000070,SELL,4.1903958096,14000,58665.5413344,76.26520373471999,stop_loss
2024-07-05,000407,SELL,2.521997478,20900,52709.74729019999,68.52267147725999,stop_loss
2024-07-05,000567,BUY,5.315309999999999,15500,82387.305,24.716191499999997,signal
2024-07-05,000555,BUY,8.81881,8400,74078.00399999999,22.223401199999994,signal
2024-07-05,000014,BUY,9.11911,7300,66569.503,19.9708509,signal
2024-07-05,000543,BUY,8.798789999999999,6800,59831.77199999999,17.949531599999997,signal
2024-07-05,000657,BUY,8.958949999999998,6000,53753.69999999999,16.126109999999997,signal
2024-07-08,000029,SELL,10.708789291199999,8100,86741.19325871998,112.76355123633597,stop_loss
2024-07-08,000567,SELL,5.1506948493,15500,79835.77016415,103.786501213395,stop_loss
2024-07-08,000014,SELL,8.836691163299998,7300,64507.84549208998,83.86019913971697,stop_loss
2024-07-08,000657,SELL,8.681491318499997,6000,52088.94791099998,67.71563228429997,stop_loss
2024-07-08,000029,BUY,10.850839999999998,7100,77040.96399999999,23.112289199999996,signal
2024-07-08,000338,BUY,12.952939999999998,5300,68650.582,20.595174599999996,signal
2024-07-08,000567,BUY,5.375369999999999,11600,62354.291999999994,18.706287599999996,signal
2024-07-08,000620,BUY,1.6916899999999997,33200,56164.10799999999,16.849232399999995,signal
2024-07-08,000572,BUY,2.8027999999999995,18000,50450.399999999994,15.135119999999997,signal
2024-07-09,000425,SELL,6.3936,10500,67132.8,87.27264,hold_days
2024-07-09,000555,SELL,8.5456914543,8400,71783.80821612,93.318950680956,stop_loss
2024-07-09,000543,SELL,9.229490770499998,6800,62760.537239399986,81.58869841121998,take_profit
2024-07-09,000029,SELL,10.514789485199998,7100,74655.00534491999,97.05150694839598,stop_loss
2024-07-09,000567,SELL,5.2088947911,11600,60423.17957676,78.55013344978799,stop_loss
2024-07-09,000620,SELL,1.6392983606999996,33200,54424.70557523998,70.75211724781198,stop_loss
2024-07-09,000572,SELL,2.7159972839999993,18000,48887.95111199999,63.55433644559998,stop_loss
2024-07-09,000567,BUY,5.12512,17400,89177.088,26.7531264,signal
2024-07-09,000572,BUY,2.69269,29900,80511.431,24.153429299999996,signal
2024-07-09,000036,BUY,2.9229199999999995,24800,72488.41599999998,21.746524799999992,signal
2024-07-09,000065,BUY,9.339329999999999,6900,64441.37699999999,19.332413099999997,signal
2024-07-09,000555,BUY,8.678669999999999,6700,58147.08899999999,17.444126699999995,signal
2024-07-10,000572,SELL,2.8244971755,29900,84452.46554745,109.788205211685,take_profit
2024-07-10,000039,BUY,8.18818,7500,61411.34999999999,18.423404999999995,signal
2024-07-10,000572,BUY,2.7727699999999995,19900,55178.12299999999,16.553436899999998,signal
2024-07-10,000620,BUY,1.57157,31600,49661.611999999994,14.898483599999997,signal
2024-07-10,000636,BUY,12.642629999999999,3500,44249.204999999994,13.274761499999997,signal
2024-07-10,000561,BUY,5.9059,6800,40160.12,12.048036,signal
2024-07-11,000338,SELL,13.1868,5300,69890.04,90.85705199999998,hold_days
2024-07-11,000555,SELL,9.103490896499999,6700,60993.38900654999,79.29140570851499,take_profit
2024-07-11,000572,SELL,2.9084970914999992,19900,57879.092120849986,75.24281975710498,take_profit
2024-07-11,000636,SELL,13.261486738499999,3500,46415.203584749994,60.33976466017499,take_profit
2024-07-11,000069,BUY,1.9719699999999998,30300,59750.69099999999,17.925207299999997,signal
2024-07-11,000338,BUY,13.213199999999997,4000,52852.79999999999,15.855839999999995,signal
2024-07-11,000002,BUY,6.73673,7200,48504.456,14.551336799999998,signal
2024-07-11,000572,BUY,2.8828799999999997,15100,43531.488,13.059446399999999,signal
2024-07-12,000567,SELL,5.30469,17400,92301.606,119.9920878,hold_days
2024-07-12,000036,SELL,3.0659969339999993,24800,76036.72396319998,98.84774115215997,take_profit
2024-07-12,000065,SELL,9.47052,6900,65346.588,84.9505644,hold_days
2024-07-12,000069,SELL,2.0684979314999996,30300,62675.48732444999,81.47813352178498,take_profit
2024-07-12,000002,SELL,7.0664929335,7200,50878.7491212,66.14237385756,take_profit
2024-07-12,000572,SELL,3.023996976,15100,45662.354337599994,59.36106063887999,take_profit
2024-07-12,000014,BUY,8.59859,9100,78247.169,23.474150699999996,signal
2024-07-12,000632,BUY,2.7327299999999997,25900,70777.707,21.233312099999996,signal
2024-07-12,000036,BUY,2.99299,21200,63451.388,19.0354164,signal
2024-07-12,000593,BUY,4.774769999999999,12000,57297.23999999999,17.189171999999996,signal
2024-07-12,000029,BUY,10.59058,4800,50834.784,15.250435199999998,signal
2024-07-15,000039,SELL,8.40159,7500,63011.925,81.9155025,hold_days
2024-07-15,000620,SELL,1.6484983515,31600,52092.5479074,67.72031227962,take_profit
2024-07-15,000561,SELL,5.934060000000001,6800,40351.608,52.4570904,hold_days
2024-07-15,000338,SELL,13.859986139999997,4000,55439.94455999999,72.07192792799998,take_profit
2024-07-15,000632,SELL,2.6480973518999993,25900,68585.72141420998,89.16143783847298,stop_loss
2024-07-15,000593,SELL,4.626895373099999,12000,55522.74447719999,72.17956782035998,stop_loss
2024-07-15,000505,BUY,5.185179999999999,15400,79851.77199999998,23.955531599999993,signal
2024-07-15,000058,BUY,5.435429999999999,13200,71747.67599999999,21.524302799999997,signal
2024-07-15,000545,BUY,1.7417399999999998,37200,64792.727999999996,19.437818399999998,signal
2024-07-15,000065,BUY,9.39939,6200,58276.218,17.482865399999998,signal
2024-07-15,000559,BUY,4.16416,12600,52468.416,15.740524799999998,signal
2024-07-16,000014,SELL,8.3322916677,9100,75823.85417607,98.571010428891,stop_loss
2024-07-16,000029,SELL,10.262589737399999,4800,49260.430739519994,64.038559961376,stop_loss
2024-07-16,000058,SELL,5.2670947328999995,13200,69525.65047427999,90.38334561656399,stop_loss
2024-07-16,000545,SELL,1.6877983121999998,37200,62786.09721383999,81.62192637799198,stop_loss
2024-07-16,000501,BUY,6.53653,11100,72555.483,21.766644899999996,signal
2024-07-16,000338,BUY,13.603589999999999,4800,65297.231999999996,19.589169599999998,signal
2024-07-16,000014,BUY,8.358349999999998,7000,58508.44999999998,17.552534999999992,signal
2024-07-16,000408,BUY,21.84182,2400,52420.367999999995,15.726110399999998,signal
2024-07-16,000061,BUY,4.98498,9600,47855.808000000005,14.3567424,signal
2024-07-17,000036,SELL,2.997,21200,63536.399999999994,82.59731999999998,hold_days
2024-07-17,000338,SELL,13.182286817699998,4800,63274.97672495999,82.25746974244798,stop_loss
2024-07-17,000408,SELL,21.1653788346,2400,50796.90920304,66.035981963952,stop_loss
2024-07-17,000555,BUY,8.628619999999998,7000,60400.33999999999,18.120101999999996,signal
2024-07-17,000546,BUY,4.16416,13200,54966.912,16.4900736,signal
2024-07-17,000657,BUY,8.858849999999999,5500,48723.674999999996,14.617102499999998,signal
2024-07-17,000408,BUY,21.87185,2000,43743.7,13.123109999999999,signal
2024-07-18,000505,SELL,5.024594975399999,15400,77378.76262115999,100.59239140750798,stop_loss
2024-07-18,000065,SELL,9.360629999999999,6200,58035.905999999995,75.44667779999999,hold_days
2024-07-18,000559,SELL,4.14585,12600,52237.71000000001,67.909023,hold_days
2024-07-18,000555,SELL,8.361391638599999,7000,58529.741470199995,76.08866391125999,stop_loss
2024-07-18,000546,SELL,4.0351959648,13200,53264.58673536,69.243962755968,stop_loss
2024-07-18,000657,SELL,8.584491415499999,5500,47214.702785249996,61.379113620824995,stop_loss
2024-07-18,000408,SELL,21.194478805499998,2000,42388.957611,55.10564489429999,stop_loss
