code,date,risk_tags
000547,2025-12-31,高波动、下跌概率高、综合分偏低
000070,2025-12-31,高波动、综合分偏低
000593,2025-12-31,高波动、下跌概率高、综合分偏低
000048,2025-12-31,下跌概率高、综合分偏低
000566,2025-12-31,高波动、综合分偏低
000532,2025-12-31,高波动、下跌概率高、综合分偏低
000523,2025-12-31,高波动、综合分偏低
000036,2025-12-31,高波动、下跌概率高、综合分偏低
000572,2025-12-31,高波动、综合分偏低
000078,2025-12-31,高波动、下跌概率高、综合分偏低
000633,2025-12-31,高波动、下跌概率高、综合分偏低
000620,2025-12-31,高波动、综合分偏低
000657,2025-12-31,高波动、下跌概率高、综合分偏低
000632,2025-12-31,高波动、下跌概率高、综合分偏低
000417,2025-12-31,高波动、下跌概率高、综合分偏低
000663,2025-12-31,高波动、下跌概率高、综合分偏低
000017,2025-12-31,高波动、综合分偏低
000510,2025-12-31,高波动、下跌概率高、综合分偏低
000546,2025-12-31,高波动、下跌概率高、综合分偏低
000592,2025-12-31,高波动、下跌概率高、综合分偏低
000561,2025-12-31,高波动、综合分偏低
000530,2025-12-31,高波动、下跌概率高、综合分偏低
000407,2025-12-31,高波动、综合分偏低
000603,2025-12-31,高波动、下跌概率高、综合分偏低
000639,2025-12-31,高波动、下跌概率高、综合分偏低
000411,2025-12-31,高波动、下跌概率高、综合分偏低
000533,2025-12-31,高波动、综合分偏低
000426,2025-12-31,高波动、下跌概率高、综合分偏低
000534,2025-12-31,高波动、下跌概率高、综合分偏低
000609,2025-12-31,高波动、下跌概率高、综合分偏低
000559,2025-12-31,高波动、下跌概率高、综合分偏低
000506,2025-12-31,高波动、综合分偏低
000505,2025-12-31,高波动、下跌概率高、综合分偏低
000551,2025-12-31,高波动、下跌概率高、综合分偏低
000659,2025-12-31,高波动、下跌概率高、综合分偏低
000571,2025-12-31,高波动、综合分偏低
000536,2025-12-31,高波动、综合分偏低
