date,cash,market_value,equity,positions
2023-01-03,1000000.0,0.0,1000000.0,0
2023-01-04,1000000.0,0.0,1000000.0,0
2023-01-05,592812.2213023,408579.0,1001391.2213023,5
2023-01-06,433279.04970449995,568769.0,1002048.0497045,8
2023-01-09,353269.47595911374,658134.0,1011403.4759591138,10
2023-01-10,365781.2392206613,644596.0,1010377.2392206613,10
2023-01-11,365781.2392206613,639797.0,1005578.2392206613,10
2023-01-12,459882.22612826154,544746.0,1004628.2261282615,10
2023-01-13,461294.3014194616,549882.0,1011176.3014194616,10
2023-01-16,419963.60197075346,612300.0,1032263.6019707534,10
2023-01-17,444885.6024690685,590974.0,1035859.6024690685,10
2023-01-18,476814.45021586446,566097.0,1042911.4502158645,10
2023-01-19,488538.9994599591,566199.0,1054737.999459959,10
2023-01-20,487440.33780270524,576452.0,1063892.3378027054,10
2023-01-30,478390.7081132433,596700.0,1075090.7081132433,10
2023-01-31,478703.2233572442,553098.0,1031801.2233572442,10
2023-02-01,498915.8514147318,601349.0,1100264.8514147317,10
2023-02-02,482374.6956215278,626897.0,1109271.6956215277,10
2023-02-03,503770.8739351316,602438.0,1106208.8739351316,10
2023-02-06,500182.1720547469,600521.0,1100703.172054747,10
2023-02-07,495151.45391010476,614842.0,1109993.4539101047,10
2023-02-08,526316.7079313061,591444.0,1117760.7079313062,10
2023-02-09,502316.5905002027,626353.0,1128669.5905002027,10
2023-02-10,509331.59313263476,620969.0,1130300.5931326346,10
2023-02-13,519659.74159238563,622264.0,1141923.7415923856,10
2023-02-14,502074.53797941725,639555.0,1141629.5379794172,10
2023-02-15,498551.70887054823,645195.0,1143746.7088705483,10
2023-02-16,516183.3591231194,604498.0,1120681.3591231194,10
2023-02-17,482407.2434541376,633147.0,1115554.2434541376,10
2023-02-20,484723.77458433766,637556.0,1122279.7745843376,10
2023-02-21,487254.47136953776,639356.0,1126610.4713695378,10
2023-02-22,487254.47136953776,644680.0,1131934.4713695378,10
2023-02-23,504274.31974692707,632033.400284,1136307.720030927,10
2023-02-24,483591.98202786106,664434.10038,1148026.082407861,10
2023-02-27,483591.98202786106,651803.781552,1135395.763579861,10
2023-02-28,495112.4860789571,652712.481648,1147824.967726957,10
2023-03-01,495112.4860789571,654599.594232,1149712.080310957,10
2023-03-02,500065.1725411959,657065.0,1157130.172541196,10
2023-03-03,537541.2725944364,620795.77344,1158337.0460344364,9
2023-03-06,537541.2725944364,625932.491328,1163473.7639224364,9
2023-03-07,486754.8665342581,654499.020288,1141253.8868222581,10
2023-03-08,496513.18515121494,650483.938432,1146997.1235832148,10
2023-03-09,559108.9218309096,581822.855936,1140931.7777669095,9
2023-03-10,512911.4802449522,618501.50816,1131412.9884049522,10
2023-03-13,509117.048826099,631697.5964800001,1140814.6453060992,10
2023-03-14,577759.720361717,585604.56704,1163364.2874017172,8
2023-03-15,467008.1157113704,691504.90512,1158513.0208313705,10
2023-03-16,479810.51593766146,663877.0,1143687.5159376615,10
2023-03-17,483616.9218020615,664540.0,1148156.9218020616,10
2023-03-20,494223.5033844561,656943.200316,1151166.703700456,10
2023-03-21,528744.0598274561,625954.41044,1154698.470267456,10
2023-03-22,510336.62783285615,649577.687048,1159914.3148808563,10
2023-03-23,512077.3038027591,656191.60196,1168268.905762759,10
2023-03-24,521946.3004607795,659425.897172,1181372.1976327796,10
2023-03-27,678721.3614592403,501805.94908,1180527.3105392403,6
2023-03-28,744614.3383789903,432321.79266000004,1176936.1310389903,5
2023-03-29,441720.9976289904,727708.63624,1169429.6338689905,10
2023-03-30,521396.4461092965,646065.0,1167461.4461092965,10
2023-03-31,525991.2949918205,667340.0,1193331.2949918206,10
2023-04-03,541655.9327429299,659999.0,1201654.93274293,10
2023-04-04,570223.6584899604,633615.0,1203838.6584899602,10
2023-04-06,518824.03900607536,692731.0,1211555.0390060754,10
2023-04-07,526109.2445896753,687916.0,1214025.2445896752,10
2023-04-10,526109.2445896753,675369.0,1201478.2445896752,10
2023-04-11,534242.3628643035,682869.0,1217111.3628643034,10
2023-04-12,550210.3412392742,668943.0,1219153.3412392742,10
2023-04-13,734600.3473661741,484436.0,1219036.3473661742,7
2023-04-14,568386.5624447078,666456.0,1234842.5624447078,9
2023-04-17,512145.5271943079,723879.0,1236024.527194308,10
2023-04-18,539136.6290462419,704164.0,1243300.6290462418,10
2023-04-19,602745.0722510419,637476.0,1240221.072251042,9
2023-04-20,617906.5628902416,617746.0,1235652.5628902416,9
2023-04-21,669080.268886823,554987.0,1224067.268886823,8
2023-04-24,595455.2926656031,625285.0,1220740.292665603,8
2023-04-25,483528.4096660498,719812.0,1203340.4096660498,10
2023-04-26,491043.1544750212,727375.0,1218418.1544750212,10
2023-04-27,522432.29906357295,706497.0,1228929.299063573,10
2023-04-28,534718.497733973,706912.0,1241630.497733973,10
2023-05-04,594066.9674172885,669811.129996,1263878.0974132884,9
2023-05-05,517423.45448102173,748848.0736380001,1266271.5281190218,10
2023-05-08,517423.45448102173,737244.054852,1254667.5093330217,10
2023-05-09,512845.9566951242,732642.885778,1245488.8424731242,10
2023-05-10,514670.49390710174,734207.979708,1248878.4736151018,10
2023-05-11,605000.7610300304,644955.0,1249955.7610300304,9
2023-05-12,573897.5535519343,681181.0,1255078.5535519342,9
2023-05-15,516719.3012207343,738550.0,1255269.3012207344,10
2023-05-16,532045.3421622189,711951.0,1243996.3421622189,10
2023-05-17,536200.0309283568,712421.0,1248621.0309283568,10
2023-05-18,538895.1414330156,727562.0,1266457.1414330155,10
2023-05-19,555914.5914906189,715587.5432879999,1271502.1347786188,10
2023-05-22,555914.5914906189,719414.86265,1275329.454140619,10
2023-05-23,555914.5914906189,712318.58086,1268233.172350619,10
2023-05-24,554713.5434198191,711262.787506,1265976.330925819,10
2023-05-25,531119.97642036,729634.637218,1260754.61363836,10
2023-05-26,584798.6142749602,683602.603136,1268401.2174109602,9
2023-05-29,536543.2921950202,747159.455552,1283702.7477470203,10
2023-05-30,569650.3940528954,734526.140032,1304176.5340848954,10
