date,code,shares,cost_price,market_price,market_value
2023-01-05,000534,6900,14.294279999999997,14.35,99015.0
2023-01-05,000546,7300,12.18217,12.37,90301.0
2023-01-05,000657,6900,11.75174,11.87,81903.0
2023-01-05,000510,12000,6.04604,6.01,72120.0
2023-01-05,000571,28000,2.35235,2.33,65240.0
2023-01-06,000534,6900,14.294279999999997,14.49,99981.0
2023-01-06,000546,7300,12.18217,12.51,91323.0
2023-01-06,000657,6900,11.75174,12.01,82869.0
2023-01-06,000510,12000,6.04604,6.06,72720.0
2023-01-06,000571,28000,2.35235,2.36,66080.0
2023-01-06,000603,4700,12.442429999999998,12.51,58797.0
2023-01-06,000417,11100,4.79479,4.53,50283.0
2023-01-06,000639,10200,4.684679999999999,4.58,46716.0
2023-01-09,000534,6900,14.294279999999997,14.25,98325.0
2023-01-09,000546,7300,12.18217,12.5,91250.0
2023-01-09,000657,6900,11.75174,12.13,83697.0
2023-01-09,000510,12000,6.04604,6.21,74520.0
2023-01-09,000571,28000,2.35235,2.41,67480.0
2023-01-09,000603,4700,12.442429999999998,13.46,63262.00000000001
2023-01-09,000639,10200,4.684679999999999,4.71,48042.0
2023-01-09,000532,4500,10.74073,10.82,48690.0
2023-01-09,000632,9400,4.604599999999999,4.62,43428.0
2023-01-09,000417,8500,4.564559999999999,4.64,39440.0
2023-01-10,000534,6900,14.294279999999997,14.1,97290.0
2023-01-10,000546,7300,12.18217,12.48,91104.0
2023-01-10,000657,6900,11.75174,11.88,81972.0
2023-01-10,000510,12000,6.04604,6.23,74760.0
2023-01-10,000571,28000,2.35235,2.39,66920.0
2023-01-10,000603,4700,12.442429999999998,13.31,62557.0
2023-01-10,000639,10200,4.684679999999999,4.75,48450.0
2023-01-10,000632,9400,4.604599999999999,4.55,42770.0
2023-01-10,000417,8500,4.564559999999999,4.65,39525.0
2023-01-10,000561,4400,9.209199999999997,8.92,39248.0
2023-01-11,000534,6900,14.294279999999997,14.14,97566.0
2023-01-11,000546,7300,12.18217,12.26,89498.0
