date,code,side,price,shares,amount,fee,reason
2023-01-05,000534,BUY,14.294279999999997,6900,98630.53199999998,29.58915959999999,signal
2023-01-05,000546,BUY,12.18217,7300,88929.841,26.6789523,signal
2023-01-05,000657,BUY,11.751739999999998,6900,81087.006,24.326101799999996,signal
2023-01-05,000510,BUY,6.04604,12000,72552.48,21.765743999999998,signal
2023-01-05,000571,BUY,2.35235,28000,65865.8,19.75974,signal
2023-01-06,000603,BUY,12.442429999999998,4700,58479.42099999999,17.543826299999996,signal
2023-01-06,000417,BUY,4.79479,11100,53222.169,15.966650699999999,signal
2023-01-06,000639,BUY,4.684679999999999,10200,47783.73599999999,14.335120799999995,signal
2023-01-09,000417,SELL,4.5504954495000005,11100,50510.499489450005,65.663649336285,stop_loss
2023-01-09,000532,BUY,10.74073,4500,48333.284999999996,14.499985499999998,signal
2023-01-09,000632,BUY,4.604599999999999,9400,43283.23999999999,12.984971999999996,signal
2023-01-09,000417,BUY,4.564559999999999,8500,38798.759999999995,11.639627999999997,signal
2023-01-10,000532,SELL,11.802988197,4500,53113.446886499994,69.04748095244999,take_profit
2023-01-10,000561,BUY,9.209199999999997,4400,40520.47999999999,12.156143999999996,signal
2023-01-12,000534,SELL,14.185799999999999,6900,97882.01999999999,127.24662599999998,hold_days
2023-01-12,000546,SELL,12.297690000000001,7300,89773.137,116.7050781,hold_days
2023-01-12,000657,SELL,11.59839,6900,80028.891,104.0375583,hold_days
2023-01-12,000510,SELL,6.24375,12000,74925.0,97.40249999999999,hold_days
2023-01-12,000571,SELL,2.38761,28000,66853.08,86.909004,hold_days
2023-01-12,000533,BUY,3.8638599999999994,20000,77277.19999999998,23.183159999999994,signal
2023-01-12,000609,BUY,6.4064,10800,69189.12,20.756735999999997,signal
2023-01-12,000534,BUY,14.214199999999998,4400,62542.47999999999,18.762743999999994,signal
2023-01-12,000532,BUY,11.24123,5000,56206.15,16.861845,signal
2023-01-12,000048,BUY,16.506489999999996,3000,49519.46999999999,14.855840999999995,signal
2023-01-13,000603,SELL,12.987,4700,61038.9,79.35057,hold_days
2023-01-13,000639,SELL,4.74525,10200,48401.55,62.922015,hold_days
2023-01-13,000620,BUY,3.1231199999999997,18200,56840.78399999999,17.052235199999995,signal
2023-01-13,000510,BUY,6.146139999999999,8300,51012.96199999999,15.303888599999997,signal
2023-01-16,000632,SELL,4.80519,9400,45168.786,58.7194218,hold_days
2023-01-16,000417,SELL,4.47552,8500,38041.920000000006,49.454496000000006,hold_days
2023-01-16,000561,SELL,10.119989879999999,4400,44527.955471999994,57.88634211359999,take_profit
2023-01-16,000609,SELL,6.079993919999999,10800,65663.93433599999,85.36311463679998,stop_loss
2023-01-16,000048,SELL,18.138981860999998,3000,54416.94558299999,70.74202925789999,take_profit
2023-01-16,000561,BUY,9.5095,7400,70370.29999999999,21.111089999999994,signal
2023-01-16,000551,BUY,7.277269999999999,8700,63312.24899999999,18.993674699999996,signal
2023-01-16,000657,BUY,11.48147,5000,57407.35,17.222205,signal
2023-01-16,000639,BUY,4.854849999999999,10600,51461.40999999999,15.438422999999995,signal
2023-01-16,000417,BUY,4.48448,10300,46190.14399999999,13.857043199999996,signal
2023-01-17,000561,SELL,10.44998955,7400,77329.92267,100.52889947099999,take_profit
2023-01-17,000417,SELL,4.927995072,10300,50758.3492416,65.98585401408,take_profit
2023-01-17,000411,BUY,11.07106,4900,54248.193999999996,16.274458199999998,signal
2023-01-17,000561,BUY,10.150139999999999,4800,48720.67199999999,14.616201599999997,signal
2023-01-18,000533,SELL,4.245995754,20000,84919.91508,110.395889604,take_profit
2023-01-18,000506,BUY,3.2432399999999997,16300,52864.812,15.859443599999999,signal
2023-01-19,000534,SELL,14.605379999999998,4400,64263.67199999999,83.54277359999999,hold_days
2023-01-19,000532,SELL,12.352987647,5000,61764.938235,80.2944197055,take_profit
2023-01-19,000534,BUY,14.634619999999998,4100,60001.941999999995,18.000582599999998,signal
2023-01-19,000532,BUY,11.76175,4600,54104.049999999996,16.231215,signal
2023-01-20,000620,SELL,3.05694,18200,55636.308,72.3272004,hold_days
2023-01-20,000510,SELL,6.50349,8300,53978.967000000004,70.17265710000001,hold_days
2023-01-20,000551,SELL,7.996992003,8700,69573.8304261,90.44597955393,take_profit
2023-01-20,000417,BUY,4.7047,14100,66336.27,19.900881,signal
2023-01-20,000070,BUY,7.177169999999999,8300,59570.51099999999,17.871153299999996,signal
2023-01-20,000603,BUY,13.523509999999998,4000,54094.03999999999,16.228211999999996,signal
2023-01-30,000657,SELL,12.257729999999999,5000,61288.649999999994,79.67524499999999,hold_days
2023-01-30,000639,SELL,5.07492,10600,53794.151999999995,69.93239759999999,hold_days
2023-01-30,000506,SELL,3.563996436,16300,58093.1419068,75.52108447884,take_profit
2023-01-30,000534,SELL,16.081983918,4100,65936.1340638,85.71697428293999,take_profit
