date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code,isST
2023-01-04,153.0,8.34,8.34,8.34,8.34,85951.0,104860220.0,0.0,-10.42,-0.97,2.76,000153,
2023-01-05,153.0,7.47,7.46,7.76,7.46,493121.0,547330094.12,3.6,-10.55,-0.88,15.81,000153,
2023-01-06,153.0,7.36,7.28,7.43,7.21,330539.0,354913695.53,2.95,-2.41,-0.18,10.59,000153,
2023-01-09,153.0,7.26,7.2,7.29,7.11,243863.0,258309075.98,2.47,-1.1,-0.08,7.82,000153,
2023-01-10,153.0,7.16,7.01,7.16,6.96,231518.0,240391999.99,2.78,-2.64,-0.19,7.42,000153,
2023-01-11,153.0,6.96,6.93,7.1,6.91,182171.0,188080446.03,2.71,-1.14,-0.08,5.84,000153,
2023-01-12,153.0,6.91,6.82,6.96,6.81,150194.0,152414007.0,2.16,-1.59,-0.11,4.81,000153,
2023-01-13,153.0,6.83,6.84,6.87,6.78,116116.0,117053181.84,1.32,0.29,0.02,3.72,000153,
2023-01-16,153.0,6.81,6.85,6.92,6.77,130629.0,132619846.34,2.19,0.15,0.01,4.19,000153,
2023-01-17,153.0,6.85,6.76,6.88,6.75,121671.0,122211233.44,1.9,-1.31,-0.09,3.9,000153,
2023-01-18,153.0,6.76,6.71,6.79,6.7,92167.0,91741258.0,1.33,-0.74,-0.05,2.95,000153,
2023-01-19,153.0,6.7,6.74,6.79,6.69,83202.0,82928941.0,1.49,0.45,0.03,2.67,000153,
2023-01-20,153.0,6.76,6.86,6.86,6.75,107687.0,108556086.13,1.63,1.78,0.12,3.45,000153,
2023-01-30,153.0,6.89,6.88,6.9,6.82,114103.0,115623712.0,1.17,0.29,0.02,3.66,000153,
2023-01-31,153.0,6.86,6.89,6.9,6.69,131025.0,132129298.62,3.05,0.15,0.01,4.2,000153,
2023-02-01,153.0,6.89,6.99,6.99,6.86,127169.0,130195947.49,1.89,1.45,0.1,4.08,000153,
2023-02-02,153.0,6.99,7.01,7.03,6.94,107664.0,111086865.8,1.29,0.29,0.02,3.45,000153,
2023-02-03,153.0,7.01,6.88,7.02,6.81,126818.0,128791200.9,3.0,-1.85,-0.13,4.06,000153,
2023-02-06,153.0,6.84,6.82,6.89,6.81,75354.0,76215568.0,1.16,-0.87,-0.06,2.42,000153,
2023-02-07,153.0,6.82,6.8,6.84,6.76,83606.0,83961200.0,1.17,-0.29,-0.02,2.68,000153,
2023-02-08,153.0,6.8,6.79,6.84,6.79,61715.0,62100864.0,0.74,-0.15,-0.01,1.98,000153,
2023-02-09,153.0,6.76,6.82,6.85,6.72,91747.0,92134265.0,1.91,0.44,0.03,2.94,000153,
2023-02-10,153.0,6.84,6.81,6.93,6.79,127346.0,128788629.0,2.05,-0.15,-0.01,4.08,000153,
2023-02-13,153.0,6.8,7.03,7.03,6.78,200259.0,205589386.3,3.67,3.23,0.22,6.42,000153,
2023-02-14,153.0,7.04,7.03,7.06,6.93,118396.0,122031095.53,1.85,0.0,0.0,3.8,000153,
2023-02-15,153.0,7.03,6.96,7.06,6.94,107031.0,110358287.5,1.71,-1.0,-0.07,3.43,000153,
2023-02-16,153.0,6.96,6.9,7.16,6.84,263792.0,273992160.9,4.6,-0.86,-0.06,8.46,000153,
2023-02-17,153.0,6.92,7.18,7.24,6.85,340895.0,356972937.92,5.65,4.06,0.28,10.93,000153,
2023-02-20,153.0,7.26,7.08,7.3,6.93,269733.0,279847154.0,5.15,-1.39,-0.1,8.65,000153,
2023-02-21,153.0,7.05,7.11,7.19,7.01,167168.0,174385716.74,2.54,0.42,0.03,5.36,000153,
2023-02-22,153.0,7.06,7.13,7.22,7.01,175144.0,184327621.0,2.95,0.28,0.02,5.61,000153,
2023-02-23,153.0,7.12,6.99,7.12,6.96,149097.0,154459698.5,2.24,-1.96,-0.14,4.78,000153,
2023-02-24,153.0,7.0,6.98,7.02,6.95,70422.0,72572590.3,1.0,-0.14,-0.01,2.26,000153,
2023-02-27,153.0,6.96,6.91,7.05,6.89,87891.0,90298005.0,2.29,-1.0,-0.07,2.82,000153,
2023-02-28,153.0,6.93,7.19,7.19,6.91,255301.0,266957389.1,4.05,4.05,0.28,8.18,000153,
2023-03-01,153.0,7.2,7.12,7.23,7.06,135294.0,141947455.0,2.36,-0.97,-0.07,4.34,000153,
2023-03-02,153.0,7.12,6.96,7.12,6.94,169655.0,174983649.64,2.53,-2.25,-0.16,5.44,000153,
2023-03-03,153.0,6.95,6.98,7.02,6.91,89150.0,91541663.6,1.58,0.29,0.02,2.86,000153,
2023-03-06,153.0,6.99,6.94,6.99,6.92,68746.0,70458538.0,1.0,-0.57,-0.04,2.2,000153,
2023-03-07,153.0,6.94,6.76,6.96,6.76,113225.0,114496918.0,2.88,-2.59,-0.18,3.63,000153,
2023-03-08,153.0,6.75,6.75,6.79,6.7,64029.0,63814771.93,1.33,-0.15,-0.01,2.05,000153,
2023-03-09,153.0,6.76,6.79,6.84,6.74,53971.0,54181312.0,1.48,0.59,0.04,1.73,000153,
2023-03-10,153.0,6.75,6.55,6.76,6.54,98758.0,96610106.0,3.24,-3.53,-0.24,3.17,000153,
2023-03-13,153.0,6.49,6.56,6.57,6.49,55911.0,54094126.6,1.22,0.15,0.01,1.79,000153,
2023-03-14,153.0,6.56,6.4,6.63,6.34,88695.0,85075964.8,4.42,-2.44,-0.16,2.84,000153,
2023-03-15,153.0,6.42,6.65,6.71,6.42,123743.0,121366702.5,4.53,3.91,0.25,3.97,000153,
2023-03-16,153.0,6.69,6.53,6.71,6.52,82211.0,80378037.0,2.86,-1.8,-0.12,2.64,000153,
2023-03-17,153.0,6.57,6.59,6.62,6.51,71304.0,69225777.74,1.68,0.92,0.06,2.29,000153,
2023-03-20,153.0,6.59,6.39,6.59,6.38,80853.0,77117388.0,3.19,-3.03,-0.2,2.59,000153,
2023-03-21,153.0,6.4,6.51,6.51,6.4,54845.0,52457157.0,1.72,1.88,0.12,1.76,000153,
2023-03-22,153.0,6.54,6.59,6.66,6.51,65685.0,64196259.65,2.3,1.23,0.08,2.11,000153,
2023-03-23,153.0,6.59,6.5,6.59,6.46,62614.0,60261392.0,1.97,-1.37,-0.09,2.01,000153,
2023-03-24,153.0,6.5,6.46,6.59,6.42,55836.0,53519115.0,2.62,-0.62,-0.04,1.79,000153,
2023-03-27,153.0,6.45,6.41,6.46,6.38,48604.0,46140783.12,1.24,-0.77,-0.05,1.56,000153,
2023-03-28,153.0,6.41,6.44,6.49,6.38,49202.0,46951130.32,1.72,0.47,0.03,1.58,000153,
2023-03-29,153.0,6.44,6.31,6.44,6.29,54578.0,51321153.0,2.33,-2.02,-0.13,1.75,000153,
2023-03-30,153.0,6.31,6.27,6.33,6.23,48190.0,44883723.0,1.58,-0.63,-0.04,1.54,000153,
2023-03-31,153.0,6.27,6.41,6.44,6.27,66579.0,63107534.78,2.71,2.23,0.14,2.13,000153,
2023-04-03,153.0,6.44,6.36,6.48,6.32,52200.0,49321622.0,2.5,-0.78,-0.05,1.67,000153,
2023-04-04,153.0,6.35,6.32,6.39,6.29,39757.0,37349385.05,1.57,-0.63,-0.04,1.27,000153,
2023-04-06,153.0,6.32,6.37,6.41,6.29,46294.0,43743228.95,1.9,0.79,0.05,1.48,000153,
2023-04-07,153.0,6.35,6.41,6.44,6.34,44128.0,41962290.0,1.57,0.63,0.04,1.41,000153,
2023-04-10,153.0,6.41,6.29,6.46,6.27,74309.0,69949906.0,2.96,-1.87,-0.12,2.38,000153,
2023-04-11,153.0,6.28,6.31,6.33,6.24,51863.0,48410511.77,1.43,0.32,0.02,1.66,000153,
2023-04-12,153.0,6.3,6.37,6.43,6.28,59153.0,55864321.45,2.38,0.95,0.06,1.9,000153,
2023-04-13,153.0,6.35,6.46,6.48,6.26,82349.0,78401956.0,3.45,1.41,0.09,2.64,000153,
2023-04-14,153.0,6.44,6.46,6.57,6.41,59598.0,57120885.0,2.48,0.0,0.0,1.91,000153,
2023-04-17,153.0,6.44,6.52,6.52,6.41,45681.0,43860256.2,1.7,0.93,0.06,1.46,000153,
2023-04-18,153.0,6.53,6.45,6.53,6.43,39277.0,37636827.0,1.53,-1.07,-0.07,1.26,000153,
