date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2023-01-03,000566,4.28,4.4,4.28,4.36,14176404,61687927.4,1.2165,2.1077,0
2023-01-04,000566,4.36,4.37,4.28,4.33,14264012,61647699.32,1.224,-0.6881,0
2023-01-05,000566,4.34,4.34,4.24,4.29,12127097,52021407.76,1.0406,-0.9238,0
2023-01-06,000566,4.3,4.3,4.2,4.23,14352335,60782049.69,1.2315,-1.3986,0
2023-01-09,000566,4.23,4.26,4.21,4.21,11902101,50424525.21,1.0213,-0.4728,0
2023-01-10,000566,4.21,4.25,4.19,4.23,11128975,46953182.5,0.955,0.4751,0
2023-01-11,000566,4.23,4.28,4.19,4.21,12399954,52601345.8,1.064,-0.4728,0
2023-01-12,000566,4.22,4.22,4.15,4.19,10566302,44253400.54,0.9067,-0.4751,0
2023-01-13,000566,4.2,4.25,4.2,4.24,6457865,27303717.93,0.5541,1.1933,0
2023-01-16,000566,4.25,4.32,4.21,4.31,12926575,55431901.5,1.1092,1.6509,0
2023-01-17,000566,4.29,4.31,4.21,4.24,9063600,38521089.0,0.7777,-1.6241,0
2023-01-18,000566,4.25,4.29,4.23,4.28,7014212,29928610.47,0.6019,0.9434,0
2023-01-19,000566,4.26,4.32,4.23,4.31,7465231,32032547.3,0.6406,0.7009,0
2023-01-20,000566,4.32,4.35,4.29,4.35,9582700,41437003.0,0.8223,0.9281,0
2023-01-30,000566,4.36,4.42,4.33,4.35,10158489,44227495.77,0.8717,0.0,0
2023-01-31,000566,4.36,4.46,4.35,4.45,21245603,93702853.79,1.823,2.2989,0
2023-02-01,000566,4.44,4.48,4.4,4.47,10910422,48481209.48,0.9362,0.4494,0
2023-02-02,000566,4.47,4.56,4.45,4.52,13936546,62954536.46,1.1959,1.1186,0
2023-02-03,000566,4.53,4.59,4.47,4.51,13278462,60042322.62,1.1394,-0.2212,0
2023-02-06,000566,4.51,4.58,4.49,4.56,13824420,62893281.2,1.1862,1.1086,0
2023-02-07,000566,4.55,4.58,4.46,4.49,13982704,62977477.96,1.1998,-1.5351,0
2023-02-08,000566,4.5,4.53,4.47,4.48,9073200,40756576.0,0.7786,-0.2227,0
2023-02-09,000566,4.48,4.53,4.46,4.52,10498000,47167198.0,0.9008,0.8929,0
2023-02-10,000566,4.52,4.59,4.49,4.56,11720856,53399913.26,1.0057,0.885,0
2023-02-13,000566,4.57,4.65,4.56,4.62,11649036,53782044.6,0.9996,1.3158,0
