date,股票代码,open,close,high,low,volume,amount,振幅,pct_chg,涨跌额,turnover_rate,code
2023-01-03,000617,5.13,5.28,5.31,5.09,1029441,584549555.4,4.3,3.13,0.16,0.81,000617
2023-01-04,000617,5.28,5.21,5.33,5.17,1021586,580162126.51,3.03,-1.33,-0.07,0.81,000617
2023-01-05,000617,5.22,5.25,5.39,5.2,1363917,781246535.21,3.65,0.77,0.04,1.08,000617
2023-01-06,000617,5.25,5.23,5.42,5.22,1163086,667029568.02,3.81,-0.38,-0.02,0.92,000617
2023-01-09,000617,5.23,5.21,5.29,5.15,893750,505790614.14,2.68,-0.38,-0.02,0.71,000617
2023-01-10,000617,5.2,5.14,5.21,5.11,761022,425795075.68,1.92,-1.34,-0.07,0.6,000617
2023-01-11,000617,5.1,5.11,5.21,5.09,600249,335861882.05,2.33,-0.58,-0.03,0.47,000617
2023-01-12,000617,5.14,5.18,5.26,5.06,982224,550904134.05,3.91,1.37,0.07,0.78,000617
2023-01-13,000617,5.14,5.35,5.43,5.1,1622288,928205218.84,6.37,3.28,0.17,1.28,000617
2023-01-16,000617,5.35,5.31,5.46,5.26,1644744,952281128.34,3.74,-0.75,-0.04,1.3,000617
2023-01-17,000617,5.29,5.18,5.29,5.14,934708,529129949.7,2.82,-2.45,-0.13,0.74,000617
2023-01-18,000617,5.19,5.63,5.74,5.18,3213147,1931155808.25,10.81,8.69,0.45,2.54,000617
2023-01-19,000617,5.46,5.52,5.57,5.38,1919245,1134694880.47,3.37,-1.95,-0.11,1.52,000617
2023-01-20,000617,5.52,5.61,5.65,5.48,1362207,821589917.77,3.08,1.63,0.09,1.08,000617
2023-01-30,000617,5.7,5.57,5.73,5.55,1311331,794613169.28,3.21,-0.71,-0.04,1.04,000617
2023-01-31,000617,5.55,5.5,5.55,5.44,812406,481978080.84,1.97,-1.26,-0.07,0.64,000617
2023-02-01,000617,5.5,5.84,5.85,5.47,2031265,1250926045.47,6.91,6.18,0.34,1.61,000617
2023-02-02,000617,5.88,5.71,5.9,5.7,1247968,773233567.79,3.42,-2.23,-0.13,0.99,000617
2023-02-03,000617,5.67,5.76,5.83,5.67,983294,609562360.96,2.8,0.88,0.05,0.78,000617
2023-02-06,000617,5.71,5.64,5.71,5.6,744997,453276497.69,1.91,-2.08,-0.12,0.59,000617
2023-02-07,000617,5.64,5.66,5.68,5.57,622975,378331665.05,1.95,0.35,0.02,0.49,000617
2023-02-08,000617,5.65,5.57,5.67,5.57,511051,309879274.39,1.77,-1.59,-0.09,0.4,000617
2023-02-09,000617,5.52,5.59,5.6,5.51,557097,335605628.09,1.62,0.36,0.02,0.44,000617
2023-02-10,000617,5.57,5.61,5.61,5.53,437565,263406409.91,1.43,0.36,0.02,0.35,000617
2023-02-13,000617,5.71,5.78,5.8,5.62,1103548,681434625.63,3.21,3.03,0.17,0.87,000617
