code,date,why_selected
000547,2025-12-31,atr_14=0.0704；macd_dea=3.3981；turnover_rate=35.7700；macd_hist=1.4439；ret_20d=0.9192
000070,2025-12-31,atr_14=0.0607；macd_dea=0.1858；turnover_rate=6.1300；macd_hist=-0.3538；ret_20d=-0.1239
000593,2025-12-31,atr_14=0.0418；macd_dea=0.0959；turnover_rate=3.4700；macd_hist=0.0340；ret_20d=-0.1759
000048,2025-12-31,atr_14=0.0357；macd_dea=-0.1056；turnover_rate=6.3700；macd_hist=1.1714；ret_20d=0.3869
000566,2025-12-31,atr_14=0.0780；macd_dea=0.1247；turnover_rate=9.3495；macd_hist=-0.1948；ret_20d=-0.1205
000532,2025-12-31,atr_14=0.0439；macd_dea=0.3956；turnover_rate=4.1300；macd_hist=0.1312；ret_20d=0.1257
000523,2025-12-31,atr_14=0.0584；macd_dea=0.1058；turnover_rate=5.0800；macd_hist=0.0425；ret_20d=0.0531
000036,2025-12-31,atr_14=0.0768；macd_dea=0.5042；turnover_rate=9.6000；macd_hist=0.2833；ret_20d=0.4133
000572,2025-12-31,atr_14=0.0864；macd_dea=0.0035；turnover_rate=7.8000；macd_hist=-0.3034；ret_20d=-0.1491
000078,2025-12-31,atr_14=0.0679；macd_dea=0.1542；turnover_rate=4.4700；macd_hist=-0.2978；ret_20d=-0.2345
000633,2025-12-31,atr_14=0.0402；macd_dea=-0.0840；turnover_rate=3.1900；macd_hist=-0.1200；ret_20d=-0.1616
000620,2025-12-31,atr_14=0.0613；macd_dea=-0.0465；turnover_rate=3.9587；macd_hist=-0.0447；ret_20d=-0.1270
000657,2025-12-31,atr_14=0.0592；macd_dea=1.6273；turnover_rate=4.5600；macd_hist=-0.1376；ret_20d=0.2471
000632,2025-12-31,atr_14=0.0867；macd_dea=0.0143；turnover_rate=11.6200；macd_hist=-0.1787；ret_20d=-0.1426
000417,2025-12-31,atr_14=0.0626；macd_dea=0.2468；turnover_rate=14.7600；macd_hist=-0.0702；ret_20d=0.0163
000663,2025-12-31,atr_14=0.0509；macd_dea=-0.1581；turnover_rate=5.1400；macd_hist=-0.1234；ret_20d=-0.1575
000017,2025-12-31,atr_14=0.0416；macd_dea=0.1698；turnover_rate=3.2300；macd_hist=-0.0964；ret_20d=0.0168
000510,2025-12-31,atr_14=0.0736；macd_dea=0.9559；turnover_rate=12.4400；macd_hist=0.1663；ret_20d=0.2697
000546,2025-12-31,atr_14=0.0902；macd_dea=0.2662；turnover_rate=8.1400；macd_hist=-0.1448；ret_20d=0.0633
000592,2025-12-31,atr_14=0.0942；macd_dea=1.3870；turnover_rate=26.8100；macd_hist=0.0955；ret_20d=0.3665
000561,2025-12-31,atr_14=0.0435；macd_dea=0.1575；turnover_rate=8.4600；macd_hist=0.1642；ret_20d=0.1232
000530,2025-12-31,atr_14=0.0665；macd_dea=0.1075；turnover_rate=12.9479；macd_hist=-0.1270；ret_20d=-0.0494
000407,2025-12-31,atr_14=0.0555；macd_dea=0.0710；turnover_rate=8.3100；macd_hist=0.0541；ret_20d=-0.0493
000603,2025-12-31,atr_14=0.0667；macd_dea=1.4170；turnover_rate=8.2000；macd_hist=-0.3252；ret_20d=0.1186
000639,2025-12-31,atr_14=0.0486；macd_dea=0.0218；turnover_rate=4.4200；macd_hist=-0.0376；ret_20d=-0.0780
000411,2025-12-31,atr_14=0.0476；macd_dea=0.2001；turnover_rate=12.2100；macd_hist=0.0491；ret_20d=-0.0139
000533,2025-12-31,atr_14=0.0516；macd_dea=0.1446；turnover_rate=6.1600；macd_hist=-0.0641；ret_20d=0.0571
000426,2025-12-31,atr_14=0.0539；macd_dea=0.9207；turnover_rate=4.2200；macd_hist=-0.0648；ret_20d=-0.0155
000534,2025-12-31,atr_14=0.0746；macd_dea=0.7911；turnover_rate=5.6500；macd_hist=-0.3747；ret_20d=0.1017
000609,2025-12-31,atr_14=0.0648；macd_dea=-0.0429；turnover_rate=6.6700；macd_hist=-0.3595；ret_20d=-0.2179
000559,2025-12-31,atr_14=0.0452；macd_dea=0.2150；turnover_rate=14.3100；macd_hist=1.1124；ret_20d=0.3292
000506,2025-12-31,atr_14=0.0524；macd_dea=0.3416；turnover_rate=2.1200；macd_hist=-0.0968；ret_20d=0.1003
000505,2025-12-31,atr_14=0.0702；macd_dea=0.2264；turnover_rate=8.1300；macd_hist=0.0816；ret_20d=0.0786
000551,2025-12-31,atr_14=0.0705；macd_dea=0.8040；turnover_rate=21.1200；macd_hist=0.5934；ret_20d=0.3291
000659,2025-12-31,atr_14=0.0477；macd_dea=0.1227；turnover_rate=15.2800；macd_hist=0.1590；ret_20d=0.2808
000571,2025-12-31,atr_14=0.0601；macd_dea=0.0160；turnover_rate=2.6600；macd_hist=-0.0569；ret_20d=-0.0971
000536,2025-12-31,atr_14=0.0446；macd_dea=-0.0800；turnover_rate=2.7800；macd_hist=-0.1163；ret_20d=-0.2065
