date,code,shares,cost_price,market_price,market_value
2024-07-03,000506,105100,0.9509499999999999,0.99,104049.0
2024-07-03,000592,60700,1.48148,1.45,88015.0
2024-07-03,000639,32300,2.5024999999999995,2.5,80750.0
2024-07-03,000070,16700,4.36436,4.34,72478.0
2024-07-03,000603,5500,11.72171,11.8,64900.00000000001
2024-07-04,000506,105100,0.9509499999999999,1.04,109304.0
2024-07-04,000639,32300,2.5024999999999995,2.42,78166.0
2024-07-04,000603,5500,11.72171,11.45,62974.99999999999
2024-07-04,000592,51400,1.4514499999999997,1.39,71446.0
2024-07-04,000048,5200,12.772759999999996,12.58,65416.0
2024-07-04,000070,13900,4.32432,4.13,57407.0
2024-07-04,000609,30900,1.7617599999999998,1.8,55620.0
2024-07-04,000657,5400,8.93893,8.72,47088.0
2024-07-05,000639,32300,2.5024999999999995,2.48,80104.0
2024-07-05,000603,5500,11.72171,12.32,67760.0
2024-07-05,000048,5200,12.772759999999996,12.9,67080.0
2024-07-05,000070,13900,4.32432,4.21,58519.0
2024-07-05,000609,30900,1.7617599999999998,1.82,56238.0
2024-07-05,000657,5400,8.93893,9.02,48708.0
2024-07-05,000506,59200,1.05105,1.08,63936.00000000001
2024-07-05,000036,18400,3.0430399999999995,3.01,55383.99999999999
2024-07-05,000572,17800,2.8228199999999997,2.81,50018.0
2024-07-05,000663,10500,4.3043,4.42,46410.0
2024-07-08,000603,5500,11.72171,12.11,66605.0
2024-07-08,000048,5200,12.772759999999996,12.94,67288.0
2024-07-08,000070,13900,4.32432,4.32,60048.00000000001
2024-07-08,000609,30900,1.7617599999999998,1.8,55620.0
2024-07-08,000657,5400,8.93893,8.68,46872.0
2024-07-08,000506,59200,1.05105,1.03,60976.0
2024-07-08,000663,10500,4.3043,4.13,43365.0
2024-07-08,000017,9100,6.396389999999999,6.11,55601.0
2024-07-08,000592,37600,1.4013999999999998,1.36,51136.00000000001
2024-07-08,000572,16900,2.8027999999999995,2.7,45630.0
2024-07-09,000603,5500,11.72171,12.45,68475.0
2024-07-09,000048,5200,12.772759999999996,12.98,67496.0
2024-07-09,000070,13900,4.32432,4.37,60743.0
2024-07-09,000609,30900,1.7617599999999998,1.71,52839.0
2024-07-09,000657,5400,8.93893,8.81,47574.0
2024-07-09,000572,16900,2.8027999999999995,2.77,46813.0
2024-07-09,000506,64700,0.9809799999999999,0.98,63406.0
2024-07-09,000659,40400,1.4114099999999998,1.39,56155.99999999999
2024-07-09,000561,8800,5.83583,5.96,52448.0
2024-07-09,000663,11100,4.16416,4.07,45177.0
2024-07-10,000048,5200,12.772759999999996,12.94,67288.0
2024-07-10,000070,13900,4.32432,4.26,59214.0
2024-07-10,000609,30900,1.7617599999999998,1.74,53766.0
2024-07-10,000657,5400,8.93893,8.69,46926.0
2024-07-10,000572,16900,2.8027999999999995,2.84,47996.0
2024-07-10,000659,40400,1.4114099999999998,1.36,54944.00000000001
2024-07-10,000561,8800,5.83583,5.81,51128.0
2024-07-10,000506,62500,0.9409399999999999,0.93,58125.0
2024-07-10,000426,3600,14.504489999999999,13.94,50184.0
2024-07-10,000036,16200,2.93293,2.91,47142.0
2024-07-11,000572,16900,2.8027999999999995,2.96,50024.0
2024-07-11,000659,40400,1.4114099999999998,1.41,56964.0
2024-07-11,000561,8800,5.83583,6.0,52800.0
2024-07-11,000426,3600,14.504489999999999,14.68,52848.0
2024-07-11,000036,16200,2.93293,2.99,48438.0
2024-07-11,000592,53800,1.33133,1.39,74782.0
2024-07-11,000620,42100,1.5315299999999998,1.56,65676.0
2024-07-11,000510,20600,2.81281,3.0,61800.0
2024-07-11,000663,12900,4.03403,4.12,53148.0
2024-07-11,000505,9300,5.03503,5.1,47430.0
2024-07-12,000572,16900,2.8027999999999995,3.03,51207.0
2024-07-12,000659,40400,1.4114099999999998,1.46,58984.0
2024-07-12,000561,8800,5.83583,5.94,52272.0
2024-07-12,000426,3600,14.504489999999999,14.26,51336.0
2024-07-12,000036,16200,2.93293,3.09,50058.0
2024-07-12,000592,53800,1.33133,1.4,75320.0
2024-07-12,000620,42100,1.5315299999999998,1.57,66097.0
2024-07-12,000510,20600,2.81281,2.84,58504.0
2024-07-12,000505,9300,5.03503,5.21,48453.0
2024-07-12,000609,25000,1.9219199999999996,1.86,46500.0
2024-07-15,000659,40400,1.4114099999999998,1.48,59792.0
2024-07-15,000561,8800,5.83583,5.87,51656.0
2024-07-15,000426,3600,14.504489999999999,14.66,52776.0
2024-07-15,000036,16200,2.93293,3.03,49086.0
2024-07-15,000592,53800,1.33133,1.35,72630.0
2024-07-15,000510,20600,2.81281,2.81,57886.0
2024-07-15,000505,9300,5.03503,5.11,47523.0
2024-07-15,000506,62400,0.9609599999999998,0.95,59280.0
2024-07-15,000017,9000,5.945939999999999,5.97,53730.0
2024-07-15,000663,10300,4.684679999999999,4.47,46041.0
2024-07-16,000426,3600,14.504489999999999,15.08,54288.0
2024-07-16,000036,16200,2.93293,3.0,48600.0
2024-07-16,000592,53800,1.33133,1.35,72630.0
2024-07-16,000510,20600,2.81281,2.83,58298.0
2024-07-16,000505,9300,5.03503,5.1,47430.0
2024-07-16,000017,9000,5.945939999999999,5.97,53730.0
2024-07-16,000506,71900,0.9109099999999999,1.0,71900.0
2024-07-16,000609,32000,1.84184,1.81,57920.0
2024-07-16,000070,12400,4.25425,4.28,53072.0
2024-07-16,000639,18900,2.5225199999999997,2.43,45927.0
2024-07-17,000592,53800,1.33133,1.33,71554.0
2024-07-17,000510,20600,2.81281,2.81,57886.0
2024-07-17,000505,9300,5.03503,5.13,47709.0
2024-07-17,000017,9000,5.945939999999999,6.15,55350.0
2024-07-17,000609,32000,1.84184,1.88,60160.0
2024-07-17,000070,12400,4.25425,4.15,51460.00000000001
2024-07-17,000639,18900,2.5225199999999997,2.49,47061.00000000001
2024-07-17,000078,25400,2.3823799999999995,2.41,61214.0
2024-07-17,000663,12400,4.36436,4.36,54064.00000000001
2024-07-17,000659,31400,1.5615599999999998,1.59,49926.0
2024-07-18,000017,9000,5.945939999999999,5.89,53010.0
2024-07-18,000609,32000,1.84184,1.83,58560.0
2024-07-18,000078,25400,2.3823799999999995,2.54,64516.0
2024-07-18,000659,31400,1.5615599999999998,1.62,50868.0
2024-07-18,000592,57400,1.33133,1.34,76916.0
2024-07-18,000572,23400,2.93293,3.27,76518.0
2024-07-18,000426,4200,14.454439999999998,14.41,60522.0
2024-07-18,000506,50700,1.1011,1.1,55770.00000000001
2024-07-18,000663,11600,4.3043,4.3,49880.0
2024-07-19,000609,32000,1.84184,1.84,58880.0
2024-07-19,000659,31400,1.5615599999999998,1.63,51182.0
2024-07-19,000592,57400,1.33133,1.33,76342.0
2024-07-19,000506,50700,1.1011,1.16,58811.99999999999
2024-07-19,000663,11600,4.3043,4.2,48720.0
2024-07-19,000572,21900,3.2032000000000003,3.23,70737.0
2024-07-19,000510,22900,2.7627599999999997,2.8,64119.99999999999
2024-07-19,000426,4100,13.663649999999999,13.67,56047.0
2024-07-19,000639,21200,2.42242,2.44,51728.0
2024-07-19,000411,5100,8.99899,9.05,46155.0
2024-07-22,000609,32000,1.84184,1.86,59520.0
2024-07-22,000659,31400,1.5615599999999998,1.64,51496.0
2024-07-22,000592,57400,1.33133,1.34,76916.0
2024-07-22,000663,11600,4.3043,4.21,48836.0
2024-07-22,000572,21900,3.2032000000000003,3.28,71832.0
2024-07-22,000510,22900,2.7627599999999997,2.79,63891.0
2024-07-22,000426,4100,13.663649999999999,13.64,55924.0
2024-07-22,000639,21200,2.42242,2.41,51092.0
2024-07-22,000411,5100,8.99899,9.07,46257.0
2024-07-22,000506,39100,1.2212199999999998,1.22,47702.0
2024-07-23,000659,31400,1.5615599999999998,1.64,51496.0
2024-07-23,000592,57400,1.33133,1.33,76342.0
2024-07-23,000663,11600,4.3043,4.11,47676.00000000001
2024-07-23,000510,22900,2.7627599999999997,2.77,63433.0
2024-07-23,000639,21200,2.42242,2.35,49820.0
2024-07-23,000411,5100,8.99899,8.96,45696.00000000001
2024-07-23,000506,39100,1.2212199999999998,1.28,50048.0
2024-07-23,000017,10700,5.74574,5.62,60134.0
2024-07-23,000609,29600,1.8818799999999998,1.82,53872.0
2024-07-23,000559,12500,4.024019999999999,3.94,49250.0
2024-07-24,000592,57400,1.33133,1.29,74046.0
2024-07-24,000510,22900,2.7627599999999997,2.72,62288.00000000001
2024-07-24,000411,5100,8.99899,8.9,45390.0
2024-07-24,000506,39100,1.2212199999999998,1.34,52394.0
2024-07-24,000017,10700,5.74574,5.48,58636.00000000001
2024-07-24,000559,12500,4.024019999999999,3.87,48375.0
2024-07-24,000078,26500,2.4624599999999996,2.56,67840.0
2024-07-24,000657,7100,8.18818,8.1,57510.0
2024-07-24,000663,12800,4.12412,4.01,51328.0
2024-07-24,000633,12900,3.6936899999999997,3.59,46311.0
2024-07-25,000510,22900,2.7627599999999997,2.74,62746.00000000001
2024-07-25,000411,5100,8.99899,8.91,45441.0
2024-07-25,000559,12500,4.024019999999999,3.92,49000.0
2024-07-25,000078,26500,2.4624599999999996,2.51,66515.0
2024-07-25,000657,7100,8.18818,8.04,57083.99999999999
2024-07-25,000663,12800,4.12412,4.11,52608.00000000001
2024-07-25,000633,12900,3.6936899999999997,3.62,46698.0
2024-07-25,000506,43400,1.4114099999999998,1.41,61194.0
2024-07-25,000572,16600,3.3233199999999994,3.6,59760.0
2024-07-25,000017,8900,5.525519999999999,5.48,48772.00000000001
2024-07-26,000559,12500,4.024019999999999,4.04,50500.0
2024-07-26,000078,26500,2.4624599999999996,2.55,67575.0
2024-07-26,000657,7100,8.18818,8.15,57865.0
2024-07-26,000663,12800,4.12412,4.12,52736.0
2024-07-26,000633,12900,3.6936899999999997,3.75,48375.0
2024-07-26,000017,8900,5.525519999999999,5.56,49484.0
2024-07-26,000603,6500,10.25024,10.47,68055.0
2024-07-26,000639,26500,2.29229,2.29,60685.0
2024-07-26,000609,30700,1.78178,1.79,54953.0
2024-07-26,000534,5400,9.08908,9.2,49679.99999999999
2024-07-29,000559,12500,4.024019999999999,4.08,51000.0
2024-07-29,000078,26500,2.4624599999999996,2.4,63600.0
2024-07-29,000657,7100,8.18818,8.03,57012.99999999999
2024-07-29,000663,12800,4.12412,4.18,53504.0
2024-07-29,000633,12900,3.6936899999999997,3.76,48504.0
2024-07-29,000017,8900,5.525519999999999,5.65,50285.0
2024-07-29,000603,6500,10.25024,10.52,68380.0
2024-07-29,000639,26500,2.29229,2.3,60949.99999999999
2024-07-29,000609,30700,1.78178,1.74,53418.0
2024-07-29,000534,5400,9.08908,9.15,49410.0
2024-07-30,000078,26500,2.4624599999999996,2.38,63070.0
2024-07-30,000657,7100,8.18818,8.09,57439.0
2024-07-30,000663,12800,4.12412,4.23,54144.00000000001
2024-07-30,000633,12900,3.6936899999999997,3.8,49020.0
2024-07-30,000017,8900,5.525519999999999,5.78,51442.0
2024-07-30,000603,6500,10.25024,10.58,68770.0
2024-07-30,000639,26500,2.29229,2.33,61745.0
2024-07-30,000609,30700,1.78178,1.8,55260.0
2024-07-30,000534,5400,9.08908,9.23,49842.0
2024-07-30,000620,31800,1.55155,1.6,50880.0
2024-07-31,000017,8900,5.525519999999999,5.95,52955.0
2024-07-31,000603,6500,10.25024,11.01,71565.0
2024-07-31,000639,26500,2.29229,2.41,63865.00000000001
2024-07-31,000609,30700,1.78178,1.81,55567.0
2024-07-31,000534,5400,9.08908,9.63,52002.00000000001
2024-07-31,000620,31800,1.55155,1.62,51516.0
2024-07-31,000572,17700,3.7737699999999994,3.68,65136.0
2024-07-31,000078,24600,2.4424399999999995,2.46,60516.0
2024-07-31,000657,6600,8.12812,8.43,55638.0
2024-07-31,000048,3600,13.493479999999998,13.77,49572.0
2024-08-01,000639,26500,2.29229,2.38,63070.0
2024-08-01,000609,30700,1.78178,1.81,55567.0
2024-08-01,000534,5400,9.08908,9.74,52596.0
2024-08-01,000620,31800,1.55155,1.6,50880.0
2024-08-01,000572,17700,3.7737699999999994,4.05,71685.0
2024-08-01,000078,24600,2.4424399999999995,2.46,60516.0
2024-08-01,000657,6600,8.12812,8.31,54846.0
2024-08-01,000048,3600,13.493479999999998,13.53,48708.0
2024-08-01,000603,5000,11.25124,11.46,57300.00000000001
2024-08-01,000426,3900,12.952939999999998,12.62,49218.0
2024-08-02,000620,31800,1.55155,1.57,49926.0
2024-08-02,000572,17700,3.7737699999999994,3.87,68499.0
2024-08-02,000078,24600,2.4424399999999995,2.45,60270.00000000001
2024-08-02,000657,6600,8.12812,8.19,54054.0
2024-08-02,000048,3600,13.493479999999998,13.69,49284.0
2024-08-02,000603,5000,11.25124,11.32,56600.0
2024-08-02,000426,5400,12.442429999999998,12.52,67608.0
2024-08-02,000659,32500,1.8818799999999998,1.89,61425.0
2024-08-02,000534,5700,9.64964,9.8,55860.00000000001
2024-08-02,000532,4000,12.262249999999998,12.05,48200.0
2024-08-05,000078,24600,2.4424399999999995,2.35,57810.0
2024-08-05,000657,6600,8.12812,8.0,52800.0
2024-08-05,000048,3600,13.493479999999998,13.61,48996.0
2024-08-05,000603,5000,11.25124,10.74,53700.0
2024-08-05,000426,5400,12.442429999999998,12.14,65556.0
2024-08-05,000659,32500,1.8818799999999998,1.85,60125.0
2024-08-05,000534,5700,9.64964,9.64,54948.0
2024-08-05,000532,4000,12.262249999999998,11.71,46840.0
2024-08-05,000547,8000,7.007,6.91,55280.0
2024-08-05,000633,13000,3.9038999999999993,3.82,49660.0
2024-08-06,000078,24600,2.4424399999999995,2.42,59532.0
2024-08-06,000657,6600,8.12812,8.09,53394.0
2024-08-06,000048,3600,13.493479999999998,14.11,50796.0
2024-08-06,000659,32500,1.8818799999999998,1.88,61100.0
2024-08-06,000534,5700,9.64964,9.92,56544.0
2024-08-06,000633,13000,3.9038999999999993,3.89,50570.0
2024-08-06,000547,9700,6.916910000000001,7.16,69452.0
2024-08-06,000523,23200,2.6126099999999997,2.65,61480.0
2024-08-06,000559,13100,4.15415,4.15,54365.00000000001
2024-08-06,000551,6300,7.78778,7.8,49140.0
2024-08-07,000659,32500,1.8818799999999998,1.88,61100.0
2024-08-07,000534,5700,9.64964,9.98,56886.0
2024-08-07,000633,13000,3.9038999999999993,3.89,50570.0
2024-08-07,000523,23200,2.6126099999999997,2.62,60784.0
2024-08-07,000559,13100,4.15415,4.15,54365.00000000001
2024-08-07,000551,6300,7.78778,7.8,49140.0
2024-08-07,000506,50600,1.34134,1.43,72358.0
2024-08-07,000078,25200,2.42242,2.4,60480.0
2024-08-07,000620,34100,1.61161,1.58,53878.0
2024-08-07,000532,4200,11.801789999999999,11.67,49014.0
2024-08-08,000659,32500,1.8818799999999998,1.87,60775.0
2024-08-08,000534,5700,9.64964,9.82,55974.0
2024-08-08,000633,13000,3.9038999999999993,3.89,50570.0
2024-08-08,000523,23200,2.6126099999999997,2.66,61712.0
2024-08-08,000559,13100,4.15415,4.15,54365.00000000001
2024-08-08,000551,6300,7.78778,7.82,49266.0
2024-08-08,000506,50600,1.34134,1.4,70840.0
2024-08-08,000078,25200,2.42242,2.44,61488.0
2024-08-08,000620,34100,1.61161,1.61,54901.0
2024-08-08,000532,4200,11.801789999999999,11.58,48636.0
2024-08-09,000633,13000,3.9038999999999993,3.85,50050.0
2024-08-09,000523,23200,2.6126099999999997,2.67,61944.0
2024-08-09,000559,13100,4.15415,4.16,54496.0
2024-08-09,000551,6300,7.78778,7.79,49077.0
2024-08-09,000506,50600,1.34134,1.38,69828.0
2024-08-09,000078,25200,2.42242,2.39,60228.0
2024-08-09,000620,34100,1.61161,1.63,55583.0
2024-08-09,000532,4200,11.801789999999999,11.66,48972.0
2024-08-09,000426,4800,11.691679999999998,11.61,55728.0
2024-08-09,000659,27300,1.85185,1.83,49959.0
2024-08-12,000523,23200,2.6126099999999997,2.63,61016.0
2024-08-12,000559,13100,4.15415,4.12,53972.0
2024-08-12,000551,6300,7.78778,7.89,49707.0
2024-08-12,000506,50600,1.34134,1.32,66792.0
2024-08-12,000078,25200,2.42242,2.41,60732.0
2024-08-12,000532,4200,11.801789999999999,11.64,48888.0
2024-08-12,000426,4800,11.691679999999998,11.68,56064.0
2024-08-12,000603,5900,10.180169999999999,10.32,60888.0
2024-08-12,000659,29900,1.8218199999999998,1.73,51727.0
2024-08-12,000536,22300,2.1921899999999996,2.22,49506.00000000001
2024-08-13,000506,50600,1.34134,1.39,70334.0
2024-08-13,000078,25200,2.42242,2.4,60480.0
2024-08-13,000532,4200,11.801789999999999,11.84,49728.0
2024-08-13,000426,4800,11.691679999999998,11.57,55536.0
2024-08-13,000603,5900,10.180169999999999,10.32,60888.0
2024-08-13,000536,34600,2.03203,2.12,73352.0
2024-08-13,000659,36500,1.7317299999999998,1.76,64240.0
2024-08-13,000620,37400,1.5215199999999998,1.5,56100.0
2024-08-13,000017,8800,5.825819999999999,5.65,49720.0
2024-08-13,000639,18800,2.4424399999999995,2.42,45496.0
2024-08-14,000426,4800,11.691679999999998,11.38,54624.00000000001
2024-08-14,000603,5900,10.180169999999999,10.21,60239.00000000001
2024-08-14,000659,36500,1.7317299999999998,1.82,66430.0
2024-08-14,000620,37400,1.5215199999999998,1.48,55352.0
2024-08-14,000639,18800,2.4424399999999995,2.37,44556.0
2024-08-14,000017,12800,5.585579999999998,5.51,70528.0
2024-08-14,000561,10200,6.316309999999999,6.32,64464.0
2024-08-14,000536,27200,2.14214,2.33,63376.0
2024-08-14,000048,3900,13.423409999999999,13.4,52260.0
2024-08-14,000657,5900,8.018009999999999,7.9,46610.0
2024-08-15,000426,4800,11.691679999999998,11.65,55920.0
2024-08-15,000603,5900,10.180169999999999,10.44,61596.0
2024-08-15,000659,36500,1.7317299999999998,1.89,68985.0
2024-08-15,000620,37400,1.5215199999999998,1.5,56100.0
2024-08-15,000639,18800,2.4424399999999995,2.39,44932.0
2024-08-15,000017,12800,5.585579999999998,5.53,70784.0
2024-08-15,000561,10200,6.316309999999999,6.33,64566.0
2024-08-15,000048,3900,13.423409999999999,13.32,51948.0
2024-08-15,000657,5900,8.018009999999999,7.99,47141.0
2024-08-15,000536,20100,2.43243,2.29,46029.0
2024-08-16,000603,5900,10.180169999999999,10.25,60475.0
2024-08-16,000620,37400,1.5215199999999998,1.48,55352.0
2024-08-16,000639,18800,2.4424399999999995,2.35,44180.0
2024-08-16,000017,12800,5.585579999999998,5.41,69248.0
2024-08-16,000561,10200,6.316309999999999,6.26,63852.0
2024-08-16,000048,3900,13.423409999999999,13.24,51636.0
2024-08-16,000657,5900,8.018009999999999,7.88,46492.0
2024-08-16,000547,8400,7.287279999999999,6.83,57372.0
2024-08-16,000572,16800,3.2832799999999995,3.21,53928.0
2024-08-16,000506,38200,1.3013,1.29,49278.0
2024-08-19,000017,12800,5.585579999999998,5.49,70272.0
2024-08-19,000561,10200,6.316309999999999,6.24,63648.0
2024-08-19,000048,3900,13.423409999999999,13.14,51246.0
2024-08-19,000657,5900,8.018009999999999,7.95,46905.0
2024-08-19,000572,16800,3.2832799999999995,3.21,53928.0
2024-08-19,000506,38200,1.3013,1.32,50424.0
2024-08-19,000536,27000,2.47247,2.41,65070.00000000001
2024-08-19,000547,8900,6.726719999999999,6.78,60342.0
2024-08-19,000659,28500,1.9018999999999997,1.89,53865.0
2024-08-19,000620,33600,1.4514499999999997,1.45,48720.0
2024-08-20,000561,10200,6.316309999999999,6.13,62526.0
2024-08-20,000048,3900,13.423409999999999,12.77,49803.0
2024-08-20,000657,5900,8.018009999999999,7.74,45666.0
2024-08-20,000572,16800,3.2832799999999995,3.33,55944.0
2024-08-20,000506,38200,1.3013,1.26,48132.0
2024-08-20,000547,8900,6.726719999999999,6.57,58473.0
2024-08-20,000659,28500,1.9018999999999997,1.9,54150.0
2024-08-20,000017,11200,5.495489999999999,5.3,59360.0
2024-08-20,000620,38800,1.4314299999999998,1.4,54320.0
2024-08-20,000532,3700,13.243229999999999,13.1,48470.0
2024-08-21,000572,16800,3.2832799999999995,3.14,52752.0
2024-08-21,000547,8900,6.726719999999999,6.46,57494.0
2024-08-21,000659,28500,1.9018999999999997,1.86,53010.0
2024-08-21,000017,11200,5.495489999999999,5.53,61936.0
2024-08-21,000620,38800,1.4314299999999998,1.41,54708.0
2024-08-21,000532,3700,13.243229999999999,13.24,48988.0
2024-08-21,000506,51500,1.27127,1.21,62315.0
2024-08-21,000603,5500,10.620609999999997,10.62,58409.99999999999
2024-08-21,000566,17000,3.1131099999999994,3.09,52530.0
2024-08-21,000078,21000,2.27227,2.24,47040.00000000001
2024-08-22,000547,8900,6.726719999999999,6.47,57583.0
2024-08-22,000659,28500,1.9018999999999997,1.88,53580.0
2024-08-22,000017,11200,5.495489999999999,5.28,59136.0
2024-08-22,000620,38800,1.4314299999999998,1.38,53543.99999999999
2024-08-22,000532,3700,13.243229999999999,13.32,49284.0
2024-08-22,000603,5500,10.620609999999997,10.18,55990.0
2024-08-22,000566,17000,3.1131099999999994,3.04,51680.0
2024-08-22,000078,21000,2.27227,2.22,46620.00000000001
2024-08-22,000048,4400,12.282269999999999,12.12,53328.0
2024-08-22,000572,15600,3.14314,3.06,47736.0
2024-08-23,000659,28500,1.9018999999999997,1.85,52725.0
2024-08-23,000532,3700,13.243229999999999,12.8,47360.0
2024-08-23,000566,17000,3.1131099999999994,2.99,50830.0
2024-08-23,000078,21000,2.27227,2.18,45780.0
2024-08-23,000048,4400,12.282269999999999,12.28,54032.0
2024-08-23,000572,15600,3.14314,3.11,48516.0
2024-08-23,000411,7600,8.74874,8.67,65892.0
2024-08-23,000620,43300,1.3813799999999998,1.34,58022.0
2024-08-23,000017,10200,5.275269999999999,5.3,54060.0
2024-08-23,000505,10000,4.82482,4.75,47500.0
2024-08-26,000566,17000,3.1131099999999994,3.04,51680.0
2024-08-26,000078,21000,2.27227,2.21,46410.0
2024-08-26,000048,4400,12.282269999999999,12.35,54340.0
2024-08-26,000572,15600,3.14314,3.1,48360.0
2024-08-26,000411,7600,8.74874,8.64,65664.0
2024-08-26,000620,43300,1.3813799999999998,1.36,58888.00000000001
2024-08-26,000017,10200,5.275269999999999,5.45,55590.0
2024-08-26,000505,10000,4.82482,4.9,49000.0
2024-08-26,000546,12100,4.414409999999999,4.54,54934.0
2024-08-26,000659,26000,1.85185,1.91,49660.0
2024-08-27,000566,17000,3.1131099999999994,3.02,51340.0
2024-08-27,000078,21000,2.27227,2.18,45780.0
2024-08-27,000048,4400,12.282269999999999,12.42,54648.0
2024-08-27,000572,15600,3.14314,3.03,47268.0
2024-08-27,000411,7600,8.74874,8.69,66044.0
2024-08-27,000017,10200,5.275269999999999,5.24,53448.0
2024-08-27,000505,10000,4.82482,4.9,49000.0
2024-08-27,000546,12100,4.414409999999999,4.33,52393.0
2024-08-27,000659,26000,1.85185,1.9,49400.0
2024-08-27,000561,7300,6.676669999999999,6.35,46355.0
2024-08-28,000048,4400,12.282269999999999,12.64,55616.0
2024-08-28,000572,15600,3.14314,3.0,46800.0
2024-08-28,000411,7600,8.74874,8.73,66348.0
2024-08-28,000017,10200,5.275269999999999,5.41,55182.0
2024-08-28,000505,10000,4.82482,4.97,49700.0
2024-08-28,000546,12100,4.414409999999999,4.29,51909.0
2024-08-28,000659,26000,1.85185,1.94,50440.0
2024-08-28,000561,9300,6.246239999999999,6.08,56544.0
2024-08-28,000532,4500,11.451439999999998,10.59,47655.0
2024-08-28,000620,36200,1.31131,1.33,48146.0
2024-08-29,000411,7600,8.74874,8.81,66956.0
2024-08-29,000017,10200,5.275269999999999,5.46,55692.0
2024-08-29,000505,10000,4.82482,4.93,49300.0
2024-08-29,000546,12100,4.414409999999999,4.4,53240.00000000001
2024-08-29,000659,26000,1.85185,1.89,49140.0
2024-08-29,000620,36200,1.31131,1.37,49594.00000000001
2024-08-29,000633,14800,4.264259999999999,4.42,65416.0
2024-08-29,000506,44100,1.2912899999999998,1.29,56889.0
