date,code,side,price,shares,amount,fee,reason
2024-07-03,000506,BUY,0.9509499999999999,105100,99944.84499999999,29.983453499999992,signal
2024-07-03,000592,BUY,1.48148,60700,89925.836,26.977750799999995,signal
2024-07-03,000639,BUY,2.5024999999999995,32300,80830.74999999999,24.249224999999992,signal
2024-07-03,000070,BUY,4.36436,16700,72884.81199999999,21.865443599999995,signal
2024-07-03,000603,BUY,11.72171,5500,64469.405,19.340821499999997,signal
2024-07-04,000592,SELL,1.405998594,60700,85344.11465579999,110.94734905253998,stop_loss
2024-07-04,000070,SELL,4.141995858,16700,69171.3308286,89.92273007717999,stop_loss
2024-07-04,000592,BUY,1.4514499999999997,51400,74604.52999999998,22.381358999999993,signal
2024-07-04,000048,BUY,12.772759999999998,5200,66418.35199999998,19.925505599999994,signal
2024-07-04,000070,BUY,4.32432,13900,60108.048,18.0324144,signal
2024-07-04,000609,BUY,1.7617599999999998,30900,54438.38399999999,16.331515199999995,signal
2024-07-04,000657,BUY,8.93893,5400,48270.221999999994,14.481066599999997,signal
2024-07-05,000506,SELL,1.0449989549999998,105100,109829.39017049999,142.77820722164998,take_profit
2024-07-05,000592,SELL,1.3774986224999994,51400,70803.42919649997,92.04445795544996,stop_loss
2024-07-05,000506,BUY,1.05105,59200,62222.16,18.666648,signal
2024-07-05,000036,BUY,3.0430399999999995,18400,55991.935999999994,16.797580799999995,signal
2024-07-05,000572,BUY,2.8228199999999997,17800,50246.195999999996,15.073858799999998,signal
2024-07-05,000663,BUY,4.3043,10500,45195.149999999994,13.558544999999997,signal
2024-07-08,000639,SELL,2.3749976249999993,32300,76712.42328749997,99.72615027374997,stop_loss
2024-07-08,000036,SELL,2.8879971119999994,18400,53139.14686079999,69.08089091903999,stop_loss
2024-07-08,000572,SELL,2.6789973209999993,17800,47686.15231379999,61.99199800793998,stop_loss
2024-07-08,000017,BUY,6.396389999999999,9100,58207.149,17.462144699999996,signal
2024-07-08,000592,BUY,1.4013999999999998,37600,52692.63999999999,15.807791999999996,signal
2024-07-08,000572,BUY,2.8027999999999995,16900,47367.31999999999,14.210195999999996,signal
2024-07-09,000506,SELL,0.9974990025,59200,59051.940948,76.7675232324,stop_loss
2024-07-09,000663,SELL,4.084995914999999,10500,42892.457107499984,55.76019423974998,stop_loss
2024-07-09,000017,SELL,6.070493929499999,9100,55241.49475844999,71.81394318598498,stop_loss
2024-07-09,000592,SELL,1.3299986699999997,37600,50007.94999199999,65.01033498959998,stop_loss
2024-07-09,000506,BUY,0.9809799999999999,64700,63469.40599999999,19.040821799999996,signal
2024-07-09,000659,BUY,1.4114099999999998,40400,57020.96399999999,17.106289199999996,signal
2024-07-09,000561,BUY,5.83583,8800,51355.304,15.406591199999998,signal
2024-07-09,000663,BUY,4.16416,11100,46222.176,13.866652799999999,signal
2024-07-10,000603,SELL,12.297690000000001,5500,67637.29500000001,87.92848350000001,hold_days
2024-07-10,000506,SELL,0.9309990689999998,64700,60235.63976429999,78.30633169358998,stop_loss
2024-07-10,000663,SELL,3.9519960479999994,11100,43867.156132799995,57.027302972639994,stop_loss
2024-07-10,000506,BUY,0.9409399999999999,62500,58808.74999999999,17.642624999999995,signal
2024-07-10,000426,BUY,14.504489999999999,3600,52216.164,15.664849199999997,signal
2024-07-10,000036,BUY,2.93293,16200,47513.466,14.2540398,signal
2024-07-11,000048,SELL,13.0869,5200,68051.88,88.467444,hold_days
2024-07-11,000070,SELL,4.305689999999999,13900,59849.09099999999,77.80381829999999,hold_days
2024-07-11,000609,SELL,1.82817,30900,56490.453,73.4375889,hold_days
2024-07-11,000657,SELL,8.81118,5400,47580.372,61.8544836,hold_days
2024-07-11,000506,SELL,0.8929991069999998,62500,55812.44418749999,72.55617744374999,stop_loss
2024-07-11,000592,BUY,1.33133,53800,71625.55399999999,21.487666199999996,signal
2024-07-11,000620,BUY,1.5315299999999998,42100,64477.41299999999,19.343223899999995,signal
2024-07-11,000510,BUY,2.81281,20600,57943.886,17.383165799999997,signal
2024-07-11,000663,BUY,4.03403,12900,52038.986999999994,15.611696099999996,signal
2024-07-11,000505,BUY,5.03503,9300,46825.779,14.0477337,signal
2024-07-12,000663,SELL,4.432995567,12900,57185.6428143,74.34133565859,take_profit
2024-07-12,000609,BUY,1.9219199999999996,25000,48047.99999999999,14.414399999999997,signal
2024-07-15,000572,SELL,3.0069899999999996,16900,50818.130999999994,66.0635703,hold_days
2024-07-15,000620,SELL,1.682998317,42100,70854.2291457,92.11049788940998,take_profit
2024-07-15,000609,SELL,1.8239981759999997,25000,45599.954399999995,59.27994071999999,stop_loss
2024-07-15,000506,BUY,0.9609599999999998,62400,59963.90399999999,17.989171199999994,signal
2024-07-15,000017,BUY,5.945939999999999,9000,53513.45999999999,16.054037999999995,signal
2024-07-15,000663,BUY,4.684679999999999,10300,48252.20399999999,14.475661199999996,signal
2024-07-16,000659,SELL,1.550998449,40400,62660.337339599995,81.45843854147999,take_profit
2024-07-16,000561,SELL,5.86413,8800,51604.344000000005,67.0856472,hold_days
2024-07-16,000506,SELL,0.9119990879999998,62400,56908.74309119999,73.98136601855998,stop_loss
2024-07-16,000663,SELL,4.445995554,10300,45793.75420619999,59.53188046805999,stop_loss
2024-07-16,000506,BUY,0.9109099999999999,71900,65494.42899999999,19.648328699999993,signal
2024-07-16,000609,BUY,1.84184,32000,58938.88,17.681663999999998,signal
2024-07-16,000070,BUY,4.25425,12400,52752.7,15.825809999999997,signal
2024-07-16,000639,BUY,2.5225199999999997,18900,47675.628,14.302688399999997,signal
2024-07-17,000426,SELL,15.39459,3600,55420.524000000005,72.04668120000001,hold_days
2024-07-17,000036,SELL,2.997,16200,48551.4,63.11682,hold_days
2024-07-17,000506,SELL,1.000998999,71900,71971.82802809999,93.56337643652998,take_profit
2024-07-17,000078,BUY,2.3823799999999995,25400,60512.45199999999,18.153735599999994,signal
2024-07-17,000663,BUY,4.36436,12400,54118.06399999999,16.235419199999995,signal
2024-07-17,000659,BUY,1.5615599999999998,31400,49032.984,14.709895199999998,signal
2024-07-18,000592,SELL,1.32867,53800,71482.446,92.92717979999999,hold_days
2024-07-18,000510,SELL,2.7971999999999997,20600,57622.31999999999,74.90901599999998,hold_days
2024-07-18,000505,SELL,5.11488,9300,47568.384000000005,61.83889920000001,hold_days
2024-07-18,000070,SELL,4.0374959624999995,12400,50064.949935,65.0844349155,stop_loss
2024-07-18,000639,SELL,2.3939976059999997,18900,45246.55475339999,58.820521179419984,stop_loss
2024-07-18,000663,SELL,4.141995858,12400,51360.74863919999,66.76897323095999,stop_loss
2024-07-18,000592,BUY,1.33133,57400,76418.34199999999,22.925502599999994,signal
2024-07-18,000572,BUY,2.93293,23400,68630.56199999999,20.589168599999997,signal
2024-07-18,000426,BUY,14.454439999999998,4200,60708.647999999994,18.212594399999997,signal
2024-07-18,000506,BUY,1.1011,50700,55825.77,16.747730999999998,signal
2024-07-18,000663,BUY,4.3043,11600,49929.88,14.978963999999998,signal
2024-07-19,000017,SELL,5.642994356999999,9000,50786.94921299999,66.02303397689998,stop_loss
2024-07-19,000078,SELL,2.6179973819999995,25400,66497.13350279999,86.44627355363998,take_profit
2024-07-19,000572,SELL,3.222996777,23400,75418.1245818,98.04356195634,take_profit
2024-07-19,000426,SELL,13.717986281999996,4200,57615.54238439999,74.90020509971998,stop_loss
2024-07-19,000572,BUY,3.2032,21900,70150.08,21.045023999999998,signal
2024-07-19,000510,BUY,2.7627599999999997,22900,63267.20399999999,18.980161199999994,signal
2024-07-19,000426,BUY,13.663649999999999,4100,56020.965,16.8062895,signal
2024-07-19,000639,BUY,2.42242,21200,51355.304,15.406591199999998,signal
2024-07-19,000411,BUY,8.99899,5100,45894.848999999995,13.768454699999998,signal
2024-07-22,000506,SELL,1.2099987900000002,50700,61346.93865300001,79.7510202489,take_profit
