date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,640903.0315454662,362020.30876600003,1002923.3403114663,2
2024-01-24,640903.0315454662,367942.235093,1008845.2666384662,2
2024-01-25,640903.0315454662,373136.72547299997,1014039.7570184661,2
2024-01-26,812933.4885568116,202733.668358,1015667.1569148116,1
2024-01-29,812933.4885568116,204419.60322999998,1017353.0917868116,1
2024-01-30,812933.4885568116,200204.76605,1013138.2546068116,1
2024-01-31,1011837.0142043376,0.0,1011837.0142043376,0
2024-02-01,1011837.0142043376,0.0,1011837.0142043376,0
2024-02-02,1011837.0142043376,0.0,1011837.0142043376,0
2024-02-05,812505.1864993923,203188.736436,1015693.9229353922,1
2024-02-06,812505.1864993923,209687.310096,1022192.4965953922,1
2024-02-07,812505.1864993923,208170.976242,1020676.1627413923,1
2024-02-08,819534.8755800144,200042.07679199998,1019576.9523720144,1
2024-02-19,656250.6143584081,368548.37459500006,1024798.9889534082,2
2024-02-20,656250.6143584081,368140.62323200004,1024391.2375904082,2
2024-02-21,688174.2131948617,355325.491392,1043499.7045868617,2
2024-02-22,865707.7101083006,174152.097798,1039859.8079063005,1
2024-02-23,865707.7101083006,175842.894864,1041550.6049723006,1
2024-02-26,1040664.4205010812,0.0,1040664.4205010812,0
2024-02-27,1040664.4205010812,0.0,1040664.4205010812,0
2024-02-28,1040664.4205010812,0.0,1040664.4205010812,0
2024-02-29,1040664.4205010812,0.0,1040664.4205010812,0
2024-03-01,1040664.4205010812,0.0,1040664.4205010812,0
2024-03-04,1040664.4205010812,0.0,1040664.4205010812,0
2024-03-05,840636.4925804494,202289.515197,1042926.0077774494,1
2024-03-06,840636.4925804494,200350.018407,1040986.5109874494,1
2024-03-07,840636.4925804494,201319.766802,1041956.2593824494,1
2024-03-08,1040912.9740938831,0.0,1040912.9740938831,0
2024-03-11,1040912.9740938831,0.0,1040912.9740938831,0
2024-03-12,1040912.9740938831,0.0,1040912.9740938831,0
2024-03-13,1040912.9740938831,0.0,1040912.9740938831,0
2024-03-14,840885.0461732512,198410.52161700002,1039295.5677902512,1
2024-03-15,840885.0461732512,205586.65974,1046471.7059132513,1
2024-03-18,840885.0461732512,204422.961666,1045308.0078392512,1
2024-03-19,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-20,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-21,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-22,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-25,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-26,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-27,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-28,1044644.5969303967,0.0,1044644.5969303967,0
2024-03-29,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-01,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-02,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-03,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-08,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-09,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-10,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-11,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-12,1044644.5969303967,0.0,1044644.5969303967,0
2024-04-15,675985.7896307848,376802.817586,1052788.6072167847,2
2024-04-16,675985.7896307848,375657.22433,1051643.0139607848,2
2024-04-17,675985.7896307848,384289.13801,1060274.9276407848,2
2024-04-18,859361.4426087826,203118.20928,1062479.6518887826,1
2024-04-19,859361.4426087826,201049.412704,1060410.8553127826,1
2024-04-22,859361.4426087826,197476.0368,1056837.4794087824,1
2024-04-23,1056571.1813369277,0.0,1056571.1813369277,0
2024-04-24,1056571.1813369277,0.0,1056571.1813369277,0
2024-04-25,1056571.1813369277,0.0,1056571.1813369277,0
2024-04-26,1056571.1813369277,0.0,1056571.1813369277,0
2024-04-29,1056571.1813369277,0.0,1056571.1813369277,0
2024-04-30,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-06,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-07,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-08,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-09,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-10,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-13,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-14,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-15,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-16,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-17,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-20,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-21,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-22,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-23,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-24,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-27,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-28,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-29,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-30,1056571.1813369277,0.0,1056571.1813369277,0
2024-05-31,857088.0274981374,198687.592587,1055775.6200851374,1
2024-06-03,857088.0274981374,196362.715266,1053450.7427641375,1
2024-06-04,857088.0274981374,197078.062134,1054166.0896321374,1
2024-06-05,1054069.9175407873,0.0,1054069.9175407873,0
2024-06-06,1054069.9175407873,0.0,1054069.9175407873,0
2024-06-07,1054069.9175407873,0.0,1054069.9175407873,0
2024-06-11,1054069.9175407873,0.0,1054069.9175407873,0
2024-06-12,854306.810354384,200055.315648,1054362.126002384,1
2024-06-13,854306.810354384,198584.32068,1052891.131034384,1
2024-06-14,854306.810354384,200554.387302,1054861.197656384,1
2024-06-17,853588.5602777449,198978.32139,1052566.8816677448,1
2024-06-18,853588.5602777449,198584.304912,1052172.8651897449,1
2024-06-19,853588.5602777449,199963.362585,1053551.922862745,1
2024-06-20,1053288.8224573317,0.0,1053288.8224573317,0
2024-06-21,1053288.8224573317,0.0,1053288.8224573317,0
2024-06-24,1053288.8224573317,0.0,1053288.8224573317,0
2024-06-25,1053288.8224573317,0.0,1053288.8224573317,0
2024-06-26,1053288.8224573317,0.0,1053288.8224573317,0
2024-06-27,853954.9944437628,199317.449478,1053272.4439217628,1
2024-06-28,853954.9944437628,199559.928127,1053514.9225707627,1
