date,code,open,high,low,close,volume,amount,turnover_rate,pct_chg,isST
2024-01-02,600000,6.20707893,6.22580315,6.1789926,6.1789926,22066700,146066303.72,0.0752,-0.3021,0
2024-01-03,600000,6.16963049,6.22580315,6.16963049,6.21644104,18203654,120639706.01,0.062,0.6061,0
2024-01-04,600000,6.21644104,6.24452737,6.13218205,6.19771682,28885978,190580609.99,0.0984,-0.3012,0
2024-01-05,600000,6.1789926,6.32878636,6.16963049,6.25388948,44421387,296976885.79,0.1513,0.9063,0
2024-01-08,600000,6.25388948,6.28197581,6.14154416,6.16963049,37520337,247977824.98,0.1278,-1.3473,0
2024-01-09,600000,6.1789926,6.21644104,6.12281994,6.18835471,30741897,202647645.73,0.1047,0.3035,0
2024-01-10,600000,6.18835471,6.20707893,6.15090627,6.15090627,22240946,146695926.3,0.0758,-0.6051,0
2024-01-11,600000,6.14154416,6.16963049,6.10409572,6.11345783,35914708,235312057.56,0.1224,-0.6088,0
2024-01-12,600000,6.10409572,6.14154416,6.0853715,6.0853715,34624053,225743841.46,0.118,-0.4594,0
2024-01-15,600000,6.0853715,6.12281994,6.05728517,6.09473361,28694155,186476697.92,0.0978,0.1538,0
2024-01-16,600000,6.07600939,6.1789926,6.07600939,6.16963049,53186496,348808283.05,0.1812,1.2289,0
2024-01-17,600000,6.16026838,6.19771682,6.10409572,6.11345783,48249869,316982892.41,0.1644,-0.9105,0
2024-01-18,600000,6.11345783,6.16026838,5.95430196,6.14154416,73994422,477803910.09,0.2521,0.4594,0
2024-01-19,600000,6.10409572,6.19771682,6.05728517,6.16963049,57640079,378165074.88,0.1964,0.4573,0
2024-01-22,600000,6.16026838,6.24452737,6.11345783,6.16963049,67173480,445086464.92,0.2289,0.0,0
2024-01-23,600000,6.16026838,6.22580315,6.0853715,6.19771682,33298531,218923249.13,0.1134,0.4552,0
2024-01-24,600000,6.21644104,6.30070003,6.1789926,6.28197581,53746498,358343156.55,0.1831,1.3595,0
2024-01-25,600000,6.30070003,6.3662348,6.2726137,6.33814847,50256871,339203853.25,0.1712,0.8942,0
2024-01-26,600000,6.34751058,6.46921801,6.31942425,6.43176957,70997933,485347720.86,0.2419,1.4771,0
2024-01-29,600000,6.42240746,6.52539067,6.41304535,6.4598559,55269921,381908899.02,0.1883,0.4367,0
2024-01-30,600000,6.4598559,6.50666645,6.38495902,6.39432113,40737046,280193765.6,0.1388,-1.0145,0
