top_n,hold_days,min_score,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
3,2,0.55,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
5,2,0.55,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
10,2,0.55,0.06735332198130162,0.15072492688652805,-0.003538600849463447,3.779262380864995,30.0,1067353.3219813015
3,2,0.45,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
5,2,0.45,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
10,2,0.45,0.061952370671655155,0.13822006520058916,-0.008906149752712755,3.419556927892762,39.0,1061952.370671655
3,2,0.35,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
5,2,0.35,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
10,2,0.35,0.059360515445840534,0.13224510871770567,-0.011325616496252522,3.261147146987117,43.0,1059360.5154458405
3,5,0.55,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
5,5,0.55,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
10,5,0.55,0.06476894733820582,0.1447321728843809,-0.00914668856561729,3.2353613967290795,18.0,1064768.9473382058
3,5,0.45,0.06313679814209183,0.1409561132884496,-0.00862167273451886,3.1098688456131334,23.0,1063136.7981420918
5,5,0.45,0.06313679814209183,0.1409561132884496,-0.00862167273451886,3.1098688456131334,23.0,1063136.7981420918
10,5,0.45,0.06313679814209183,0.1409561132884496,-0.00862167273451886,3.1098688456131334,23.0,1063136.7981420918
3,3,0.55,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
5,3,0.55,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
10,3,0.55,0.0555415326606703,0.12347196928366211,-0.007348234217035121,2.943284356877006,26.0,1055541.5326606703
3,5,0.35,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
5,5,0.35,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
10,5,0.35,0.05976768323595594,0.13318262983267237,-0.011764099445015663,2.90414643827437,27.0,1059767.683235956
3,3,0.45,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
5,3,0.45,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
10,3,0.45,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
3,3,0.35,0.04868416322544178,0.10781063027116211,-0.014247375013204722,2.5077694840569142,37.0,1048684.1632254417
5,3,0.35,0.04868416322544178,0.10781063027116211,-0.014247375013204722,2.5077694840569142,37.0,1048684.1632254417
10,3,0.35,0.04868416322544178,0.10781063027116211,-0.014247375013204722,2.5077694840569142,37.0,1048684.1632254417
