date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,800325.1663916729,203140.878723,1003466.045114673,1
2024-01-08,800325.1663916729,200511.22333500002,1000836.3897266729,1
2024-01-09,800325.1663916729,201168.63718199998,1001493.8035736729,1
2024-01-10,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-11,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-12,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-15,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-16,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-17,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-18,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-19,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-22,1000594.1087941894,0.0,1000594.1087941894,0
2024-01-23,641497.1403396556,362020.30876600003,1003517.4491056555,2
2024-01-24,641497.1403396556,367942.235093,1009439.3754326556,2
2024-01-25,680834.1228376541,336445.812173,1017279.9350106542,2
2024-01-26,844856.7393750846,174464.033328,1019320.7727030846,1
2024-01-29,1022290.556174407,0.0,1022290.556174407,0
2024-01-30,1022290.556174407,0.0,1022290.556174407,0
2024-01-31,1022290.556174407,0.0,1022290.556174407,0
2024-02-01,1022290.556174407,0.0,1022290.556174407,0
2024-02-02,1022290.556174407,0.0,1022290.556174407,0
2024-02-05,822958.7284694617,203188.736436,1026147.4649054616,1
2024-02-06,832341.2255395312,207249.08556,1039590.3110995312,1
2024-02-07,832341.2255395312,205750.38349500002,1038091.6090345313,1
2024-02-08,666205.4852957154,373193.713545,1039399.1988407155,2
2024-02-19,700230.8287646589,345417.288537,1045648.117301659,2
2024-02-20,700230.8287646589,345118.657644,1045349.4864086589,2
2024-02-21,686281.4230826678,391954.79496,1078236.2180426677,2
2024-02-22,865384.5588681931,202502.4393,1067886.998168193,1
2024-02-23,865384.5588681931,204468.4824,1069853.0412681932,1
2024-02-26,1068822.5942086356,0.0,1068822.5942086356,0
2024-02-27,1068822.5942086356,0.0,1068822.5942086356,0
2024-02-28,1068822.5942086356,0.0,1068822.5942086356,0
2024-02-29,1068822.5942086356,0.0,1068822.5942086356,0
2024-03-01,1068822.5942086356,0.0,1068822.5942086356,0
2024-03-04,1068822.5942086356,0.0,1068822.5942086356,0
2024-03-05,868794.6662880038,202289.515197,1071084.1814850038,1
2024-03-06,868794.6662880038,200350.018407,1069144.6846950038,1
2024-03-07,868794.6662880038,201319.766802,1070114.4330900037,1
2024-03-08,1069071.1478014374,0.0,1069071.1478014374,0
2024-03-11,1069071.1478014374,0.0,1069071.1478014374,0
2024-03-12,1069071.1478014374,0.0,1069071.1478014374,0
2024-03-13,1069071.1478014374,0.0,1069071.1478014374,0
2024-03-14,869043.2198808056,198410.52161700002,1067453.7414978056,1
2024-03-15,869043.2198808056,205586.65974,1074629.8796208056,1
2024-03-18,869043.2198808056,204422.961666,1073466.1815468057,1
2024-03-19,1072802.770637951,0.0,1072802.770637951,0
2024-03-20,1072802.770637951,0.0,1072802.770637951,0
2024-03-21,1072802.770637951,0.0,1072802.770637951,0
2024-03-22,1072802.770637951,0.0,1072802.770637951,0
2024-03-25,873544.0838976975,199961.27943999998,1073505.3633376975,1
2024-03-26,873544.0838976975,203806.68865999999,1077350.7725576975,1
2024-03-27,873544.0838976975,202460.795433,1076004.8793306975,1
2024-03-28,1075155.8257224532,0.0,1075155.8257224532,0
2024-03-29,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-01,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-02,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-03,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-08,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-09,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-10,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-11,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-12,1075155.8257224532,0.0,1075155.8257224532,0
2024-04-15,700489.9775229548,382953.723856,1083443.7013789548,2
2024-04-16,700489.9775229548,381774.42700399994,1082264.4045269547,2
2024-04-17,727728.9581352166,368182.128926,1095911.0870612166,2
2024-04-18,898720.0883269766,203118.20928,1101838.2976069767,1
2024-04-19,898720.0883269766,201049.412704,1099769.5010309767,1
2024-04-22,898720.0883269766,197476.0368,1096196.1251269765,1
2024-04-23,896241.5422348974,199998.222236,1096239.7644708974,1
2024-04-24,896241.5422348974,199808.470602,1096050.0128368973,1
2024-04-25,717586.4463078757,381696.894934,1099283.3412418757,2
2024-04-26,918071.5098900164,180613.82612,1098685.3360100165,1
2024-04-29,918071.5098900164,180613.82612,1098685.3360100165,1
2024-04-30,1105172.0222672182,0.0,1105172.0222672182,0
2024-05-06,1105172.0222672182,0.0,1105172.0222672182,0
2024-05-07,1105172.0222672182,0.0,1105172.0222672182,0
2024-05-08,724756.5368341729,377667.61134299997,1102424.148177173,2
2024-05-09,724756.5368341729,378219.234456,1102975.7712901728,2
2024-05-10,724756.5368341729,384766.39077199996,1109522.9276061729,2
2024-05-13,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-14,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-15,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-16,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-17,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-20,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-21,1107673.9457516235,0.0,1107673.9457516235,0
2024-05-22,908214.5023384627,202042.759699,1110257.2620374628,1
2024-05-23,908214.5023384627,201805.898316,1110020.4006544626,1
2024-05-24,908214.5023384627,199911.00725199998,1108125.5095904628,1
2024-05-27,1107902.2910678315,0.0,1107902.2910678315,0
2024-05-28,1107902.2910678315,0.0,1107902.2910678315,0
2024-05-29,1107902.2910678315,0.0,1107902.2910678315,0
2024-05-30,908518.3399167841,196999.13888800002,1105517.4788047841,1
2024-05-31,908518.3399167841,196821.981389,1105340.3213057842,1
2024-06-03,1101418.32836491,0.0,1101418.32836491,0
2024-06-04,721578.9838650576,381490.25067,1103069.2345350576,2
2024-06-05,721578.9838650576,378105.72051899997,1099684.7043840575,2
2024-06-06,721578.9838650576,377783.50217,1099362.4860350576,2
2024-06-07,901158.7284834937,200232.473147,1101391.2016304936,1
2024-06-11,901158.7284834937,198046.131311,1099204.8597944938,1
2024-06-12,721617.7627608427,376656.09989899996,1098273.8626598427,2
2024-06-13,736467.5761594896,360223.33660499996,1096690.9127644897,2
2024-06-14,736467.5761594896,362242.49379,1098710.0699494896,2
2024-06-17,732766.230907079,362956.44949,1095722.6803970789,2
2024-06-18,732111.5898008372,362372.862661,1094484.4524618373,2
2024-06-19,732111.5898008372,366541.083638,1098652.6734388373,2
2024-06-20,914721.9790805764,180815.78100000002,1095537.7600805764,1
2024-06-21,895966.1335087541,197907.82,1093873.953508754,1
2024-06-24,895966.1335087541,197512.00436000002,1093478.137868754,1
2024-06-25,717297.9135847602,378363.55622,1095661.46980476,2
2024-06-26,915935.5202146912,179090.610823,1095026.1310376911,1
2024-06-27,915935.5202146912,179308.747986,1095244.268200691,1
2024-06-28,716823.7012373303,378719.74608099996,1095543.4473183304,2
