date,code,shares,cost_price,market_price,market_value
2024-01-05,000001,26100,7.6480823418999995,7.78317543,203140.878723
2024-01-08,000001,26100,7.6480823418999995,7.68242235,200511.22333500002
2024-01-09,000001,26100,7.6480823418999995,7.70761062,201168.63718199998
2024-01-23,000001,26200,7.606059911449999,7.69081844,201499.443128
2024-01-23,600000,25900,6.166428648379999,6.19771682,160520.86563800002
2024-01-24,000001,26200,7.606059911449999,7.83355197,205239.061614
2024-01-24,600000,25900,6.166428648379999,6.28197581,162703.173479
2024-01-25,600000,25900,6.166428648379999,6.33814847,164158.045373
2024-01-25,000001,21600,7.84138552197,7.9762855,172287.7668
2024-01-26,000001,21600,7.84138552197,8.07703858,174464.033328
2024-02-05,000001,25800,7.723722716709999,7.87553242,203188.736436
2024-02-06,000001,25500,7.816172063699999,8.12741512,207249.08556
2024-02-07,000001,25500,7.816172063699999,8.06864249,205750.38349500002
2024-02-08,000001,25500,7.816172063699999,8.11901903,207034.98526500002
2024-02-08,600000,25500,6.513173116449999,6.51602856,166158.72827999998
2024-02-19,600000,25500,6.513173116449999,6.66582232,169978.46916
2024-02-19,000001,21300,8.20277842384,8.23656429,175438.819377
2024-02-20,600000,25500,6.513173116449999,6.6470981,169501.00155
2024-02-20,000001,21300,8.20277842384,8.24496038,175617.656094
2024-02-21,600000,30000,6.663116670209999,6.77816764,203345.02920000002
2024-02-21,000001,20800,8.219587396019998,9.0677772,188609.76576
2024-02-22,600000,30000,6.663116670209999,6.75008131,202502.4393
2024-02-23,600000,30000,6.663116670209999,6.81561608,204468.4824
2024-03-05,000001,23100,8.656620672699999,8.75712187,202289.515197
2024-03-06,000001,23100,8.656620672699999,8.67316097,200350.018407
2024-03-07,000001,23100,8.656620672699999,8.71514142,201319.766802
2024-03-14,000001,23100,8.656620672699999,8.58920007,198410.52161700002
2024-03-15,000001,23100,8.656620672699999,8.8998554,205586.65974
2024-03-18,000001,23100,8.656620672699999,8.84947886,204422.961666
2024-03-25,000001,22900,8.698643103149998,8.7319336,199961.27943999998
2024-03-26,000001,22900,8.698643103149998,8.8998554,203806.68865999999
2024-03-27,000001,22900,8.698643103149998,8.84108277,202460.795433
2024-04-15,000001,23600,8.463317492629999,8.63957661,203894.00799600003
2024-04-15,600000,26200,6.672488142320001,6.8343403,179059.71586
2024-04-16,000001,23600,8.463317492629999,8.63118052,203695.860272
2024-04-16,600000,26200,6.672488142320001,6.79689186,178078.56673199998
2024-04-17,600000,26200,6.672488142320001,6.87178874,180040.86498800002
2024-04-17,000001,21100,8.62300272834,8.91664758,188141.263938
2024-04-18,000001,22400,8.89194628322,9.0677772,203118.20928
2024-04-19,000001,22400,8.89194628322,8.97542021,201049.412704
2024-04-22,000001,22400,8.89194628322,8.8158945,197476.0368
2024-04-23,000001,22600,8.83311488059,8.84947886,199998.222236
2024-04-24,000001,22600,8.83311488059,8.84108277,199808.470602
2024-04-25,000001,22600,8.83311488059,8.90825149,201326.483674
2024-04-25,600000,26000,6.86928905663,6.93732351,180370.41126
2024-04-26,600000,26000,6.86928905663,6.94668562,180613.82612
2024-04-29,600000,26000,6.86928905663,6.94668562,180613.82612
2024-05-08,000001,21900,9.11046292156,9.00900457,197297.200083
2024-05-08,600000,24700,7.319119717909999,7.3024458,180370.41126
2024-05-09,000001,21900,9.11046292156,9.03419284,197848.82319599998
2024-05-09,600000,24700,7.319119717909999,7.3024458,180370.41126
2024-05-10,000001,21900,9.11046292156,9.18532246,201158.561874
2024-05-10,600000,24700,7.319119717909999,7.43351534,183607.82889799998
2024-05-22,600000,25300,7.881408044509999,7.98587983,202042.759699
2024-05-23,600000,25300,7.881408044509999,7.97651772,201805.898316
2024-05-24,600000,25300,7.881408044509999,7.90162084,199911.00725199998
2024-05-30,000001,21100,9.446642365159999,9.33645208,196999.13888800002
2024-05-31,000001,21100,9.446642365159999,9.32805599,196821.981389
2024-06-04,000001,21700,9.20291226855,9.25249118,200779.058606
2024-06-04,600000,23200,7.759578907079998,7.78927552,180711.192064
2024-06-05,000001,21700,9.20291226855,9.12654983,198046.131311
2024-06-05,600000,23200,7.759578907079998,7.76118919,180059.589208
2024-06-06,000001,21700,9.20291226855,9.1517381,198592.71677
2024-06-06,600000,23200,7.759578907079998,7.72374075,179190.7854
2024-06-07,000001,21700,9.177698810279999,9.22730291,200232.473147
2024-06-11,000001,21700,9.177698810279999,9.12654983,198046.131311
2024-06-12,000001,21700,9.177698810279999,9.13494592,198228.32646399998
2024-06-12,600000,23500,7.63774976965,7.59267121,178427.77343499998
2024-06-13,600000,23500,7.63774976965,7.61139543,178867.792605
2024-06-13,000001,20000,9.152485352009998,9.0677772,181355.544
2024-06-14,600000,23500,7.63774976965,7.62075754,179087.80219
2024-06-14,000001,20000,9.152485352009998,9.15773458,183154.6916
2024-06-17,000001,20000,9.152485352009998,9.0857681,181715.362
2024-06-17,600000,23900,7.637749769649999,7.5833091,181241.08749
2024-06-18,600000,23900,7.637749769649999,7.57394699,181017.33306099998
2024-06-18,000001,20000,9.103858673909999,9.06777648,181355.52959999998
2024-06-19,600000,23900,7.637749769649999,7.69565442,183926.140638
2024-06-19,000001,20000,9.103858673909999,9.13074715,182614.943
2024-06-20,000001,20000,9.103858673909999,9.04078905,180815.78100000002
2024-06-21,000001,22000,9.04982983905,8.99581,197907.82
2024-06-24,000001,22000,9.04982983905,8.97781838,197512.00436000002
2024-06-25,000001,22000,9.04982983905,9.06777648,199491.08255999998
2024-06-25,600000,23300,7.665864185979999,7.6769302,178872.47366000002
2024-06-26,600000,23300,7.665864185979999,7.68629231,179090.610823
2024-06-27,600000,23300,7.665864185979999,7.69565442,179308.747986
2024-06-28,000001,21900,9.094853868099998,9.13074715,199963.362585
2024-06-28,600000,23200,7.70335007442,7.70501653,178756.383496
