date,code,side,price,shares,amount,fee,reason
2024-01-05,000001,BUY,7.6480823418999995,26100,199614.94912359,59.884484737076995,signal
2024-01-10,000001,SELL,7.68312762156,26100,200529.630922716,260.6885201995308,hold_days
2024-01-23,000001,BUY,7.606059911449999,26200,199278.76967999,59.78363090399699,signal
2024-01-23,600000,BUY,6.166428648379999,25900,159710.50199304198,47.91315059791259,signal
2024-01-25,000001,SELL,7.978376544115477,26200,209033.4654558255,271.7435050925731,take_profit
2024-01-25,000001,BUY,7.8413855219699995,21600,169373.927274552,50.81217818236559,signal
2024-01-26,600000,SELL,6.341163069419999,25900,164236.123497978,213.5069605473714,hold_days
2024-01-29,000001,SELL,8.225221343270432,21600,177664.78101464134,230.96421531903374,take_profit
2024-02-05,000001,BUY,7.723722716709999,25800,199272.04609111798,59.78161382733539,signal
2024-02-06,000001,SELL,8.101798943692954,25800,209026.4127472782,271.73433657146165,take_profit
2024-02-06,000001,BUY,7.816172063699999,25500,199312.38762434997,59.79371628730499,signal
2024-02-08,600000,BUY,6.513173116449999,25500,166085.91446947498,49.82577434084249,signal
2024-02-19,000001,SELL,8.198773686218113,25500,209068.72899856188,271.7893476981304,take_profit
2024-02-19,000001,BUY,8.20277842384,21300,174719.180427792,52.41575412833759,signal
2024-02-21,600000,SELL,6.831992940500227,25500,174215.81998275578,226.4805659775825,take_profit
2024-02-21,000001,SELL,8.60430442768697,21300,183271.68430973246,238.25318960265218,take_profit
2024-02-21,600000,BUY,6.663116670209999,30000,199893.50010629997,59.96805003188999,signal
2024-02-21,000001,BUY,8.219587396019998,20800,170967.41783721597,51.290225351164786,signal
2024-02-22,000001,SELL,8.621936199055177,20800,179336.2729403477,233.137154822452,take_profit
2024-02-26,600000,SELL,6.79009496814,30000,203702.8490442,264.81370375746,hold_days
2024-03-05,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-08,000001,SELL,8.681263196849999,23100,200537.17984723498,260.69833380140545,hold_days
2024-03-14,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-19,000001,SELL,8.83224168723,23100,204024.78297501302,265.2322178675169,hold_days
2024-03-25,000001,BUY,8.698643103149998,22900,199198.92706213496,59.75967811864048,signal
2024-03-28,000001,SELL,8.81546629941,22900,201874.178256489,262.43643173343565,hold_days
2024-04-15,000001,BUY,8.463317492629999,23600,199734.29282606798,59.92028784782039,signal
2024-04-15,600000,BUY,6.67248814232,26200,174819.189328784,52.445756798635195,signal
2024-04-17,000001,SELL,8.877596883894238,23600,209511.28645990402,272.3646723978752,take_profit
2024-04-17,000001,BUY,8.62300272834,21100,181945.357567974,54.58360727039219,signal
2024-04-18,600000,SELL,6.864916951260001,26200,179860.82412301202,233.81907135991563,hold_days
2024-04-18,000001,SELL,9.045098711892244,21100,190851.58282092636,248.10705766720426,take_profit
2024-04-18,000001,BUY,8.89194628322,22400,199179.59674412798,59.75387902323839,signal
2024-04-23,000001,SELL,8.81546629941,22400,197466.445106784,256.70637863881916,hold_days
2024-04-23,000001,BUY,8.83311488059,22600,199628.396301334,59.88851889040019,signal
2024-04-25,600000,BUY,6.869289056629999,26000,178601.51547237998,53.58045464171399,signal
2024-04-26,000001,SELL,8.88256785069,22600,200746.033425594,260.9698434532722,hold_days
2024-04-30,600000,SELL,7.205540755952037,26000,187344.05965475296,243.54727755117884,take_profit
2024-05-08,000001,BUY,9.11046292156,21900,199519.137982164,59.85574139464919,signal
2024-05-08,600000,BUY,7.319119717909999,24700,180782.25703237698,54.23467710971309,signal
2024-05-13,000001,SELL,9.1425863619,21900,200222.64132561,260.289433723293,hold_days
2024-05-13,600000,SELL,7.41672907677,24700,183193.208196219,238.15117065508468,hold_days
2024-05-22,600000,BUY,7.881408044509999,25300,199399.62352610298,59.81988705783089,signal
2024-05-27,600000,SELL,7.90307196705,25300,199947.720766365,259.9320369962745,hold_days
2024-05-30,000001,BUY,9.446642365159999,21100,199324.15390487597,59.79724617146279,signal
2024-06-03,000001,SELL,9.154079851110993,21100,193151.08485844196,251.09641031597454,stop_loss
2024-06-04,000001,BUY,9.20291226855,21700,199703.196227535,59.910958868260494,signal
2024-06-04,600000,BUY,7.759578907079999,23200,180022.23064425596,54.006669193276785,signal
2024-06-07,000001,SELL,9.15936174972,21700,198758.149968924,258.3855949596012,hold_days
2024-06-07,600000,SELL,7.78148624448,23200,180530.480871936,234.68962513351678,hold_days
2024-06-07,000001,BUY,9.177698810279999,21700,199156.06418307597,59.746819254922784,signal
2024-06-12,600000,BUY,7.637749769649999,23500,179487.119586775,53.84613587603249,signal
2024-06-13,000001,SELL,9.134198667989999,21700,198212.11109538298,257.67574442399786,hold_days
2024-06-13,000001,BUY,9.152485352009998,20000,183049.70704019998,54.91491211205999,signal
2024-06-17,600000,SELL,7.62248953035,23500,179128.503963225,232.86705515219248,hold_days
2024-06-17,600000,BUY,7.637749769649999,23900,182542.21949463498,54.76266584839049,signal
2024-06-18,000001,SELL,9.08566914609,20000,181713.3829218,236.22739779833998,hold_days
2024-06-18,000001,BUY,9.103858673909999,20000,182077.17347819998,54.62315204345999,signal
2024-06-20,600000,SELL,7.65054777402,23900,182848.09179907799,237.70251933880138,hold_days
2024-06-21,000001,SELL,9.031748260950001,20000,180634.96521900003,234.82545478470004,hold_days
2024-06-21,000001,BUY,9.04982983905,22000,199096.2564591,59.72887693772999,signal
2024-06-25,600000,BUY,7.665864185979999,23300,178614.635533334,53.58439066000019,signal
2024-06-26,000001,SELL,9.04073507514,22000,198896.17165308,258.565023149004,hold_days
2024-06-28,600000,SELL,7.68795876558,23300,179129.43923801402,232.8682710094182,hold_days
2024-06-28,000001,BUY,9.094853868099998,21900,199177.29971138996,59.75318991341698,signal
2024-06-28,600000,BUY,7.703350074419999,23200,178717.721726544,53.615316517963194,signal
