date,top_n,turnover,selected
2024-01-02,20,0.0,2
2024-01-03,20,0.0,2
2024-01-04,20,0.0,2
2024-01-05,20,0.0,2
2024-01-08,20,0.0,2
2024-01-09,20,0.0,2
2024-01-10,20,0.0,2
2024-01-11,20,0.0,2
2024-01-12,20,0.0,2
2024-01-15,20,0.0,2
2024-01-16,20,0.0,2
2024-01-17,20,0.0,2
2024-01-18,20,0.0,2
2024-01-19,20,0.0,2
2024-01-22,20,0.0,2
2024-01-23,20,0.0,2
2024-01-24,20,0.0,2
2024-01-25,20,0.0,2
2024-01-26,20,0.0,2
2024-01-29,20,0.0,2
2024-01-30,20,0.0,2
2024-01-31,20,0.0,2
2024-02-01,20,0.0,2
2024-02-02,20,0.0,2
2024-02-05,20,0.0,2
2024-02-06,20,0.0,2
2024-02-07,20,0.0,2
2024-02-08,20,0.0,2
2024-02-19,20,0.0,2
2024-02-20,20,0.0,2
2024-02-21,20,0.0,2
2024-02-22,20,0.0,2
2024-02-23,20,0.0,2
2024-02-26,20,0.0,2
2024-02-27,20,0.0,2
2024-02-28,20,0.0,2
2024-02-29,20,0.0,2
2024-03-01,20,0.0,2
2024-03-04,20,0.0,2
2024-03-05,20,0.0,2
2024-03-06,20,0.0,2
2024-03-07,20,0.0,2
2024-03-08,20,0.0,2
2024-03-11,20,0.0,2
2024-03-12,20,0.0,2
2024-03-13,20,0.0,2
2024-03-14,20,0.0,2
2024-03-15,20,0.0,2
2024-03-18,20,0.0,2
2024-03-19,20,0.0,2
2024-03-20,20,0.0,2
2024-03-21,20,0.0,2
2024-03-22,20,0.0,2
2024-03-25,20,0.0,2
2024-03-26,20,0.0,2
2024-03-27,20,0.0,2
2024-03-28,20,0.0,2
2024-03-29,20,0.0,2
2024-04-01,20,0.0,2
2024-04-02,20,0.0,2
2024-04-03,20,0.0,2
2024-04-08,20,0.0,2
2024-04-09,20,0.0,2
2024-04-10,20,0.0,2
2024-04-11,20,0.0,2
2024-04-12,20,0.0,2
2024-04-15,20,0.0,2
2024-04-16,20,0.0,2
2024-04-17,20,0.0,2
2024-04-18,20,0.0,2
2024-04-19,20,0.0,2
2024-04-22,20,0.0,2
2024-04-23,20,0.0,2
2024-04-24,20,0.0,2
2024-04-25,20,0.0,2
2024-04-26,20,0.0,2
2024-04-29,20,0.0,2
2024-04-30,20,0.0,2
2024-05-06,20,0.0,2
2024-05-07,20,0.0,2
2024-05-08,20,0.0,2
2024-05-09,20,0.0,2
2024-05-10,20,0.0,2
2024-05-13,20,0.0,2
2024-05-14,20,0.0,2
2024-05-15,20,0.0,2
2024-05-16,20,0.0,2
2024-05-17,20,0.0,2
2024-05-20,20,0.0,2
2024-05-21,20,0.0,2
2024-05-22,20,0.0,2
2024-05-23,20,0.0,2
2024-05-24,20,0.0,2
2024-05-27,20,0.0,2
2024-05-28,20,0.0,2
2024-05-29,20,0.0,2
2024-05-30,20,0.0,2
2024-05-31,20,0.0,2
2024-06-03,20,0.0,2
2024-06-04,20,0.0,2
2024-06-05,20,0.0,2
2024-06-06,20,0.0,2
2024-06-07,20,0.0,2
2024-06-11,20,0.0,2
2024-06-12,20,0.0,2
2024-06-13,20,0.0,2
2024-06-14,20,0.0,2
2024-06-17,20,0.0,2
2024-06-18,20,0.0,2
2024-06-19,20,0.0,2
2024-06-20,20,0.0,2
2024-06-21,20,0.0,2
2024-06-24,20,0.0,2
2024-06-25,20,0.0,2
2024-06-26,20,0.0,2
2024-06-27,20,0.0,2
2024-06-28,20,0.0,2
