date,cash,market_value,equity,positions
2024-01-02,1000000.0,0.0,1000000.0,0
2024-01-03,1000000.0,0.0,1000000.0,0
2024-01-04,1000000.0,0.0,1000000.0,0
2024-01-05,1000000.0,0.0,1000000.0,0
2024-01-08,1000000.0,0.0,1000000.0,0
2024-01-09,1000000.0,0.0,1000000.0,0
2024-01-10,1000000.0,0.0,1000000.0,0
2024-01-11,1000000.0,0.0,1000000.0,0
2024-01-12,1000000.0,0.0,1000000.0,0
2024-01-15,1000000.0,0.0,1000000.0,0
2024-01-16,1000000.0,0.0,1000000.0,0
2024-01-17,1000000.0,0.0,1000000.0,0
2024-01-18,1000000.0,0.0,1000000.0,0
2024-01-19,1000000.0,0.0,1000000.0,0
2024-01-22,1000000.0,0.0,1000000.0,0
2024-01-23,640903.0315454662,362020.30876600003,1002923.3403114663,2
2024-01-24,640903.0315454662,367942.235093,1008845.2666384662,2
2024-01-25,680240.0140434648,336445.812173,1016685.8262164649,2
2024-01-26,844262.6305808953,174464.033328,1018726.6639088953,1
2024-01-29,1021696.4473802177,0.0,1021696.4473802177,0
2024-01-30,1021696.4473802177,0.0,1021696.4473802177,0
2024-01-31,1021696.4473802177,0.0,1021696.4473802177,0
2024-02-01,1021696.4473802177,0.0,1021696.4473802177,0
2024-02-02,1021696.4473802177,0.0,1021696.4473802177,0
2024-02-05,822364.6196752724,203188.736436,1025553.3561112724,1
2024-02-06,831747.1167453419,207249.08556,1038996.202305342,1
2024-02-07,831747.1167453419,205750.38349500002,1037497.500240342,1
2024-02-08,665611.3765015261,373193.713545,1038805.0900465262,2
2024-02-19,699636.7199704696,345417.288537,1045054.0085074697,2
2024-02-20,699636.7199704696,345118.657644,1044755.3776144696,2
2024-02-21,685687.3142884785,391954.79496,1077642.1092484784,2
2024-02-22,864790.4500740038,202502.4393,1067292.8893740037,1
2024-02-23,864790.4500740038,204468.4824,1069258.9324740039,1
2024-02-26,1068228.4854144463,0.0,1068228.4854144463,0
2024-02-27,1068228.4854144463,0.0,1068228.4854144463,0
2024-02-28,1068228.4854144463,0.0,1068228.4854144463,0
2024-02-29,1068228.4854144463,0.0,1068228.4854144463,0
2024-03-01,1068228.4854144463,0.0,1068228.4854144463,0
2024-03-04,1068228.4854144463,0.0,1068228.4854144463,0
2024-03-05,868200.5574938145,202289.515197,1070490.0726908145,1
2024-03-06,868200.5574938145,200350.018407,1068550.5759008145,1
2024-03-07,868200.5574938145,201319.766802,1069520.3242958146,1
2024-03-08,1068477.0390072481,0.0,1068477.0390072481,0
2024-03-11,1068477.0390072481,0.0,1068477.0390072481,0
2024-03-12,1068477.0390072481,0.0,1068477.0390072481,0
2024-03-13,1068477.0390072481,0.0,1068477.0390072481,0
2024-03-14,868449.1110866163,198410.52161700002,1066859.6327036163,1
2024-03-15,868449.1110866163,205586.65974,1074035.7708266163,1
2024-03-18,868449.1110866163,204422.961666,1072872.0727526164,1
2024-03-19,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-20,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-21,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-22,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-25,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-26,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-27,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-28,1072208.6618437618,0.0,1072208.6618437618,0
2024-03-29,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-01,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-02,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-03,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-08,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-09,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-10,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-11,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-12,1072208.6618437618,0.0,1072208.6618437618,0
2024-04-15,698210.2626331397,382270.289826,1080480.5524591398,2
2024-04-16,698210.2626331397,381094.737818,1079305.0004511396,2
2024-04-17,726311.8022083174,366603.285294,1092915.0875023175,2
2024-04-18,895713.9991357983,203118.20928,1098832.2084157984,1
2024-04-19,895713.9991357983,201049.412704,1096763.4118397983,1
2024-04-22,895713.9991357983,197476.0368,1093190.0359357982,1
2024-04-23,1092923.7378639434,0.0,1092923.7378639434,0
2024-04-24,1092923.7378639434,0.0,1092923.7378639434,0
2024-04-25,1092923.7378639434,0.0,1092923.7378639434,0
2024-04-26,1092923.7378639434,0.0,1092923.7378639434,0
2024-04-29,1092923.7378639434,0.0,1092923.7378639434,0
2024-04-30,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-06,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-07,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-08,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-09,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-10,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-13,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-14,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-15,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-16,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-17,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-20,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-21,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-22,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-23,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-24,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-27,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-28,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-29,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-30,1092923.7378639434,0.0,1092923.7378639434,0
2024-05-31,893440.5840251532,198687.592587,1092128.1766121532,1
2024-06-03,893440.5840251532,196362.715266,1089803.2992911532,1
2024-06-04,893440.5840251532,197078.062134,1090518.6461591532,1
2024-06-05,1090422.474067803,0.0,1090422.474067803,0
2024-06-06,1090422.474067803,0.0,1090422.474067803,0
2024-06-07,1090422.474067803,0.0,1090422.474067803,0
2024-06-11,1090422.474067803,0.0,1090422.474067803,0
2024-06-12,890659.3668813998,200055.315648,1090714.6825293996,1
2024-06-13,890659.3668813998,198584.32068,1089243.6875613998,1
2024-06-14,890659.3668813998,200554.387302,1091213.7541833997,1
2024-06-17,889941.1168047606,198978.32139,1088919.4381947606,1
2024-06-18,889941.1168047606,198584.304912,1088525.4217167606,1
2024-06-19,889941.1168047606,199963.362585,1089904.4793897606,1
2024-06-20,1089641.3789843475,0.0,1089641.3789843475,0
2024-06-21,1089641.3789843475,0.0,1089641.3789843475,0
2024-06-24,1089641.3789843475,0.0,1089641.3789843475,0
2024-06-25,1089641.3789843475,0.0,1089641.3789843475,0
2024-06-26,1089641.3789843475,0.0,1089641.3789843475,0
2024-06-27,890307.5509707786,199317.449478,1089625.0004487785,1
2024-06-28,890307.5509707786,199559.928127,1089867.4790977784,1
