date,code,shares,cost_price,market_price,market_value
2024-01-23,000001,26200,7.606059911449999,7.69081844,201499.443128
2024-01-23,600000,25900,6.166428648379999,6.19771682,160520.86563800002
2024-01-24,000001,26200,7.606059911449999,7.83355197,205239.061614
2024-01-24,600000,25900,6.166428648379999,6.28197581,162703.173479
2024-01-25,600000,25900,6.166428648379999,6.33814847,164158.045373
2024-01-25,000001,21600,7.84138552197,7.9762855,172287.7668
2024-01-26,000001,21600,7.84138552197,8.07703858,174464.033328
2024-02-05,000001,25800,7.723722716709999,7.87553242,203188.736436
2024-02-06,000001,25500,7.816172063699999,8.12741512,207249.08556
2024-02-07,000001,25500,7.816172063699999,8.06864249,205750.38349500002
2024-02-08,000001,25500,7.816172063699999,8.11901903,207034.98526500002
2024-02-08,600000,25500,6.513173116449999,6.51602856,166158.72827999998
2024-02-19,600000,25500,6.513173116449999,6.66582232,169978.46916
2024-02-19,000001,21300,8.20277842384,8.23656429,175438.819377
2024-02-20,600000,25500,6.513173116449999,6.6470981,169501.00155
2024-02-20,000001,21300,8.20277842384,8.24496038,175617.656094
2024-02-21,600000,30000,6.663116670209999,6.77816764,203345.02920000002
2024-02-21,000001,20800,8.219587396019998,9.0677772,188609.76576
2024-02-22,600000,30000,6.663116670209999,6.75008131,202502.4393
2024-02-23,600000,30000,6.663116670209999,6.81561608,204468.4824
2024-03-05,000001,23100,8.656620672699999,8.75712187,202289.515197
2024-03-06,000001,23100,8.656620672699999,8.67316097,200350.018407
2024-03-07,000001,23100,8.656620672699999,8.71514142,201319.766802
2024-03-14,000001,23100,8.656620672699999,8.58920007,198410.52161700002
2024-03-15,000001,23100,8.656620672699999,8.8998554,205586.65974
2024-03-18,000001,23100,8.656620672699999,8.84947886,204422.961666
2024-04-15,000001,23600,8.463317492629999,8.63957661,203894.00799600003
2024-04-15,600000,26100,6.67248814232,6.8343403,178376.28183
2024-04-16,000001,23600,8.463317492629999,8.63118052,203695.860272
2024-04-16,600000,26100,6.67248814232,6.79689186,177398.877546
2024-04-17,600000,26100,6.67248814232,6.87178874,179353.686114
2024-04-17,000001,21000,8.62300272834,8.91664758,187249.59918
2024-04-18,000001,22400,8.89194628322,9.0677772,203118.20928
2024-04-19,000001,22400,8.89194628322,8.97542021,201049.412704
2024-04-22,000001,22400,8.89194628322,8.8158945,197476.0368
2024-05-31,000001,21300,9.36259750426,9.32805599,198687.592587
2024-06-03,000001,21300,9.36259750426,9.21890682,196362.715266
2024-06-04,000001,21300,9.36259750426,9.25249118,197078.062134
2024-06-12,000001,21900,9.118867407649999,9.13494592,200055.315648
2024-06-13,000001,21900,9.118867407649999,9.0677772,198584.32068
2024-06-14,000001,21900,9.118867407649999,9.15773458,200554.387302
2024-06-17,000001,21900,9.121868285529999,9.0857681,198978.32139
2024-06-18,000001,21900,9.121868285529999,9.06777648,198584.304912
2024-06-19,000001,21900,9.121868285529999,9.13074715,199963.362585
2024-06-27,600000,25900,7.693978602309999,7.69565442,199317.449478
2024-06-28,600000,25900,7.693978602309999,7.70501653,199559.928127
