date,code,side,price,shares,amount,fee,reason
2024-01-23,000001,BUY,7.606059911449999,26200,199278.76967999,59.78363090399699,signal
2024-01-23,600000,BUY,6.166428648379999,25900,159710.50199304198,47.91315059791259,signal
2024-01-25,000001,SELL,7.978376544115477,26200,209033.4654558255,271.7435050925731,take_profit
2024-01-25,000001,BUY,7.8413855219699995,21600,169373.927274552,50.81217818236559,signal
2024-01-26,600000,SELL,6.341163069419999,25900,164236.123497978,213.5069605473714,hold_days
2024-01-29,000001,SELL,8.225221343270432,21600,177664.78101464134,230.96421531903374,take_profit
2024-02-05,000001,BUY,7.723722716709999,25800,199272.04609111798,59.78161382733539,signal
2024-02-06,000001,SELL,8.101798943692954,25800,209026.4127472782,271.73433657146165,take_profit
2024-02-06,000001,BUY,7.816172063699999,25500,199312.38762434997,59.79371628730499,signal
2024-02-08,600000,BUY,6.513173116449999,25500,166085.91446947498,49.82577434084249,signal
2024-02-19,000001,SELL,8.198773686218113,25500,209068.72899856188,271.7893476981304,take_profit
2024-02-19,000001,BUY,8.20277842384,21300,174719.180427792,52.41575412833759,signal
2024-02-21,600000,SELL,6.831992940500227,25500,174215.81998275578,226.4805659775825,take_profit
2024-02-21,000001,SELL,8.60430442768697,21300,183271.68430973246,238.25318960265218,take_profit
2024-02-21,600000,BUY,6.663116670209999,30000,199893.50010629997,59.96805003188999,signal
2024-02-21,000001,BUY,8.219587396019998,20800,170967.41783721597,51.290225351164786,signal
2024-02-22,000001,SELL,8.621936199055177,20800,179336.2729403477,233.137154822452,take_profit
2024-02-26,600000,SELL,6.79009496814,30000,203702.8490442,264.81370375746,hold_days
2024-03-05,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-08,000001,SELL,8.681263196849999,23100,200537.17984723498,260.69833380140545,hold_days
2024-03-14,000001,BUY,8.656620672699999,23100,199967.93753936997,59.99038126181099,signal
2024-03-19,000001,SELL,8.83224168723,23100,204024.78297501302,265.2322178675169,hold_days
2024-04-15,000001,BUY,8.463317492629999,23600,199734.29282606798,59.92028784782039,signal
2024-04-15,600000,BUY,6.67248814232,26100,174151.940514552,52.24558215436559,signal
2024-04-17,000001,SELL,8.877596883894238,23600,209511.28645990402,272.3646723978752,take_profit
2024-04-17,000001,BUY,8.62300272834,21000,181083.05729514,54.324917188541995,signal
2024-04-18,600000,SELL,6.864916951260001,26100,179174.33242788602,232.92663215625183,hold_days
2024-04-18,000001,SELL,9.045098711892244,21000,189947.07294973714,246.93119483465827,take_profit
2024-04-18,000001,BUY,8.89194628322,22400,199179.59674412798,59.75387902323839,signal
2024-04-23,000001,SELL,8.81546629941,22400,197466.445106784,256.70637863881916,hold_days
2024-05-31,000001,BUY,9.36259750426,21300,199423.326840738,59.8269980522214,signal
2024-06-05,000001,SELL,9.26001407664,21300,197238.29983243198,256.40978978216157,hold_days
2024-06-12,000001,BUY,9.118867407649999,21900,199703.19622753497,59.91095886826049,signal
2024-06-17,000001,SELL,9.10364277447,21900,199369.776760893,259.1807097891609,hold_days
2024-06-17,000001,BUY,9.121868285529999,21900,199768.91545310698,59.930674635932085,signal
2024-06-20,000001,SELL,9.130603217039999,21900,199960.21045317597,259.94827358912875,hold_days
2024-06-27,600000,BUY,7.693978602309999,25900,199274.04579982898,59.78221373994869,signal
